MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/16/2023 00:00:00,Haack Michael,4,S-Sale,--D,5000,104229,1,0001626900,Common Stock
D,06/06/2023 00:00:00,Kesler Dale Craig,4,M-Exempt,--D,6614,0,8,0001470946,Non-Qualified Stock Option (Right to Buy)
D,06/06/2023 00:00:00,Kesler Dale Craig,4,M-Exempt,--D,7120,0,7,0001470946,Non-Qualified Stock Option (Right to Buy)
D,06/06/2023 00:00:00,Kesler Dale Craig,4,S-Sale,--D,9249,67610,4,0001470946,Common Stock
D,06/06/2023 00:00:00,Kesler Dale Craig,4,S-Sale,--D,4485,76859,3,0001470946,Common Stock
A,06/06/2023 00:00:00,Kesler Dale Craig,4,M-Exempt,--D,6614,81344,2,0001470946,Common Stock
A,06/06/2023 00:00:00,Kesler Dale Craig,4,M-Exempt,--D,7120,74730,1,0001470946,Common Stock
D,06/02/2023 00:00:00,Newby Matt,4,M-Exempt,--D,4246,0,3,0001921787,Non-Qualified Stock Option (Right to Buy)
D,06/02/2023 00:00:00,Newby Matt,4,S-Sale,--D,4246,21819,2,0001921787,Common Stock
A,06/02/2023 00:00:00,Newby Matt,4,M-Exempt,--D,4246,26065,1,0001921787,Common Stock
D,06/02/2023 00:00:00,STEWART ROBERT S,4,S-Sale,--D,13085,13547,1,0001114763,Common Stock
D,05/24/2023 00:00:00,Cribbs Eric,4,M-Exempt,--D,637,637,10,0001941583,Non-Qualified Stock Option (Right to Buy)
D,05/24/2023 00:00:00,Cribbs Eric,4,M-Exempt,--D,764,764,9,0001941583,Non-Qualified Stock Option (Right to Buy)
D,05/24/2023 00:00:00,Cribbs Eric,4,M-Exempt,--D,1142,3426,8,0001941583,Non-Qualified Stock Option (Right to Buy)
D,05/24/2023 00:00:00,Cribbs Eric,4,M-Exempt,--D,1206,3618,7,0001941583,Non-Qualified Stock Option (Right to Buy)
D,05/24/2023 00:00:00,Cribbs Eric,4,S-Sale,--D,1000,16354,6,0001941583,Common Stock
D,05/24/2023 00:00:00,Cribbs Eric,4,S-Sale,--D,3749,17354,5,0001941583,Common Stock
A,05/24/2023 00:00:00,Cribbs Eric,4,M-Exempt,--D,637,21103,4,0001941583,Common Stock
A,05/24/2023 00:00:00,Cribbs Eric,4,M-Exempt,--D,764,20466,3,0001941583,Common Stock
