MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/13/2023 00:00:00,Owen Terry Modock,4,M-Exempt,--D,20000,63332,4,0001607155,Employee Stock Option (Right to Buy)
D,06/13/2023 00:00:00,Owen Terry Modock,4,S-Sale,--D,20000,7000,2,0001607155,Common Stock
A,06/13/2023 00:00:00,Owen Terry Modock,4,M-Exempt,--D,20000,27000,1,0001607155,Common Stock
D,05/12/2023 00:00:00,Drazkowski William Joseph,4,M-Exempt,--D,624,0,5,0001691831,Employee Stock Option (Right to Buy)
D,05/12/2023 00:00:00,Drazkowski William Joseph,4,S-Sale,--D,624,5997,2,0001691831,Common Stock
A,05/12/2023 00:00:00,Drazkowski William Joseph,4,M-Exempt,--D,624,6621,1,0001691831,Common Stock
D,02/07/2023 00:00:00,Owen Terry Modock,4,M-Exempt,--D,15000,0,4,0001607155,Employee Stock Option (Right to Buy)
D,02/07/2023 00:00:00,Owen Terry Modock,4,S-Sale,--D,15000,7000,2,0001607155,Common Stock
A,02/07/2023 00:00:00,Owen Terry Modock,4,M-Exempt,--D,15000,22000,1,0001607155,Common Stock
A,01/03/2023 00:00:00,Owen Terry Modock,4/A,A-Award,--D,31250,31250,1,0001607155,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Miller Charles S.,4/A,A-Award,--D,26875,26875,1,0001660150,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Jansen James C,4/A,A-Award,--D,15000,15000,1,0001418483,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Soderberg John Lewis,4/A,A-Award,--D,18750,18750,1,0001607149,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Watts Jeffery Michael,4/A,A-Award,--D,23125,23125,1,0001691805,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Lisowski Sheryl Ann,4/A,A-Award,--D,15000,15000,1,0001589160,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Drazkowski William Joseph,4/A,A-Award,--D,23125,23125,1,0001691831,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Lewis Holden,4/A,A-Award,--D,24635,24635,1,0001681628,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,SATTERLEE SCOTT,4,A-Award,--D,6884,6884,1,0001256632,Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Nielsen Sarah N,4,A-Award,--D,8605,8605,1,0001344393,Stock Option (Right to Buy)
A,01/03/2023 00:00:00,LUNDQUIST NICHOLAS J,4,A-Award,--D,4302,4302,1,0001246130,Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Ancius Michael J,4,A-Award,--D,12908,12908,1,0001454708,Stock Option (Right to Buy)
A,01/03/2023 00:00:00,HSU Hsenghung Sam,4,A-Award,--D,12908,12908,1,0001821543,Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Heise Rita J.,4,A-Award,--D,12908,12908,1,0001554387,Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Johnson Daniel L.,4,A-Award,--D,4302,4302,1,0001675882,Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Eastman Stephen L.,4,A-Award,--D,7745,7745,1,0001540958,Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Lisowski Sheryl Ann,4,A-Award,--D,13333,13333,1,0001589160,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Jansen James C,4,A-Award,--D,13333,13333,1,0001418483,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Drazkowski William Joseph,4,A-Award,--D,19270,19270,1,0001691831,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Watts Jeffery Michael,4,A-Award,--D,19270,19270,1,0001691805,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Soderberg John Lewis,4,A-Award,--D,16666,16666,1,0001607149,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Miller Charles S.,4,A-Award,--D,22395,22395,1,0001660150,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Owen Terry Modock,4,A-Award,--D,26041,26041,1,0001607155,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,Lewis Holden,4,A-Award,--D,17916,17916,1,0001681628,Employee Stock Option (Right to Buy)
A,01/03/2023 00:00:00,FLORNESS DANIEL L,4,A-Award,--D,72916,72916,1,0001017427,Employee Stock Option (Right to Buy)
A,11/29/2022 00:00:00,Watts Jeffery Michael,4,P-Purchase,--D,5940,5940,1,0001691805,Common Stock
A,10/17/2022 00:00:00,Nielsen Sarah N,4,P-Purchase,--D,500,2000,1,0001344393,Common Stock
A,10/14/2022 00:00:00,Eastman Stephen L.,4,P-Purchase,--D,1000,10000,1,0001540958,Common Stock
A,09/15/2022 00:00:00,FLORNESS DANIEL L,4,P-Purchase,--D,1000,282929,2,0001017427,Common Stock
A,09/15/2022 00:00:00,Nielsen Sarah N,4,P-Purchase,--D,500,1500,1,0001344393,Common Stock
A,09/14/2022 00:00:00,FLORNESS DANIEL L,4,P-Purchase,--D,4000,281929,1,0001017427,Common Stock
A,09/13/2022 00:00:00,Ancius Michael J,4,P-Purchase,--D,500,28265,2,0001454708,Common Stcck
D,08/22/2022 00:00:00,Ancius Michael J,4,G-Gift,--D,500,27765,1,0001454708,Common Stcck
D,08/15/2022 00:00:00,Miller Charles S.,4,M-Exempt,--D,7500,11590,10,0001660150,Employee Stock Option (Right to Buy)
D,08/15/2022 00:00:00,Miller Charles S.,4,M-Exempt,--D,14892,0,9,0001660150,Employee Stock Option (Right to Buy)
D,08/15/2022 00:00:00,Miller Charles S.,4,M-Exempt,--D,744,744,8,0001660150,Employee Stock Option (Right to Buy)
D,08/15/2022 00:00:00,Miller Charles S.,4,S-Sale,--D,7500,7500,6,0001660150,Common Stock
A,08/15/2022 00:00:00,Miller Charles S.,4,M-Exempt,--D,7500,15000,5,0001660150,Common Stock
D,08/15/2022 00:00:00,Miller Charles S.,4,S-Sale,--D,14892,7500,4,0001660150,Common Stock
A,08/15/2022 00:00:00,Miller Charles S.,4,M-Exempt,--D,14892,22392,3,0001660150,Common Stock
D,08/15/2022 00:00:00,Miller Charles S.,4,S-Sale,--D,744,7500,2,0001660150,Common Stock
A,08/15/2022 00:00:00,Miller Charles S.,4,M-Exempt,--D,744,8244,1,0001660150,Common Stock
A,07/14/2022 00:00:00,Lisowski Sheryl Ann,4,P-Purchase,--D,1058,5096,1,0001589160,Common Stock
A,06/15/2022 00:00:00,Jansen James C,4,P-Purchase,--D,1000,26176,1,0001418483,Common Stock
A,06/15/2022 00:00:00,Lewis Holden,4,P-Purchase,--D,1000,9582,1,0001681628,Common Stock
A,06/15/2022 00:00:00,Ancius Michael J,4,P-Purchase,--D,678,28265,1,0001454708,Common Stock
D,06/06/2022 00:00:00,Miller Charles S.,5,S-Sale,--D,7500,0,1,0001660150,Common Stock
A,05/19/2022 00:00:00,Johnson Daniel L.,4,P-Purchase,--D,1000,10595,1,0001675882,Common Stock
A,05/11/2022 00:00:00,Ancius Michael J,4,P-Purchase,--D,1000,27587,1,0001454708,Common Stock
A,05/06/2022 00:00:00,Ancius Michael J,4,P-Purchase,--D,400,26587,3,0001454708,Common Stock
A,05/05/2022 00:00:00,Ancius Michael J,4,P-Purchase,--D,135,26187,2,0001454708,Common Stock
A,05/05/2022 00:00:00,Ancius Michael J,4,P-Purchase,--D,100,26052,1,0001454708,Common Stock
A,05/03/2022 00:00:00,FLORNESS DANIEL L,4,J-Other,--I,10000,10000,1,0001017427,Common Stock
A,04/14/2022 00:00:00,Ancius Michael J,4,P-Purchase,--D,500,25952,2,0001454708,Common Stock
A,04/14/2022 00:00:00,Ancius Michael J,4,P-Purchase,--D,150,25452,1,0001454708,Common Stock
A,02/28/2022 00:00:00,Ancius Michael J,5,P-Purchase,--I,40,6504,1,0001454708,Common Stock
A,01/20/2022 00:00:00,Ancius Michael J,4,P-Purchase,--D,370,25302,2,0001454708,Common Stock
A,01/20/2022 00:00:00,Ancius Michael J,4,P-Purchase,--D,360,24932,1,0001454708,Common Stock
A,01/03/2022 00:00:00,Soderberg John Lewis,4,A-Award,--D,9193,9193,1,0001607149,Employee Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Lisowski Sheryl Ann,4,A-Award,--D,7741,7741,1,0001589160,Employee Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Watts Jeffery Michael,4,A-Award,--D,11935,11935,1,0001691805,Employee Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Miller Charles S.,4,A-Award,--D,13870,13870,1,0001660150,Employee Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Drazkowski William Joseph,4,A-Award,--D,11935,11935,1,0001691831,Employee Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Jansen James C,4,A-Award,--D,7741,7741,1,0001418483,Employee Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Owen Terry Modock,4,A-Award,--D,16129,16129,1,0001607155,Employee Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Lewis Holden,4,A-Award,--D,10403,10403,1,0001681628,Employee Stock Option (Right to Buy)
A,01/03/2022 00:00:00,FLORNESS DANIEL L,4,A-Award,--D,45161,45161,1,0001017427,Employee Stock Option (Right to Buy)
A,01/03/2022 00:00:00,WISECUP REYNE K,4,A-Award,--D,9677,9677,1,0001246432,Employee Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Ancius Michael J,4,A-Award,--D,3654,3654,1,0001454708,Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Eastman Stephen L.,4,A-Award,--D,6578,6578,1,0001540958,Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Heise Rita J.,4,A-Award,--D,10964,10964,1,0001554387,Stock Option (Right to Buy)
A,01/03/2022 00:00:00,HSU Hsenghung Sam,4,A-Award,--D,10964,10964,1,0001821543,Stock Option (Right to Buy)
A,01/03/2022 00:00:00,Johnson Daniel L.,4,A-Award,--D,3654,3654,1,0001675882,Stock Option (Right to Buy)
A,01/03/2022 00:00:00,LUNDQUIST NICHOLAS J,4,A-Award,--D,3654,3654,1,0001246130,Stock Option (Right to Buy)
