MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/15/2023 00:00:00,Ramos Raul,4,S-Sale,--D,30050,22400,2,0001616549,Common Stock
D,05/12/2023 00:00:00,Ramos Raul,4,S-Sale,--D,10050,52450,1,0001616549,Common Stock
D,05/09/2023 00:00:00,ORR R DOUGLAS,4,S-Sale,--I,7500,57234,2,0001241580,Common Stock
D,02/02/2023 00:00:00,Rippel Douglas Richard,4,S-Sale,--I,10359,7021743,2,0001724410,Common Stock
A,02/01/2023 00:00:00,GRAVES JAMES H,4,A-Award,--D,1503,19370,1,0001168703,Common Stock
A,02/01/2023 00:00:00,Davis Marthea,4,A-Award,--D,1503,2298,1,0001935752,Common Stock
A,02/01/2023 00:00:00,Hambleton Howard F,4,A-Award,--D,6678,23121,1,0001911402,Common Stock
A,02/01/2023 00:00:00,Stuart Thomas Brent,4,A-Award,--D,14001,72827,3,0001632186,Common Stock
D,02/01/2023 00:00:00,Stuart Thomas Brent,4,F-InKind,--D,5666,58826,2,0001632186,Common Stock
A,02/01/2023 00:00:00,Stuart Thomas Brent,4,A-Award,--D,14400,64492,1,0001632186,Common Stock
A,02/01/2023 00:00:00,ORR R DOUGLAS,4,A-Award,--D,12487,78193,3,0001241580,Common Stock
D,02/01/2023 00:00:00,ORR R DOUGLAS,4,F-InKind,--D,5666,65706,2,0001241580,Common Stock
A,02/01/2023 00:00:00,ORR R DOUGLAS,4,A-Award,--D,14400,71372,1,0001241580,Common Stock
A,02/01/2023 00:00:00,Garrett Paula K,4,A-Award,--D,1503,4755,1,0001838499,Common Stock
A,02/01/2023 00:00:00,WESSEL RICK L,4,A-Award,--D,38174,883462,3,0001063356,Common Stock
D,02/01/2023 00:00:00,WESSEL RICK L,4,F-InKind,--D,16999,845288,2,0001063356,Common Stock
A,02/01/2023 00:00:00,WESSEL RICK L,4,A-Award,--D,43202,862287,1,0001063356,Common Stock
A,02/01/2023 00:00:00,Ramos Raul,4,A-Award,--D,4000,62500,1,0001616549,Common Stock
A,02/01/2023 00:00:00,Owen Randel G,4,A-Award,--D,1503,10675,1,0001346846,Common Stock
A,02/01/2023 00:00:00,FAULKNER MIKEL D,4,A-Award,--D,1503,12375,1,0001218565,Common Stock
A,02/01/2023 00:00:00,Rippel Douglas Richard,4,A-Award,--D,1503,3095,1,0001724410,Common Stock
A,02/01/2023 00:00:00,BERCE DANIEL E,4,A-Award,--D,1503,23170,1,0001115044,Common Stock
D,02/01/2023 00:00:00,Rippel Douglas Richard,4,S-Sale,--I,25715,7032102,4,0001724410,Common Stock
D,01/31/2023 00:00:00,Rippel Douglas Richard,4,S-Sale,--I,20019,7057817,3,0001724410,Common Stock
D,01/30/2023 00:00:00,Rippel Douglas Richard,4,S-Sale,--I,16902,7077836,2,0001724410,Common Stock
D,01/27/2023 00:00:00,Rippel Douglas Richard,4,S-Sale,--I,21255,7094738,4,0001724410,Common Stock
D,01/26/2023 00:00:00,Rippel Douglas Richard,4,S-Sale,--I,25051,7115993,3,0001724410,Common Stock
D,01/25/2023 00:00:00,Rippel Douglas Richard,4,S-Sale,--I,33516,7141044,2,0001724410,Common Stock
D,01/24/2023 00:00:00,Rippel Douglas Richard,4,S-Sale,--I,33364,7174560,4,0001724410,Common Stock
