MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/28/2023 00:00:00,CARTER ROBERT B,4,M-Exempt,--D,19270,0,4,0001197607,Non-qualified Stock Option (Right to Buy)
D,06/28/2023 00:00:00,CARTER ROBERT B,4,S-Sale,--D,19270,58875,2,0001197607,Common Stock
A,06/28/2023 00:00:00,CARTER ROBERT B,4,M-Exempt,--D,19270,78145,1,0001197607,Common Stock
D,06/27/2023 00:00:00,Johnson Jennifer L,4,M-Exempt,--D,4856,1619,5,0001885927,Non-qualified Stock Option (Right to Buy)
D,06/27/2023 00:00:00,Johnson Jennifer L,4,M-Exempt,--D,5945,0,4,0001885927,Non-qualified Stock Option (Right to Buy)
D,06/27/2023 00:00:00,Johnson Jennifer L,4,S-Sale,--D,10801,3196,3,0001885927,Common Stock
A,06/27/2023 00:00:00,Johnson Jennifer L,4,M-Exempt,--D,4856,13997,2,0001885927,Common Stock
A,06/27/2023 00:00:00,Johnson Jennifer L,4,M-Exempt,--D,5945,9141,1,0001885927,Common Stock
A,06/22/2023 00:00:00,Subramaniam Rajesh,4,A-Award,--D,47851,47851,3,0001679607,Non-qualified Stock Option (Right to Buy)
A,06/22/2023 00:00:00,Subramaniam Rajesh,4,A-Award,--D,9808,49291,1,0001679607,Common Stock
A,06/22/2023 00:00:00,Smith Richard W,4,A-Award,--D,15438,15438,3,0001944623,Non-qualified Stock Option (Right to Buy)
A,06/22/2023 00:00:00,Smith Richard W,4,A-Award,--D,3959,82348,2,0001944623,Common Stock
A,06/22/2023 00:00:00,Smith John Alan,4,A-Award,--D,15438,15438,3,0001749893,Non-qualified Stock Option (Right to Buy)
A,06/22/2023 00:00:00,Smith John Alan,4,A-Award,--D,3959,19820,1,0001749893,Common Stock
A,06/22/2023 00:00:00,Lenz Michael C.,4,A-Award,--D,19332,19332,2,0001823573,Non-qualified Stock Option (Right to Buy)
A,06/22/2023 00:00:00,Lenz Michael C.,4,A-Award,--D,4227,22478,1,0001823573,Common Stock
A,06/22/2023 00:00:00,Krishnasamy Sriram,4,A-Award,--D,15438,15438,2,0001941800,Non-qualified Stock Option (Right to Buy)
A,06/22/2023 00:00:00,Krishnasamy Sriram,4,A-Award,--D,3959,10567,1,0001941800,Common Stock
A,06/22/2023 00:00:00,Johnson Jennifer L,4,A-Award,--D,3155,3155,2,0001885927,Non-qualified Stock Option (Right to Buy)
A,06/22/2023 00:00:00,Johnson Jennifer L,4,A-Award,--D,791,3196,1,0001885927,Common Stock
A,06/22/2023 00:00:00,CARTER ROBERT B,4,A-Award,--D,15438,15438,3,0001197607,Non-qualified Stock Option (Right to Buy)
A,06/22/2023 00:00:00,CARTER ROBERT B,4,A-Award,--D,3959,58875,2,0001197607,Common Stock
A,06/22/2023 00:00:00,Carere Brie,4,A-Award,--D,15438,15438,2,0001763095,Non-qualified Stock Option (Right to Buy)
A,06/22/2023 00:00:00,Carere Brie,4,A-Award,--D,3959,18575,1,0001763095,Common Stock
A,06/22/2023 00:00:00,Brightman Tracy B,4,A-Award,--D,15438,15438,2,0001981585,Non-qualified Stock Option (Right to Buy)
A,06/22/2023 00:00:00,Brightman Tracy B,4,A-Award,--D,3959,6294,1,0001981585,Common Stock
A,06/22/2023 00:00:00,Allen Mark R,4,A-Award,--D,15438,15438,3,0001718431,Non-qualified Stock Option (Right to Buy)
A,06/22/2023 00:00:00,Allen Mark R,4,A-Award,--D,3959,36853,1,0001718431,Common Stock
A,04/12/2023 00:00:00,GORMAN STEPHEN E,4,P-Purchase,--D,1080,1258,1,0001160512,Common Stock
