MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/01/2023 00:00:00,TIERNEY BRIAN X,4/A,A-Award,--D,134753,134753,1,0001423515,Common Stock
A,06/01/2023 00:00:00,TIERNEY BRIAN X,4,A-Award,--D,134753,134753,1,0001423515,Common Stock
A,04/03/2023 00:00:00,DEMETRIOU STEVEN J.,4,A-Award,--D,1003,5133,1,0001173003,Common Stock
A,04/03/2023 00:00:00,Williams Melvin D.,4,A-Award,--D,1003,4821.924,1,0001864882,Phantom Stock Units
A,04/03/2023 00:00:00,Turner Leslie M,4,A-Award,--D,1003,14101.1,1,0001553405,Phantom Stock Units
A,04/03/2023 00:00:00,Teno Andrew,4,A-Award,--D,1003,4821.924,1,0001700750,Phantom Stock Units
A,04/03/2023 00:00:00,ONEIL JAMES F,4,A-Award,--D,1003,32756.746,1,0001102786,Phantom Stock Units
A,04/03/2023 00:00:00,LYNN JESSE,4,A-Award,--D,1003,4821.924,1,0001605350,Phantom Stock Units
A,04/03/2023 00:00:00,KALETA PAUL J,4,A-Award,--D,1003,4821.924,1,0001349867,Phantom Stock Units
A,04/03/2023 00:00:00,Hicks Lisa Winston,4,A-Award,--D,1003,4821.924,1,0001870881,Phantom Stock Units
A,04/03/2023 00:00:00,Croom Jana T,4,A-Award,--D,1003,1003,1,0001840657,Phantom Stock Units
D,03/01/2023 00:00:00,Park Hyun,4/A,F-InKind,--D,11027,21433,1,0001322841,Common Stock
D,03/01/2023 00:00:00,K. Jon Taylor,4,M-Exempt,--D,12113,0,7,0001575883,15PSUS20
A,03/01/2023 00:00:00,K. Jon Taylor,4,A-Award,--D,4846,4846,6,0001575883,Phantom 3/23D
D,03/01/2023 00:00:00,K. Jon Taylor,4,F-InKind,--D,3739,28671.775,5,0001575883,Common Stock
A,03/01/2023 00:00:00,K. Jon Taylor,4,M-Exempt,--D,12113,32410.775,4,0001575883,Common Stock
D,03/01/2023 00:00:00,K. Jon Taylor,4,D-Return,--D,4846,75177.775,3,0001575883,Common Stock
A,03/01/2023 00:00:00,K. Jon Taylor,4,A-Award,--D,51352,80023.775,2,0001575883,Common Stock
A,03/01/2023 00:00:00,Walker Christine,4,A-Award,--D,2280,2280,7,0001747189,Phantom 3/23D
D,03/01/2023 00:00:00,Walker Christine,4,M-Exempt,--D,9118,0,6,0001747189,15PSUS20
D,03/01/2023 00:00:00,Walker Christine,4,D-Return,--D,2280,49459.28,5,0001747189,Common Stock
D,03/01/2023 00:00:00,Walker Christine,4,F-InKind,--D,3132,42621.28,4,0001747189,Common Stock
A,03/01/2023 00:00:00,Walker Christine,4,M-Exempt,--D,9118,51739.28,3,0001747189,Common Stock
D,03/01/2023 00:00:00,Park Hyun,4,F-InKind,--D,11027,21433,2,0001322841,Common Stock
A,03/01/2023 00:00:00,Park Hyun,4,A-Award,--D,23533,32460,1,0001322841,Common Stock
D,03/01/2023 00:00:00,Lisowski Jason,4,F-InKind,--D,2191,2812.189,2,0001732499,Common Stock
A,03/01/2023 00:00:00,Lisowski Jason,4,A-Award,--D,4736,5003.189,1,0001732499,Common Stock
D,03/01/2023 00:00:00,Belcher Samuel,4,F-InKind,--D,12118,68924.302,2,0001732498,Common Stock
A,03/01/2023 00:00:00,Belcher Samuel,4,A-Award,--D,26086,81042.302,1,0001732498,Common Stock
A,02/09/2023 00:00:00,Walker Christine,4,A-Award,--D,9027.221,9027.221,5,0001747189,15PSUS20
A,02/09/2023 00:00:00,Walker Christine,4,A-Award,--D,4461.609,4461.609,4,0001747189,15PSUC20
A,02/09/2023 00:00:00,K. Jon Taylor,4,A-Award,--D,11992.473,11992.473,4,0001575883,15PSUS20
A,02/09/2023 00:00:00,K. Jon Taylor,4,A-Award,--D,5944.596,5944.596,3,0001575883,15PSUC20
A,02/09/2023 00:00:00,Park Hyun,4,A-Award,--D,23299.325,23299.325,4,0001322841,20PSUS20
A,02/09/2023 00:00:00,Lisowski Jason,4,A-Award,--D,4688.896,4688.896,4,0001732499,15PSUS20
A,02/09/2023 00:00:00,Lisowski Jason,4,A-Award,--D,2302.93,2302.93,3,0001732499,15PSUC20
A,02/09/2023 00:00:00,Belcher Samuel,4,A-Award,--D,25826.573,25826.573,4,0001732498,15PSUS20
A,02/09/2023 00:00:00,Belcher Samuel,4,A-Award,--D,12830.609,12830.609,3,0001732498,15PSUC20
A,01/04/2023 00:00:00,SOMERHALDER JOHN W II,4,A-Award,--D,85228,143508,3,0001145921,Common Stock
D,01/04/2023 00:00:00,SOMERHALDER JOHN W II,4,F-InKind,--D,21048,58280,2,0001145921,Common Stock
A,01/04/2023 00:00:00,SOMERHALDER JOHN W II,4,A-Award,--D,57,79328,1,0001145921,Common Stock
