MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/14/2023 00:00:00,WHITE ANA MARIA,4,S-Sale,--D,170,37728,1,0001728880,Common Stock
D,06/05/2023 00:00:00,Locoh-Donou Francois,4,S-Sale,--D,2201,108337,1,0001526624,Common Stock
D,06/01/2023 00:00:00,WHALEN CHAD MICHAEL,4,S-Sale,--D,279,14648,1,0001746640,Common Stock
D,05/24/2023 00:00:00,Dreyer Michael L,4,S-Sale,--D,2750,5347,1,0001560297,Common Stock
D,05/18/2023 00:00:00,WHALEN CHAD MICHAEL,4,S-Sale,--D,280,14927,1,0001746640,Common Stock
D,05/17/2023 00:00:00,HIGGINSON ALAN,4,S-Sale,--D,1000,11937,1,0001186030,Common Stock
D,05/15/2023 00:00:00,WHITE ANA MARIA,4,S-Sale,--D,170,37898,1,0001728880,Common Stock
D,05/03/2023 00:00:00,Locoh-Donou Francois,4,S-Sale,--D,2201,110538,1,0001526624,Common Stock
D,05/02/2023 00:00:00,Yamamoto Mika,4,S-Sale,--D,1650,8914,3,0001771433,Common Stock
D,05/02/2023 00:00:00,FOUNTAIN THOMAS DEAN,4,S-Sale,--D,919,11490,3,0001728330,Common Stock
D,05/01/2023 00:00:00,Yamamoto Mika,4,M-Exempt,--D,1511,1512,7,0001771433,Restricted Stock Unit
D,05/01/2023 00:00:00,Yamamoto Mika,4,M-Exempt,--D,807,8072,6,0001771433,Restricted Stock Unit
D,05/01/2023 00:00:00,Yamamoto Mika,4,M-Exempt,--D,523,3138,5,0001771433,Restricted Stock Unit
D,05/01/2023 00:00:00,Yamamoto Mika,4,M-Exempt,--D,794,1588,4,0001771433,Restricted Stock Unit
D,05/01/2023 00:00:00,Yamamoto Mika,4,F-InKind,--D,1428,10564,2,0001771433,Common Stock
A,05/01/2023 00:00:00,Yamamoto Mika,4,M-Exempt,--D,3635,11992,1,0001771433,Common Stock
D,05/01/2023 00:00:00,WHITE ANA MARIA,4,M-Exempt,--D,778,7784,6,0001728880,Restricted Stock Unit
D,05/01/2023 00:00:00,WHITE ANA MARIA,4,M-Exempt,--D,484,2906,5,0001728880,Restricted Stock Unit
D,05/01/2023 00:00:00,WHITE ANA MARIA,4,M-Exempt,--D,825,1652,4,0001728880,Restricted Stock Unit
D,05/01/2023 00:00:00,WHITE ANA MARIA,4,F-InKind,--D,820,38068,3,0001728880,Common Stock
A,05/01/2023 00:00:00,WHITE ANA MARIA,4,M-Exempt,--D,2087,38888,2,0001728880,Common Stock
D,05/01/2023 00:00:00,WHALEN CHAD MICHAEL,4,M-Exempt,--D,951,9514,5,0001746640,Restricted Stock Unit
D,05/01/2023 00:00:00,WHALEN CHAD MICHAEL,4,M-Exempt,--D,639,3836,4,0001746640,Restricted Stock Unit
D,05/01/2023 00:00:00,WHALEN CHAD MICHAEL,4,M-Exempt,--D,921,1842,3,0001746640,Restricted Stock Unit
D,05/01/2023 00:00:00,WHALEN CHAD MICHAEL,4,F-InKind,--D,987,15207,2,0001746640,Common Stock
A,05/01/2023 00:00:00,WHALEN CHAD MICHAEL,4,M-Exempt,--D,2511,16194,1,0001746640,Common Stock
D,05/01/2023 00:00:00,SPRAGUE KARA LYNN,4,M-Exempt,--D,1096,10955,6,0001720763,Restricted Stock Unit
D,05/01/2023 00:00:00,SPRAGUE KARA LYNN,4,M-Exempt,--D,639,3836,5,0001720763,Restricted Stock Unit
D,05/01/2023 00:00:00,SPRAGUE KARA LYNN,4,M-Exempt,--D,857,1715,4,0001720763,Restricted Stock Unit
D,05/01/2023 00:00:00,SPRAGUE KARA LYNN,4,F-InKind,--D,1019,46763,3,0001720763,Common Stock
A,05/01/2023 00:00:00,SPRAGUE KARA LYNN,4,M-Exempt,--D,2592,47782,2,0001720763,Common Stock
D,05/01/2023 00:00:00,Rogers Scot Frazier,4,M-Exempt,--D,750,7496,5,0001588334,Restricted Stock Unit
D,05/01/2023 00:00:00,Rogers Scot Frazier,4,M-Exempt,--D,465,2790,4,0001588334,Restricted Stock Unit
D,05/01/2023 00:00:00,Rogers Scot Frazier,4,M-Exempt,--D,762,1525,3,0001588334,Restricted Stock Unit
D,05/01/2023 00:00:00,Rogers Scot Frazier,4,F-InKind,--D,776,17964,2,0001588334,Common Stock
A,05/01/2023 00:00:00,Rogers Scot Frazier,4,M-Exempt,--D,1977,18740,1,0001588334,Common Stock
D,05/01/2023 00:00:00,Pelzer Francis J.,4,M-Exempt,--D,807,8072,5,0001492125,Restricted Stock Unit
D,05/01/2023 00:00:00,Pelzer Francis J.,4,M-Exempt,--D,484,2906,4,0001492125,Restricted Stock Unit
D,05/01/2023 00:00:00,Pelzer Francis J.,4,M-Exempt,--D,825,1652,3,0001492125,Restricted Stock Unit
