MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,07/11/2022 00:00:00,CONLEE CECIL D,4,S-Sale,--D,12000,68680,1,0001024406,Common Stock
A,12/15/2021 00:00:00,sheridan stanley michael,4,P-Purchase,--D,100,79508,1,0001474689,Common Stock
D,12/14/2021 00:00:00,CONLEE CECIL D,5,G-Gift,--D,3000,80680,1,0001024406,COMMON STOCK
D,12/07/2021 00:00:00,CONLEE CECIL D,4,X-InTheMoney,--D,1600,42000,4,0001024406,KEEP STOCK OPTION
D,12/07/2021 00:00:00,CONLEE CECIL D,4,X-InTheMoney,--D,4400,43600,3,0001024406,KEEP STOCK OPTION
A,12/07/2021 00:00:00,CONLEE CECIL D,4,X-InTheMoney,--D,1600,83680,2,0001024406,Common Stock
A,12/07/2021 00:00:00,CONLEE CECIL D,4,X-InTheMoney,--D,4400,82080,1,0001024406,Common Stock
D,09/29/2021 00:00:00,CONLEE CECIL D,5/A,G-Gift,--D,2000,78680,1,0001024406,COMMON STOCK
D,07/27/2021 00:00:00,sheridan stanley michael,4,X-InTheMoney,--D,2000,0,4,0001474689,KEEP STOCK OPTION
D,07/27/2021 00:00:00,sheridan stanley michael,4,X-InTheMoney,--D,4000,0,3,0001474689,KEEP STOCK OPTION
A,07/27/2021 00:00:00,sheridan stanley michael,4,X-InTheMoney,--D,2000,79408,2,0001474689,Common Stock
A,07/27/2021 00:00:00,sheridan stanley michael,4,X-InTheMoney,--D,4000,77408,1,0001474689,Common Stock
D,07/12/2021 00:00:00,CAPORELLA NICK A,5,G-Gift,--D,1200,68494572,1,0001252767,COMMON STOCK
D,06/08/2021 00:00:00,CONLEE CECIL D,4,X-InTheMoney,--D,6000,48000,2,0001024406,KEEP STOCK OPTION
A,06/08/2021 00:00:00,CONLEE CECIL D,4,X-InTheMoney,--D,6000,77680,1,0001024406,Common Stock
D,03/22/2021 00:00:00,CONLEE CECIL D,5,G-Gift,--D,4000,71680,2,0001024406,COMMON STOCK
D,01/26/2021 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,2500,58766,6,0001252769,COMMON STOCK
D,12/29/2020 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,31000,58766,5,0001252769,COMMON STOCK
D,12/23/2020 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,30000,58766,4,0001252769,COMMON STOCK
D,12/23/2020 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,30000,58766,3,0001252769,COMMON STOCK
D,12/23/2020 00:00:00,CONLEE CECIL D,5,G-Gift,--D,3000,71680,1,0001024406,COMMON STOCK
D,12/11/2020 00:00:00,HATHORN SAMUEL C,4,X-InTheMoney,--D,745,22500,2,0001252769,KEEP STOCK OPTION
A,12/11/2020 00:00:00,HATHORN SAMUEL C,4,X-InTheMoney,--D,745,76133,1,0001252769,Common Stock
D,12/08/2020 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,6000,58766,2,0001252769,COMMON STOCK
D,10/06/2020 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,4000,58766,1,0001252769,COMMON STOCK
A,10/02/2020 00:00:00,sheridan stanley michael,4,A-Award,--D,5000,16000,1,0001474689,SPECIAL STOCK OPTION
A,10/02/2020 00:00:00,HATHORN SAMUEL C,4,A-Award,--D,7500,23245,1,0001252769,SPECIAL STOCK OPTION
A,10/02/2020 00:00:00,CAPORELLA JOSEPH G,4,A-Award,--D,7500,30500,1,0001252768,SPECIAL STOCK OPTION
A,10/02/2020 00:00:00,CONLEE CECIL D,4,A-Award,--D,6000,27000,1,0001024406,SPECIAL STOCK OPTION
A,10/02/2020 00:00:00,BRACKEN GEORGE R,4,A-Award,--D,6000,21000,1,0001252802,SPECIAL STOCK OPTION
D,07/06/2020 00:00:00,sheridan stanley michael,4,X-InTheMoney,--D,4000,11000,2,0001474689,Special Stock Option
A,07/06/2020 00:00:00,sheridan stanley michael,4,X-InTheMoney,--D,4000,36704,1,0001474689,Common Stock
D,03/17/2020 00:00:00,CAPORELLA JOSEPH G,4,M-Exempt,--D,38000,23000,2,0001252768,SPECIAL STOCK OPTION
A,03/17/2020 00:00:00,CAPORELLA JOSEPH G,4,M-Exempt,--D,38000,451600,1,0001252768,Common Stock
D,12/31/2019 00:00:00,CONLEE CECIL D,4,X-InTheMoney,--D,10000,21000,2,0001024406,Special Stock Option
A,12/31/2019 00:00:00,CONLEE CECIL D,4,X-InTheMoney,--D,10000,39340,1,0001024406,Common Stock
D,12/30/2019 00:00:00,BRACKEN GEORGE R,4,X-InTheMoney,--D,8000,15000,2,0001252802,Special Stock Option
A,12/30/2019 00:00:00,BRACKEN GEORGE R,4,X-InTheMoney,--D,8000,141898,1,0001252802,Common Stock
D,12/27/2019 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,2000,80388,4,0001252769,COMMON STOCK
D,12/26/2019 00:00:00,HATHORN SAMUEL C,4,X-InTheMoney,--D,15000,15745,2,0001252769,Special Stock Option
A,12/26/2019 00:00:00,HATHORN SAMUEL C,4,X-InTheMoney,--D,15000,82388,1,0001252769,Common Stock
D,12/24/2019 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,1000,80388,3,0001252769,COMMON STOCK
D,12/24/2019 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,2000,80388,2,0001252769,COMMON STOCK
D,12/24/2019 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,2000,80388,1,0001252769,COMMON STOCK
A,03/25/2019 00:00:00,CAPORELLA JOSEPH G,4,A-Award,--D,3000,61000,1,0001252768,KEEP STOCK OPTION
A,03/18/2019 00:00:00,CAPORELLA NICK A,4,P-Purchase,--I,1650,34247886,2,0001252767,Common Stock
A,03/15/2019 00:00:00,CAPORELLA NICK A,4,P-Purchase,--I,1650,34246236,1,0001252767,Common Stock
A,03/14/2019 00:00:00,CAPORELLA JOSEPH G,4,P-Purchase,--D,6000,413600,1,0001252768,Common Stock
D,12/07/2018 00:00:00,CONLEE CECIL D,5,G-Gift,-LD,1500,29340,1,0001024406,COMMON STOCK
D,12/26/2017 00:00:00,HATHORN SAMUEL C,4,G-Gift,--D,450,72388,3,0001252769,Common Stock
D,12/19/2017 00:00:00,HATHORN SAMUEL C,4,G-Gift,--D,450,72388,2,0001252769,Common Stock
D,12/18/2017 00:00:00,HATHORN SAMUEL C,4,G-Gift,--D,900,72388,1,0001252769,Common Stock
D,12/22/2016 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,1000,74188,2,0001252769,Common Stock
D,06/08/2016 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,4000,74188,1,0001252769,Common Stock
D,02/08/2016 00:00:00,HATHORN SAMUEL C,4,X-InTheMoney,--D,18000,30745,2,0001252769,Special Stock Option
A,02/08/2016 00:00:00,HATHORN SAMUEL C,4,X-InTheMoney,--D,18000,79188,1,0001252769,COMMON STOCK
D,02/08/2016 00:00:00,CONLEE CECIL D,4,X-InTheMoney,--D,3000,31000,2,0001024406,KEEP STOCK OPTION
A,02/08/2016 00:00:00,CONLEE CECIL D,4,X-InTheMoney,--D,3000,30840,1,0001024406,COMMON STOCK
D,02/08/2016 00:00:00,BRACKEN GEORGE R,4,X-InTheMoney,--D,4800,23000,2,0001252802,Special Stock Option
A,02/08/2016 00:00:00,BRACKEN GEORGE R,4,X-InTheMoney,--D,4800,133898,1,0001252802,COMMON STOCK
D,01/19/2016 00:00:00,CAPORELLA JOSEPH G,4,X-InTheMoney,--D,42000,58000,2,0001252768,Special Stock Option
A,01/19/2016 00:00:00,CAPORELLA JOSEPH G,4,X-InTheMoney,--D,42000,407600,1,0001252768,COMMON STOCK
D,12/28/2015 00:00:00,HATHORN SAMUEL C,5,G-Gift,--D,2170,79188,1,0001252769,Common Stock
D,11/12/2015 00:00:00,COOK GREGORY P,4,X-InTheMoney,--D,2400,8000,2,0001618024,Stock Options
A,11/12/2015 00:00:00,COOK GREGORY P,4,X-InTheMoney,--D,2400,11384,1,0001618024,Common Stock
A,09/24/2015 00:00:00,CONLEE CECIL D,4,A-Award,--D,800,34000,2,0001024406,Keep Stock Option
A,09/23/2015 00:00:00,CONLEE CECIL D,4,P-Purchase,--D,1600,27840,1,0001024406,Common Stock
A,06/10/2015 00:00:00,CONLEE CECIL D,4,A-Award,--D,2200,33200,1,0001024406,KEEP STOCK OPTION
D,12/17/2014 00:00:00,CAPORELLA JOSEPH G,4,X-InTheMoney,--D,2200,100000,2,0001252768,KEEP STOCK OPTION
A,12/17/2014 00:00:00,CAPORELLA JOSEPH G,4,X-InTheMoney,--D,2200,365600,1,0001252768,COMMON STOCK
A,08/27/2014 00:00:00,sheridan stanley michael,4,A-Award,--D,8000,15000,1,0001474689,SPECIAL STOCK OPTION
A,08/27/2014 00:00:00,MCCOY DEAN A,4,A-Award,--D,4000,12600,1,0001252803,SPECIAL STOCK OPTION
A,08/27/2014 00:00:00,HATHORN SAMUEL C,4,A-Award,--D,15000,48745,1,0001252769,SPECIAL STOCK OPTION
A,08/27/2014 00:00:00,COOK GREGORY P,4,A-Award,--D,5000,10400,1,0001618024,SPECIAL STOCK OPTION
