MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,04/24/2023 00:00:00,GUPTA RAHUL,4,A-Award,--D,2081,2081,1,0001231126,Common Stock
D,03/12/2023 00:00:00,Vickery Alissa B,4,F-InKind,--D,39,1848,1,0001824163,Common Stock
D,01/25/2023 00:00:00,King Alan,4,F-InKind,--D,686,9352,3,0001681825,Common Stock
D,01/25/2023 00:00:00,Netto Armando Lins,4,F-InKind,--D,484,29821,4,0001610692,Common Stock
D,01/24/2023 00:00:00,MODDELMOG HALA G,4,F-InKind,--D,475,5142,1,0001208383,Common Stock
D,01/24/2023 00:00:00,MACCHIA RICHARD,4,F-InKind,--D,475,12750,1,0001182818,Common Stock
D,01/24/2023 00:00:00,Jones Archie L Jr.,4,F-InKind,--D,475,1472,1,0001833468,Common Stock
D,01/24/2023 00:00:00,King Alan,4,F-InKind,--D,698,10038,2,0001681825,Common Stock
A,01/24/2023 00:00:00,King Alan,4,A-Award,--D,1486,10736,1,0001681825,Common Stock
D,01/24/2023 00:00:00,Vickery Alissa B,4,F-InKind,--D,349,1887,2,0001824163,Common Stock
A,01/24/2023 00:00:00,Vickery Alissa B,4,A-Award,--D,1109,2236,1,0001824163,Common Stock
A,01/24/2023 00:00:00,Netto Armando Lins,4,A-Award,--D,7985,30305,3,0001610692,Common Stock
D,01/24/2023 00:00:00,Netto Armando Lins,4,F-InKind,--D,2603,22320,2,0001610692,Common Stock
A,01/24/2023 00:00:00,Netto Armando Lins,4,A-Award,--D,1486,24923,1,0001610692,Common Stock
A,01/23/2023 00:00:00,Netto Armando Lins,4,A-Award,--D,17679,17679,2,0001610692,Employee Stock Options
A,01/23/2023 00:00:00,Netto Armando Lins,4,A-Award,--D,3071,26508,1,0001610692,Common Stock
A,01/23/2023 00:00:00,Buckman Michael,4,A-Award,--D,1497,22136,1,0001582637,Common Stock
A,01/23/2023 00:00:00,Farrelly Joseph W,4,A-Award,--D,1497,15628,1,0001606223,Common Stock
A,01/23/2023 00:00:00,Jones Archie L Jr.,4,A-Award,--D,1497,3444,1,0001833468,Common Stock
A,01/23/2023 00:00:00,MODDELMOG HALA G,4,A-Award,--D,1497,7114,1,0001208383,Common Stock
A,01/23/2023 00:00:00,MACCHIA RICHARD,4,A-Award,--D,1497,14722,1,0001182818,Common Stock
A,01/23/2023 00:00:00,SLOAN JEFFREY STEVEN,4,A-Award,--D,1497,14176,1,0001495604,Common Stock
A,01/23/2023 00:00:00,STULL STEVEN T,4,A-Award,--D,4420,4420,1,0001055565,Stock Options
A,01/23/2023 00:00:00,HAGERTY THOMAS M,4,A-Award,--D,1497,8812,1,0001058835,Common Stock
D,09/12/2022 00:00:00,King Alan,4,S-Sale,--D,1379,9250,1,0001681825,Common Stock
D,06/27/2022 00:00:00,Clarke Ronald,4,M-Exempt,--D,173333,0,3,0001506862,Employee Stock Options
A,06/27/2022 00:00:00,Clarke Ronald,4,M-Exempt,--D,173333,1973950,2,0001506862,Common Stock
D,06/27/2022 00:00:00,Clarke Ronald,4,F-InKind,--D,93417,1800617,1,0001506862,Common Stock
D,04/22/2022 00:00:00,Vickery Alissa B,4,F-InKind,--D,29,1127,2,0001824163,Common Stock
D,04/10/2022 00:00:00,Vickery Alissa B,4,F-InKind,--D,16,1156,1,0001824163,Common Stock
D,03/28/2022 00:00:00,Clarke Ronald,4,M-Exempt,--D,85000,173333,3,0001506862,Employee Stock Options
D,03/28/2022 00:00:00,Clarke Ronald,4,F-InKind,--D,45064,1894034,2,0001506862,Common Stock
