MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/16/2023 00:00:00,Harris Matthew C,4,S-Sale,--I,50410,0,3,0001627602,Voting Common Stock
D,06/16/2023 00:00:00,Harris Matthew C,4,S-Sale,--I,191976,50410,2,0001627602,Voting Common Stock
D,06/14/2023 00:00:00,Massaro Michael,4,S-Sale,--D,11457,1116823,2,0001862130,Voting Common Stock
D,06/14/2023 00:00:00,Harris Matthew C,4,J-Other,--I,3553002,242386,1,0001627602,Voting Common Stock
D,06/13/2023 00:00:00,King David R.,4,S-Sale,--I,47804,328654,1,0001862946,Voting Common Stock
D,06/13/2023 00:00:00,Massaro Michael,4,S-Sale,--D,11457,1128280,1,0001862130,Voting Common Stock
D,06/12/2023 00:00:00,Ellis Michael G,4/A,M-Exempt,--D,8591,124114,5,0001862898,Stock Option (Right to Buy)
D,06/12/2023 00:00:00,Ellis Michael G,4/A,S-Sale,--D,12000,228675,2,0001862898,Voting Common Stock
A,06/12/2023 00:00:00,Ellis Michael G,4/A,M-Exempt,--D,8591,240675,1,0001862898,Voting Common Stock
D,06/12/2023 00:00:00,Ellis Michael G,4,M-Exempt,--D,7807,124898,5,0001862898,Stock Option (right to buy)
D,06/12/2023 00:00:00,Ellis Michael G,4,S-Sale,--D,12000,227891,2,0001862898,Voting Common Stock
A,06/12/2023 00:00:00,Ellis Michael G,4,M-Exempt,--D,7807,239891,1,0001862898,Voting Common Stock
D,06/12/2023 00:00:00,King David R.,4,S-Sale,--I,1200,376458,2,0001862946,Voting Common Stock
D,06/09/2023 00:00:00,King David R.,4,S-Sale,--I,996,377658,1,0001862946,Voting Common Stock
D,06/06/2023 00:00:00,Massaro Michael,4,S-Sale,--D,11457,1139737,2,0001862130,Voting Common Stock
D,06/05/2023 00:00:00,Butterfield Peter,4,M-Exempt,--D,3303,113327,5,0001862133,Stock Option (right to buy)
D,06/05/2023 00:00:00,Butterfield Peter,4,M-Exempt,--D,2096,90066,4,0001862133,Stock Option (right to buy)
D,06/05/2023 00:00:00,Butterfield Peter,4,S-Sale,--D,11232,113852,3,0001862133,Voting Common Stock
A,06/05/2023 00:00:00,Butterfield Peter,4,M-Exempt,--D,3303,125084,2,0001862133,Voting Common Stock
A,06/05/2023 00:00:00,Butterfield Peter,4,M-Exempt,--D,2096,121781,1,0001862133,Voting Common Stock
D,06/05/2023 00:00:00,Massaro Michael,4,S-Sale,--D,11457,1151194,1,0001862130,Voting Common Stock
D,06/05/2023 00:00:00,Santos Edwin J,4,S-Sale,--D,4861,10448,2,0001548238,Voting Common Stock
A,06/04/2023 00:00:00,Offereins Diane E,4,A-Award,--D,5587,19763,1,0001401323,Voting Common Stock
A,06/04/2023 00:00:00,Riese Phillip John,4,A-Award,--D,5587,21941,1,0001307696,Voting Common Stock
A,06/04/2023 00:00:00,Finkelstein Alex,4,A-Award,--D,5587,231817,1,0001620153,Voting Common Stock
A,06/04/2023 00:00:00,Santos Edwin J,4,A-Award,--D,5587,15309,1,0001548238,Voting Common Stock
D,06/01/2023 00:00:00,Santos Edwin J,4,S-Sale,--D,9062,9722,1,0001548238,Voting Common Stock
D,05/31/2023 00:00:00,Massaro Michael,4,S-Sale,--D,11457,1162651,2,0001862130,Voting Common Stock
D,05/30/2023 00:00:00,Massaro Michael,4,S-Sale,--D,11457,1174108,1,0001862130,Voting Common Stock
D,05/26/2023 00:00:00,Harris Matthew C,4,S-Sale,--I,169716,3795388,2,0001627602,Voting Common Stock
D,05/24/2023 00:00:00,Harris Matthew C,4,J-Other,--I,3830284,3965104,1,0001627602,Voting Common Stock
D,05/23/2023 00:00:00,King David R.,4,S-Sale,--I,26053,378654,2,0001862946,Voting Common Stock
D,05/22/2023 00:00:00,King David R.,4,S-Sale,--I,13947,404707,1,0001862946,Voting Common Stock
