MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/23/2023 00:00:00,Christopherson David Victor,4,S-Sale,--D,4984,42356,2,0001526277,"Class A common stock, par value $0.001"
D,06/23/2023 00:00:00,Christopherson David Victor,4,S-Sale,--D,820,47340,1,0001526277,"Class A common stock, par value $0.001"
D,05/16/2023 00:00:00,Christopherson David Victor,4,F-InKind,--D,8189,48160,1,0001526277,"Class A common stock, par value $0.001"
A,05/12/2023 00:00:00,Kersey Melissa,4,A-Award,--D,1009,1009,1,0001819248,"Class A common stock, par value $0.001"
D,03/01/2023 00:00:00,DENNY STEVEN ALAN,4,F-InKind,--D,96,13466,2,0001830910,"Class A common stock, par value $0.001"
D,03/01/2023 00:00:00,LANGLEY BRYAN,4,F-InKind,--D,100,21188,2,0001954746,"Class A Common Stock, par value $0.001"
D,03/01/2023 00:00:00,TAYLOR THOMAS V,4,F-InKind,--D,929,233859,2,0001277322,"Class A common stock, par value $0.001"
D,03/01/2023 00:00:00,OLSON LUKE,4,F-InKind,--D,63,4866,2,0001937557,"Class A common stock, par value $0.001"
D,03/01/2023 00:00:00,Christopherson David Victor,4,F-InKind,--D,178,56349,3,0001526277,"Class A common stock, par value $0.001"
D,03/01/2023 00:00:00,Lang Trevor,4,F-InKind,--D,187,209374,2,0001405123,"Class A common stock, par value $0.001"
D,03/01/2023 00:00:00,Robbins Brian K,4,F-InKind,--D,179,23495,3,0001703063,"Class A common stock, par value $0.001"
D,02/28/2023 00:00:00,DENNY STEVEN ALAN,4,F-InKind,--D,247,13562,1,0001830910,"Class A common stock, par value $0.001"
D,02/28/2023 00:00:00,LANGLEY BRYAN,4,F-InKind,--D,159,21288,1,0001954746,"Class A Common Stock, par value $0.001"
D,02/28/2023 00:00:00,TAYLOR THOMAS V,4,F-InKind,--D,2708,234788,1,0001277322,"Class A common stock, par value $0.001"
D,02/28/2023 00:00:00,OLSON LUKE,4,F-InKind,--D,130,4929,1,0001937557,"Class A common stock, par value $0.001"
D,02/28/2023 00:00:00,Christopherson David Victor,4,S-Sale,--D,4000,56527,2,0001526277,"Class A common stock, par value $0.001"
D,02/28/2023 00:00:00,Christopherson David Victor,4,F-InKind,--D,504,60527,1,0001526277,"Class A common stock, par value $0.001"
D,02/28/2023 00:00:00,Lang Trevor,4,F-InKind,--D,365,209561,1,0001405123,"Class A common stock, par value $0.001"
