MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/15/2023 00:00:00,Crowley John F,4,S-Sale,--D,6044,950273,1,0001400973,Common Stock
A,06/08/2023 00:00:00,RAAB MICHAEL,4,A-Award,--D,30474,30474,2,0001321402,Stock Options (right to buy)
A,06/08/2023 00:00:00,RAAB MICHAEL,4,A-Award,--D,8584,68596,1,0001321402,Common Stock
A,06/08/2023 00:00:00,MCGLYNN MARGARET G,4,A-Award,--D,30474,30474,2,0001215126,Stock Options (right to buy)
A,06/08/2023 00:00:00,MCGLYNN MARGARET G,4,A-Award,--D,8584,59289,1,0001215126,Common Stock
A,06/08/2023 00:00:00,Kelly Michael Aaron,4,A-Award,--D,30474,30474,2,0001769668,Stock Options (right to buy)
A,06/08/2023 00:00:00,Kelly Michael Aaron,4,A-Award,--D,8584,40207,1,0001769668,Common Stock
A,06/08/2023 00:00:00,Bleil Lynn Dorsey,4,A-Award,--D,30474,30474,2,0001607309,Stock Options (right to buy)
A,06/08/2023 00:00:00,Bleil Lynn Dorsey,4,A-Award,--D,8584,81680,1,0001607309,Common Stock
A,06/08/2023 00:00:00,ROBERTS EIRY,4,A-Award,--D,30474,30474,2,0001727606,Stock Options (right to buy)
A,06/08/2023 00:00:00,ROBERTS EIRY,4,A-Award,--D,8584,44014,1,0001727606,Common Stock
A,06/08/2023 00:00:00,SBLENDORIO GLENN,4,A-Award,--D,30474,30474,2,0001277478,Stock Options (right to buy)
A,06/08/2023 00:00:00,SBLENDORIO GLENN,4,A-Award,--D,8584,95303,1,0001277478,Common Stock
A,06/08/2023 00:00:00,WHITMAN BURKE W,4,A-Award,--D,30474,30474,2,0001188191,Stock Options (right to buy)
A,06/08/2023 00:00:00,WHITMAN BURKE W,4,A-Award,--D,8584,86337,1,0001188191,Common Stock
A,06/08/2023 00:00:00,WHEELER CRAIG A,4,A-Award,--D,30474,30474,2,0001229450,Stock Options (right to buy)
A,06/08/2023 00:00:00,WHEELER CRAIG A,4,A-Award,--D,8584,52370,1,0001229450,Common Stock
D,06/06/2023 00:00:00,Campbell Bradley L,4,S-Sale,--D,8300,815154,1,0001400971,Common Stock
