MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/30/2023 00:00:00,PADGETT BARRY L.,4,C-Conversion,--D,6559,36561,6,0001511194,Class B Common Stock
D,06/30/2023 00:00:00,PADGETT BARRY L.,4,S-Sale,--D,6559,16428,2,0001511194,Class A Common Stock
A,06/30/2023 00:00:00,PADGETT BARRY L.,4,C-Conversion,--D,6559,22987,1,0001511194,Class A Common Stock
A,06/28/2023 00:00:00,PADGETT BARRY L.,4,M-Exempt,--D,9370,43120,5,0001511194,Class B Common Stock
D,06/28/2023 00:00:00,PADGETT BARRY L.,4,M-Exempt,--D,1560,40630,4,0001511194,Restricted Stock Units
D,06/28/2023 00:00:00,PADGETT BARRY L.,4,M-Exempt,--D,7810,62500,3,0001511194,Restricted Stock Units
D,06/14/2023 00:00:00,GANDHI SAMEER K,4,C-Conversion,--I,1500000,19500000,9,0001201326,Class B Common Stock
A,06/14/2023 00:00:00,GANDHI SAMEER K,4,J-Other,--I,19895,181315,3,0001201326,Class A Common Stock
D,06/14/2023 00:00:00,GANDHI SAMEER K,4,J-Other,--I,1500000,0,2,0001201326,Class A Common Stock
A,06/14/2023 00:00:00,GANDHI SAMEER K,4,C-Conversion,--I,1500000,1500000,1,0001201326,Class A Common Stock
D,06/14/2023 00:00:00,Accel India III (Mauritius) Ltd.,4,C-Conversion,--D,1500000,19500000,3,0001881958,Class B Common Stock
D,06/14/2023 00:00:00,Accel India III (Mauritius) Ltd.,4,J-Other,--D,1500000,0,2,0001881958,Class A Common Stock
A,06/14/2023 00:00:00,Accel India III (Mauritius) Ltd.,4,C-Conversion,--D,1500000,1500000,1,0001881958,Class A Common Stock
D,06/13/2023 00:00:00,Sloat Tyler,4,C-Conversion,--D,23239,829665,5,0001735436,Class B Common Stock
A,06/13/2023 00:00:00,Sloat Tyler,4,M-Exempt,--D,46870,852904,4,0001735436,Class B Common Stock
D,06/13/2023 00:00:00,Sloat Tyler,4,M-Exempt,--D,46870,468750,3,0001735436,Restricted Stock Units
D,06/13/2023 00:00:00,Sloat Tyler,4,F-InKind,--D,23239,591515,2,0001735436,Class A Common Stock
A,06/13/2023 00:00:00,Sloat Tyler,4,C-Conversion,--D,23239,614754,1,0001735436,Class A Common Stock
D,06/12/2023 00:00:00,Taylor Jennifer H,4,C-Conversion,--D,4685,98460,5,0001882813,Class B Common Stock
D,06/12/2023 00:00:00,Taylor Jennifer H,4,S-Sale,--D,4685,17816,2,0001882813,Class A Common Stock
A,06/12/2023 00:00:00,Taylor Jennifer H,4,C-Conversion,--D,4685,22501,1,0001882813,Class A Common Stock
D,06/12/2023 00:00:00,Flower Johanna,4,C-Conversion,--D,4700,131700,3,0001872303,Class B Common Stock
D,06/12/2023 00:00:00,Flower Johanna,4,S-Sale,--D,4700,18189,2,0001872303,Class A Common Stock
A,06/12/2023 00:00:00,Flower Johanna,4,C-Conversion,--D,4700,22889,1,0001872303,Class A Common Stock
A,06/10/2023 00:00:00,Taylor Jennifer H,4,M-Exempt,--D,9370,103145,4,0001882813,Class B Common Stock
D,06/10/2023 00:00:00,Taylor Jennifer H,4,M-Exempt,--D,9370,253130,3,0001882813,Restricted Stock Units
D,06/09/2023 00:00:00,AUSTIN ROXANNE S,4,S-Sale,--D,25212,133327,1,0001061632,Class A Common Stock
A,06/02/2023 00:00:00,Flower Johanna,4,M-Exempt,--D,9370,136400,3,0001872303,Class B Common Stock
D,06/02/2023 00:00:00,Flower Johanna,4,M-Exempt,--D,1560,42190,2,0001872303,Restricted Stock Units
D,06/02/2023 00:00:00,Flower Johanna,4,M-Exempt,--D,7810,70310,1,0001872303,Restricted Stock Units
D,06/02/2023 00:00:00,NELSON ZACHARY,4,C-Conversion,--D,8433,40797,5,0001073342,Class B Common Stock
D,06/02/2023 00:00:00,NELSON ZACHARY,4,S-Sale,--D,8433,16230,2,0001073342,Class A Common Stock
