MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/15/2023 00:00:00,Buehler Patrick James,4,M-Exempt,--D,286,0,3,0001819686,Restricted Stock Units
D,06/15/2023 00:00:00,Buehler Patrick James,4,F-InKind,--D,126,7456,2,0001819686,Common Stock
A,06/15/2023 00:00:00,Buehler Patrick James,4,M-Exempt,--D,286,7582,1,0001819686,Common Stock
D,06/06/2023 00:00:00,Widmar Mark R,4,S-Sale,--D,39948,90163,1,0001362208,Common Stock
D,05/22/2023 00:00:00,Sweeney Michael T,4,S-Sale,--D,7000,19647,1,0001381047,Common Stock
D,05/16/2023 00:00:00,POST WILLIAM J,4,S-Sale,--I,10000,24207,1,0001027958,Common Stock
D,05/12/2023 00:00:00,STEBBINS PAUL H,4,S-Sale,--I,2500,28772,1,0001236725,Common Stock
A,03/31/2023 00:00:00,Ahearn Michael J,4,A-Award,--D,294,61563,1,0001381112,Common Stock
A,03/31/2023 00:00:00,Chapman Richard D,4,A-Award,--D,207,3165,1,0001551184,Common Stock
A,03/31/2023 00:00:00,George Anita M.,4,A-Award,--D,207,2505,1,0001867762,Common Stock
A,03/31/2023 00:00:00,Hambro George A,4,A-Award,--I,207,24354,1,0001381111,Common Stock
A,03/31/2023 00:00:00,Joseph Molly,4,A-Award,--D,207,13885,1,0001709261,Common Stock
A,03/31/2023 00:00:00,KENNEDY R CRAIG,4,A-Award,--D,207,17863,1,0001245053,Common Stock
A,03/31/2023 00:00:00,KRO LISA A,4,A-Award,--D,207,1421,1,0001458887,Common Stock
A,03/31/2023 00:00:00,POST WILLIAM J,4,A-Award,--I,207,34207,1,0001027958,Common Stock
A,03/31/2023 00:00:00,STEBBINS PAUL H,4,A-Award,--I,207,31272,1,0001236725,Common Stock
A,03/31/2023 00:00:00,Sweeney Michael T,4,A-Award,--D,207,26647,1,0001381047,Common Stock
A,03/31/2023 00:00:00,Wright Norman L.,4,A-Award,--D,207,1831,1,0001933103,Common Stock
D,03/16/2023 00:00:00,Jeffers Byron Michael,4,S-Sale,--D,239,0,3,0001776631,Common Stock
D,03/15/2023 00:00:00,Widmar Mark R,4,M-Exempt,--D,4856,19424,3,0001362208,Restricted Stock Units
D,03/15/2023 00:00:00,Widmar Mark R,4,F-InKind,--D,2033,130111,2,0001362208,Common Stock
A,03/15/2023 00:00:00,Widmar Mark R,4,M-Exempt,--D,4856,132144,1,0001362208,Common Stock
D,03/15/2023 00:00:00,Verma Kuntal Kumar,4,M-Exempt,--D,908,3628,3,0001819691,Restricted Stock Units
D,03/15/2023 00:00:00,Verma Kuntal Kumar,4,F-InKind,--D,394,6242,2,0001819691,Common Stock
A,03/15/2023 00:00:00,Verma Kuntal Kumar,4,M-Exempt,--D,908,6636,1,0001819691,Common Stock
D,03/15/2023 00:00:00,Stockdale Caroline,4,M-Exempt,--D,801,3202,3,0001344138,Restricted Stock Units
D,03/15/2023 00:00:00,Stockdale Caroline,4,F-InKind,--D,344,23803,2,0001344138,Common Stock
A,03/15/2023 00:00:00,Stockdale Caroline,4,M-Exempt,--D,801,24147,1,0001344138,Common Stock
D,03/15/2023 00:00:00,Koralewski Michael,4,M-Exempt,--D,641,2561,3,0001819693,Restricted Stock Units
D,03/15/2023 00:00:00,Koralewski Michael,4,F-InKind,--D,275,5372,2,0001819693,Common Stock
A,03/15/2023 00:00:00,Koralewski Michael,4,M-Exempt,--D,641,5647,1,0001819693,Common Stock
D,03/15/2023 00:00:00,Jeffers Byron Michael,4,M-Exempt,--D,327,1308,4,0001776631,Restricted Stock Units
D,03/15/2023 00:00:00,Jeffers Byron Michael,4,F-InKind,--D,88,239,2,0001776631,Common Stock
A,03/15/2023 00:00:00,Jeffers Byron Michael,4,M-Exempt,--D,327,327,1,0001776631,Common Stock
D,03/15/2023 00:00:00,Gloeckler Markus,4,M-Exempt,--D,854,3415,3,0001819680,Restricted Stock Units
D,03/15/2023 00:00:00,Gloeckler Markus,4,F-InKind,--D,384,7649,2,0001819680,Common Stock
A,03/15/2023 00:00:00,Gloeckler Markus,4,M-Exempt,--D,854,8033,1,0001819680,Common Stock
D,03/15/2023 00:00:00,Dymbort Jason E.,4,M-Exempt,--D,854,3415,3,0001645454,Restricted Stock Units
D,03/15/2023 00:00:00,Dymbort Jason E.,4,F-InKind,--D,437,6419,2,0001645454,Common Stock
A,03/15/2023 00:00:00,Dymbort Jason E.,4,M-Exempt,--D,854,6856,1,0001645454,Common Stock
D,03/15/2023 00:00:00,Buehler Patrick James,4,M-Exempt,--D,427,1708,3,0001819686,Restricted Stock Units
D,03/15/2023 00:00:00,Buehler Patrick James,4,F-InKind,--D,188,7296,2,0001819686,Common Stock
A,03/15/2023 00:00:00,Buehler Patrick James,4,M-Exempt,--D,427,7484,1,0001819686,Common Stock
D,03/15/2023 00:00:00,Bradley Alexander R.,4,M-Exempt,--D,1441,5763,3,0001645425,Restricted Stock Units
D,03/15/2023 00:00:00,Bradley Alexander R.,4,F-InKind,--D,618,46419,2,0001645425,Common Stock
A,03/15/2023 00:00:00,Bradley Alexander R.,4,M-Exempt,--D,1441,47037,1,0001645425,Common Stock
D,03/15/2023 00:00:00,ANTOUN GEORGES,4,M-Exempt,--D,587,2348,3,0001234459,Restricted Stock Units
D,03/15/2023 00:00:00,ANTOUN GEORGES,4,F-InKind,--D,231,59187,2,0001234459,Common Stock
A,03/15/2023 00:00:00,ANTOUN GEORGES,4,M-Exempt,--D,587,59418,1,0001234459,Common Stock
D,03/08/2023 00:00:00,Chapman Richard D,4,S-Sale,--I,7500,21689,1,0001551184,Common Stock
D,03/07/2023 00:00:00,Dymbort Jason E.,4,S-Sale,--D,965,6002,7,0001645454,Common Stock
D,03/07/2023 00:00:00,Jeffers Byron Michael,4,S-Sale,--D,1281,0,7,0001776631,Common Stock
D,03/07/2023 00:00:00,KENNEDY R CRAIG,4,S-Sale,--D,1500,17656,1,0001245053,Common Stock
A,03/07/2023 00:00:00,Wright Norman L.,4,P-Purchase,--D,465,1624,1,0001933103,Common Stock
D,03/06/2023 00:00:00,ANTOUN GEORGES,4,M-Exempt,--D,733,2198,9,0001234459,Restricted Stock Units
D,03/06/2023 00:00:00,ANTOUN GEORGES,4,M-Exempt,--D,4611,4611,8,0001234459,Restricted Stock Units
D,03/06/2023 00:00:00,ANTOUN GEORGES,4,M-Exempt,--D,3893,0,7,0001234459,Restricted Stock Units
D,03/06/2023 00:00:00,ANTOUN GEORGES,4,F-InKind,--D,289,58831,6,0001234459,Common Stock
A,03/06/2023 00:00:00,ANTOUN GEORGES,4,M-Exempt,--D,733,59120,5,0001234459,Common Stock
D,03/06/2023 00:00:00,ANTOUN GEORGES,4,F-InKind,--D,1815,58387,4,0001234459,Common Stock
A,03/06/2023 00:00:00,ANTOUN GEORGES,4,M-Exempt,--D,4611,60202,3,0001234459,Common Stock
D,03/06/2023 00:00:00,ANTOUN GEORGES,4,F-InKind,--D,1532,55591,2,0001234459,Common Stock
A,03/06/2023 00:00:00,ANTOUN GEORGES,4,M-Exempt,--D,3893,57123,1,0001234459,Common Stock
D,03/06/2023 00:00:00,Bradley Alexander R.,4,M-Exempt,--D,1466,4396,9,0001645425,Restricted Stock Units
D,03/06/2023 00:00:00,Bradley Alexander R.,4,M-Exempt,--D,4035,4035,8,0001645425,Restricted Stock Units
D,03/06/2023 00:00:00,Bradley Alexander R.,4,M-Exempt,--D,3650,0,7,0001645425,Restricted Stock Units
D,03/06/2023 00:00:00,Bradley Alexander R.,4,F-InKind,--D,629,45596,6,0001645425,Common Stock
A,03/06/2023 00:00:00,Bradley Alexander R.,4,M-Exempt,--D,1466,46225,5,0001645425,Common Stock
D,03/06/2023 00:00:00,Bradley Alexander R.,4,F-InKind,--D,1729,44759,4,0001645425,Common Stock
A,03/06/2023 00:00:00,Bradley Alexander R.,4,M-Exempt,--D,4035,46488,3,0001645425,Common Stock
D,03/06/2023 00:00:00,Bradley Alexander R.,4,F-InKind,--D,1565,42453,2,0001645425,Common Stock
A,03/06/2023 00:00:00,Bradley Alexander R.,4,M-Exempt,--D,3650,44018,1,0001645425,Common Stock
D,03/06/2023 00:00:00,Buehler Patrick James,4,M-Exempt,--D,434,1302,9,0001819686,Restricted Stock Units
D,03/06/2023 00:00:00,Buehler Patrick James,4,M-Exempt,--D,1153,1153,8,0001819686,Restricted Stock Units
D,03/06/2023 00:00:00,Buehler Patrick James,4,M-Exempt,--D,389,0,7,0001819686,Restricted Stock Units
D,03/06/2023 00:00:00,Buehler Patrick James,4,F-InKind,--D,191,7057,6,0001819686,Common Stock
