MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/26/2023 00:00:00,Bergman Artur,4,S-Sale,--D,11163,6396876,1,0001769490,Class A Common Stock
D,06/20/2023 00:00:00,Shirk Brett,4,S-Sale,--D,400,295267,2,0001642259,Class A Common Stock
D,06/20/2023 00:00:00,Shirk Brett,4,S-Sale,--D,6600,295667,1,0001642259,Class A Common Stock
D,06/20/2023 00:00:00,Bergman Artur,4,S-Sale,--D,1000,6408039,2,0001769490,Class A Common Stock
D,06/20/2023 00:00:00,Bergman Artur,4,S-Sale,--D,10163,6409039,1,0001769490,Class A Common Stock
D,06/16/2023 00:00:00,Shirk Brett,4,S-Sale,--D,4698,302267,1,0001642259,Class A Common Stock
A,06/14/2023 00:00:00,Meyers Charles J,4,A-Award,--D,11080,36602,1,0001502558,Class A Common Stock
A,06/14/2023 00:00:00,PAISLEY CHRISTOPHER B,4,A-Award,--D,11080,131716,1,0001189229,Class A Common Stock
A,06/14/2023 00:00:00,Smith Vanessa C.,4,A-Award,--D,11080,37094,1,0001890818,Class A Common Stock
A,06/14/2023 00:00:00,ALVAREZ AIDA,4,A-Award,--D,11080,44494,1,0001268885,Class A Common Stock
A,06/14/2023 00:00:00,Loop Paula,4,A-Award,--D,11080,36602,1,0001870529,Class A Common Stock
A,06/14/2023 00:00:00,Hornik David,4,A-Award,--D,11080,208258,1,0001547378,Class A Common Stock
A,06/14/2023 00:00:00,Daniels Richard Devon,4,A-Award,--D,11080,42094,1,0001830164,Class A Common Stock
D,06/12/2023 00:00:00,Bergman Artur,4,S-Sale,--D,11163,6419202,1,0001769490,Class A Common Stock
D,06/06/2023 00:00:00,Bergman Artur,4,S-Sale,--I,209686,0,1,0001769490,Class A Common Stock
D,06/05/2023 00:00:00,Bergman Artur,4,S-Sale,--D,11163,6430365,1,0001769490,Class A Common Stock
D,05/31/2023 00:00:00,Shirk Brett,4,S-Sale,--D,585,306965,1,0001642259,Class A Common Stock
D,05/31/2023 00:00:00,KISLING RONALD W,4,S-Sale,--D,1178,527052,1,0001228622,Class A Common Stock
D,05/30/2023 00:00:00,Bergman Artur,4,S-Sale,--D,11163,6441528,2,0001769490,Class A Common Stock
D,05/26/2023 00:00:00,Bergman Artur,4,S-Sale,--D,38752,6452691,1,0001769490,Class A Common Stock
D,05/25/2023 00:00:00,Bergman Artur,4,S-Sale,--D,3200,6491443,1,0001769490,Class A Common Stock
D,05/23/2023 00:00:00,Bergman Artur,4,S-Sale,--D,2700,6494643,1,0001769490,Class A Common Stock
D,05/22/2023 00:00:00,Shirk Brett,4,S-Sale,--D,7000,307550,2,0001642259,Class A Common Stock
A,05/19/2023 00:00:00,Nightingale Todd,4,A-Award,-ED,2500,1330836,1,0001944844,Class A Common Stock
A,05/19/2023 00:00:00,Shirk Brett,4,A-Award,-ED,2500,314550,1,0001642259,Class A Common Stock
D,05/17/2023 00:00:00,Bergman Artur,4,S-Sale,--D,19311,6497343,2,0001769490,Class A Common Stock
D,05/16/2023 00:00:00,KISLING RONALD W,4,S-Sale,--D,15107,528230,1,0001228622,Class A Common Stock
D,05/16/2023 00:00:00,Bergman Artur,4,S-Sale,--D,13706,6516654,1,0001769490,Class A Common Stock
D,05/16/2023 00:00:00,Shirk Brett,4,S-Sale,--D,8783,312050,1,0001642259,Class A Common Stock
D,05/16/2023 00:00:00,Nightingale Todd,4,S-Sale,--D,74084,1328336,1,0001944844,Class A Common Stock
D,04/24/2023 00:00:00,Bergman Artur,4,S-Sale,--D,1200,6530360,2,0001769490,Class A Common Stock
D,04/24/2023 00:00:00,Bergman Artur,4,S-Sale,--D,9963,6531560,1,0001769490,Class A Common Stock
D,04/20/2023 00:00:00,Shirk Brett,4,S-Sale,--D,4351,320833,1,0001642259,Class A Common Stock
D,04/18/2023 00:00:00,KISLING RONALD W,4,S-Sale,--D,5083,543337,1,0001228622,Class A Common Stock
D,04/17/2023 00:00:00,Bergman Artur,4,S-Sale,--D,11163,6541523,1,0001769490,Class A Common Stock
D,04/10/2023 00:00:00,Bergman Artur,4,S-Sale,--D,11163,6552686,1,0001769490,Class A Common Stock
D,04/03/2023 00:00:00,Bergman Artur,4/A,S-Sale,--D,1102,6563849,2,0001769490,Class A Common Stock
D,04/03/2023 00:00:00,Bergman Artur,4/A,S-Sale,--D,10061,6564951,1,0001769490,Class A Common Stock
D,04/03/2023 00:00:00,Bergman Artur,4,S-Sale,--D,1102,6563849,2,0001769490,Class A Common Stock
D,04/03/2023 00:00:00,Bergman Artur,4,S-Sale,--D,10061,6564951,1,0001769490,Class A Common Stock
D,03/31/2023 00:00:00,KISLING RONALD W,4,S-Sale,--D,7392,548420,1,0001228622,Class A Common Stock
A,03/29/2023 00:00:00,Shirk Brett,4,A-Award,--D,108949,325184,1,0001642259,Class A Common Stock
A,03/29/2023 00:00:00,Nightingale Todd,4,A-Award,--D,218871,1402420,1,0001944844,Class A Common Stock
A,03/29/2023 00:00:00,KISLING RONALD W,4,A-Award,--D,163424,555812,1,0001228622,Class A Common Stock
D,03/27/2023 00:00:00,Bergman Artur,4,S-Sale,--D,11163,6575012,1,0001769490,Class A Common Stock
D,03/20/2023 00:00:00,Shirk Brett,4,S-Sale,--D,7000,216235,1,0001642259,Class A Common Stock
D,03/20/2023 00:00:00,Bergman Artur,4,S-Sale,--D,11163,6586175,1,0001769490,Class A Common Stock
