MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/23/2023 00:00:00,Weaver Nathan D.,4,A-Award,--D,13.73,5870.77,2,0001807831,Phantom Units
A,06/23/2023 00:00:00,East James J.,4,A-Award,--D,7.03,3919.24,3,0001887654,Phantom Units
A,06/23/2023 00:00:00,Corkrean John J,4,A-Award,--D,100.49,15760.02,2,0001431849,Phantom Units
A,06/23/2023 00:00:00,Campe Heather,4,A-Award,--D,32.05,3056.58,2,0001609526,Phantom Units
A,06/23/2023 00:00:00,Cai Zhiwei,4,A-Award,--D,8.69,4551.97,2,0001666560,Phantom Units
A,06/09/2023 00:00:00,Weaver Nathan D.,4,A-Award,--D,13.23,5857.04,2,0001807831,Phantom Units
A,06/09/2023 00:00:00,East James J.,4,A-Award,--D,6.78,3912.21,3,0001887654,Phantom Units
A,06/09/2023 00:00:00,Corkrean John J,4,A-Award,--D,96.81,15659.53,2,0001431849,Phantom Units
A,06/09/2023 00:00:00,Campe Heather,4,A-Award,--D,30.88,3024.53,2,0001609526,Phantom Units
A,06/09/2023 00:00:00,Cai Zhiwei,4,A-Award,--D,8.38,4543.28,2,0001666560,Phantom Units
A,05/31/2023 00:00:00,Rasmussen Trangsrud Teresa J,4,A-Award,--D,436.92,6665.26,2,0001832403,Stock Units
A,05/31/2023 00:00:00,MITAU LEE R,4,A-Award,--D,939.39,147409.76,2,0001185489,Stock Units
A,05/31/2023 00:00:00,Kimmelshue Ruth,4,A-Award,--D,502.46,20460.48,2,0001718217,Stock Units
A,05/31/2023 00:00:00,HANDLEY THOMAS W,4,A-Award,--D,524.31,62852.08,2,0001275967,Stock Units
A,05/31/2023 00:00:00,FLORNESS DANIEL L,4,A-Award,--D,349.54,18600.92,2,0001017427,Stock Units
A,05/26/2023 00:00:00,Weaver Nathan D.,4,A-Award,--D,13.53,5843.81,2,0001807831,Phantom Units
A,05/26/2023 00:00:00,East James J.,4,A-Award,--D,6.93,3905.43,3,0001887654,Phantom Units
A,05/26/2023 00:00:00,Corkrean John J,4,A-Award,--D,99,15562.72,2,0001431849,Phantom Units
A,05/26/2023 00:00:00,Campe Heather,4,A-Award,--D,31.58,2993.65,2,0001609526,Phantom Units
A,05/26/2023 00:00:00,Cai Zhiwei,4,A-Award,--D,8.57,4534.9,2,0001666560,Phantom Units
A,05/12/2023 00:00:00,Weaver Nathan D.,4,A-Award,--D,13.28,5830.28,2,0001807831,Phantom Units
A,05/12/2023 00:00:00,East James J.,4,A-Award,--D,6.8,3898.5,3,0001887654,Phantom Units
A,05/12/2023 00:00:00,Corkrean John J,4,A-Award,--D,97.17,15463.72,2,0001431849,Phantom Units
A,05/12/2023 00:00:00,Campe Heather,4,A-Award,--D,30.99,2962.07,2,0001609526,Phantom Units
A,05/12/2023 00:00:00,Cai Zhiwei,4,A-Award,--D,8.41,4526.33,2,0001666560,Phantom Units
A,04/28/2023 00:00:00,Weaver Nathan D.,4,A-Award,--D,13.11,5798.68,2,0001807831,Phantom Units
A,04/28/2023 00:00:00,East James J.,4,A-Award,--D,6.71,3879.44,3,0001887654,Phantom Units
A,04/28/2023 00:00:00,Corkrean John J,4,A-Award,--D,95.91,15318.34,2,0001431849,Phantom Units
A,04/28/2023 00:00:00,Campe Heather,4,A-Award,--D,30.59,2921.93,2,0001609526,Phantom Units
