MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/10/2023 00:00:00,Amicarella Ana B,4,A-Award,--D,1352,11747,1,0001712758,Common Stock
A,05/10/2023 00:00:00,ALLEN RONALD W,4,A-Award,--D,1352,22463,1,0001196048,Common Stock
A,05/10/2023 00:00:00,Campbell C Robert,4,A-Award,--D,1352,23994,1,0001307261,Common Stock
A,05/10/2023 00:00:00,BONEBRAKE VALERIE A,4,A-Award,--D,1352,10404,1,0001727832,Common Stock
A,05/10/2023 00:00:00,Nayak Chitra,4,A-Award,--D,1352,4256,1,0001752463,Common Stock
A,05/10/2023 00:00:00,Mayes George S JR,4,A-Award,--D,1352,4756,1,0001361098,Common Stock
A,05/10/2023 00:00:00,POLIT JAVIER,4,A-Award,--D,1352,5343,1,0001852700,Common Stock
A,05/10/2023 00:00:00,Tucker Laurie Anne,4,A-Award,--D,1352,11573,1,0001391264,Common Stock
A,05/10/2023 00:00:00,LYNCH GEORGE M,4,A-Award,--D,1352,10583,1,0001217429,Common Stock
A,05/10/2023 00:00:00,Carlock Craig,4,A-Award,--D,1352,14950,1,0001494271,Common Stock
A,05/10/2023 00:00:00,NISWONGER SCOTT M,4,A-Award,--D,1352,24256,1,0001071948,Common Stock
A,03/17/2023 00:00:00,ALLEN RONALD W,4,A-Award,--D,16.699,199.362,1,0001196048,Dividend Equivalent Rights
A,03/17/2023 00:00:00,Campbell C Robert,4,A-Award,--D,12.751,863.811,1,0001307261,Dividend Equivalent Rights
A,03/17/2023 00:00:00,BONEBRAKE VALERIE A,4,A-Award,--D,13.822,187.382,1,0001727832,Dividend Equivalent Rights
D,03/15/2023 00:00:00,TOMASELLO JOSEPH MICHAEL,4,F-InKind,--D,254,9128,7,0001779694,Common Stock
A,03/15/2023 00:00:00,TOMASELLO JOSEPH MICHAEL,4,A-Award,--D,845,9382,6,0001779694,Common Stock
D,03/15/2023 00:00:00,TOMASELLO JOSEPH MICHAEL,4,F-InKind,--D,288,8537,5,0001779694,Common Stock
A,03/15/2023 00:00:00,TOMASELLO JOSEPH MICHAEL,4,A-Award,--D,957,8825,4,0001779694,Common Stock
D,03/15/2023 00:00:00,MITCHIN KYLE R,4,F-InKind,--D,235,17405.2548,7,0001707150,Common Stock
A,03/15/2023 00:00:00,MITCHIN KYLE R,4,A-Award,--D,845,17640.2548,6,0001707150,Common Stock
D,03/15/2023 00:00:00,MITCHIN KYLE R,4,F-InKind,--D,267,16795.2548,5,0001707150,Common Stock
A,03/15/2023 00:00:00,MITCHIN KYLE R,4,A-Award,--D,957,17062.2548,4,0001707150,Common Stock
D,03/15/2023 00:00:00,RUBLE CHRIS C,4,F-InKind,--D,779,26842.4365,7,0001182297,Common Stock
A,03/15/2023 00:00:00,RUBLE CHRIS C,4,A-Award,--D,1728,27621.4365,6,0001182297,Common Stock
D,03/15/2023 00:00:00,RUBLE CHRIS C,4,F-InKind,--D,883,25893.4365,5,0001182297,Common Stock
A,03/15/2023 00:00:00,RUBLE CHRIS C,4,A-Award,--D,1958,26776.4365,4,0001182297,Common Stock
D,03/15/2023 00:00:00,Hance Michael L,4,F-InKind,--D,309,44960.774,7,0001608473,Common Stock
A,03/15/2023 00:00:00,Hance Michael L,4,A-Award,--D,1267,45269.774,6,0001608473,Common Stock
D,03/15/2023 00:00:00,Hance Michael L,4,F-InKind,--D,350,44002.774,5,0001608473,Common Stock
A,03/15/2023 00:00:00,Hance Michael L,4,A-Award,--D,1436,44352.774,4,0001608473,Common Stock
D,03/15/2023 00:00:00,SCHMITT THOMAS,4,F-InKind,--D,3680,57829,7,0001751373,Common Stock
A,03/15/2023 00:00:00,SCHMITT THOMAS,4,A-Award,--D,8159,61509,6,0001751373,Common Stock
D,03/15/2023 00:00:00,SCHMITT THOMAS,4,F-InKind,--D,4170,53350,5,0001751373,Common Stock
A,03/15/2023 00:00:00,SCHMITT THOMAS,4,A-Award,--D,9246,57520,4,0001751373,Common Stock
A,02/15/2023 00:00:00,Tucker Laurie Anne,4,P-Purchase,--D,4000,10221,1,0001391264,Common Stock
D,02/08/2023 00:00:00,TOMASELLO JOSEPH MICHAEL,4,F-InKind,--D,181,7868,3,0001779694,Common Stock
D,02/08/2023 00:00:00,MITCHIN KYLE R,4,F-InKind,--D,182,16105.2548,3,0001707150,Common Stock
D,02/08/2023 00:00:00,Garbrick Rebecca J,4,F-InKind,--D,302,5230,2,0001855230,Common Stock
D,02/08/2023 00:00:00,RUBLE CHRIS C,4,F-InKind,--D,442,24818.4365,3,0001182297,Common Stock
D,02/08/2023 00:00:00,Hance Michael L,4,F-InKind,--D,341,42916.774,3,0001608473,Common Stock
D,02/08/2023 00:00:00,SCHMITT THOMAS,4,F-InKind,--D,1356,48274,3,0001751373,Common Stock
A,02/07/2023 00:00:00,TOMASELLO JOSEPH MICHAEL,4,A-Award,--D,1847,1847,2,0001779694,Stock Option (Right to Buy)
A,02/07/2023 00:00:00,TOMASELLO JOSEPH MICHAEL,4,A-Award,--D,1191,8400,1,0001779694,Common Stock
A,02/07/2023 00:00:00,MITCHIN KYLE R,4,A-Award,--D,2351,2351,2,0001707150,Stock Option (Right to Buy)
A,02/07/2023 00:00:00,MITCHIN KYLE R,4,A-Award,--D,1516,16612.2548,1,0001707150,Common Stock
A,02/07/2023 00:00:00,Hance Michael L,4,A-Award,--D,3526,3526,2,0001608473,Stock Option (Right to Buy)
A,02/07/2023 00:00:00,Hance Michael L,4,A-Award,--D,2274,43744.774,1,0001608473,Common Stock
