MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/11/2023 00:00:00,Chery Don J.,4,P-Purchase,--D,1000,49741,1,0001410850,Common Stock
A,05/08/2023 00:00:00,Chesler Randall M,4,P-Purchase,--I,1223,4685,1,0001649724,Common Stock
A,05/02/2023 00:00:00,Chesler Randall M,4,P-Purchase,--I,337,3462,1,0001649724,Common Stock
A,05/02/2023 00:00:00,Langel Craig A,4,P-Purchase,--D,3250,92207,1,0001347688,Common Stock
A,04/26/2023 00:00:00,Chery Don J.,4,P-Purchase,--D,1000,48741,1,0001410850,Common Stock
A,04/25/2023 00:00:00,Chesler Randall M,4,P-Purchase,--I,625,3125,1,0001649724,Common Stock
A,04/25/2023 00:00:00,COPHER RON J,4,P-Purchase,--D,2200,79694,1,0001187193,Common Stock
A,04/25/2023 00:00:00,Langel Craig A,4,P-Purchase,--D,2500,88957,1,0001347688,Common Stock
A,03/13/2023 00:00:00,COPHER RON J,4,P-Purchase,--D,1910,77494,2,0001187193,Common Stock
A,03/13/2023 00:00:00,COPHER RON J,4,P-Purchase,--D,668,75584,1,0001187193,Common Stock
A,03/10/2023 00:00:00,Chesler Randall M,4,P-Purchase,--I,2500,2500,1,0001649724,Common Stock
A,03/10/2023 00:00:00,Langel Craig A,4,P-Purchase,--D,1250,86457,2,0001347688,Common Stock
A,03/10/2023 00:00:00,Langel Craig A,4,P-Purchase,--D,3750,85207,1,0001347688,Common Stock
D,02/15/2023 00:00:00,Chesler Randall M,4,F-InKind,--D,8568,98681,2,0001649724,Common Stock
A,02/15/2023 00:00:00,Chesler Randall M,4,A-Award,--D,24777,107249,1,0001649724,Common Stock
D,02/15/2023 00:00:00,Chery Don J.,4,F-InKind,--D,1728,47741,2,0001410850,Common Stock
A,02/15/2023 00:00:00,Chery Don J.,4,A-Award,--D,8034,49469,1,0001410850,Common Stock
A,02/15/2023 00:00:00,Heck Kristen Lee,4,A-Award,--D,1265,6874,1,0001839672,Common Stock
A,02/15/2023 00:00:00,Cladouhos Sherry Leigh,4,A-Award,--D,1265,22284,1,0001502642,Common Stock
A,02/15/2023 00:00:00,Hormaechea Michael Burke,4,A-Award,--D,1265,3032,1,0001881787,Common Stock
A,02/15/2023 00:00:00,Cashell Robert A. JR,4,A-Award,--D,1265,130117,1,0001510126,Common Stock
A,02/15/2023 00:00:00,COPHER RON J,4,A-Award,--D,9197,74916,1,0001187193,Common Stock
A,02/15/2023 00:00:00,Espinoza Jesus Thomas,4,A-Award,--D,1371,1371,1,0001953890,Common Stock
A,02/15/2023 00:00:00,Goodwin Annie M.,4,A-Award,--D,1265,12667,1,0001553143,Common Stock
A,02/15/2023 00:00:00,Boyles David C,4,A-Award,--D,1265,34857,1,0001331137,Common Stock
A,02/15/2023 00:00:00,Langel Craig A,4,A-Award,--D,1265,81457,1,0001347688,Common Stock
A,02/15/2023 00:00:00,McBride Douglas J,4,A-Award,--D,1265,15731,1,0001376867,Common Stock
D,12/30/2022 00:00:00,Chesler Randall M,5,G-Gift,--D,1614,82472,1,0001649724,Common Stock
D,11/02/2022 00:00:00,Chery Don J.,5,G-Gift,--D,1250,41435,1,0001410850,Common Stock
D,07/06/2022 00:00:00,Chesler Randall M,4,F-InKind,--D,2370,84086,2,0001649724,Common Stock
D,06/07/2022 00:00:00,Chesler Randall M,4,G-Gift,--D,612,86456,1,0001649724,Common Stock
A,02/15/2022 00:00:00,Boyles David C,4,A-Award,--D,1109,33617,1,0001331137,Common Stock
A,02/15/2022 00:00:00,Cashell Robert A. JR,4,A-Award,--D,1109,128852,1,0001510126,Common Stock
A,02/15/2022 00:00:00,Heck Kristen Lee,4,A-Award,--D,1109,5451.76,1,0001839672,Common Stock
A,02/15/2022 00:00:00,SUTTON GEORGE R,4,A-Award,--D,370,4200,1,0001718818,Common Stock
A,02/15/2022 00:00:00,McBride Douglas J,4,A-Award,--D,1109,14466,1,0001376867,Common Stock
