MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/15/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,17500,0,9,0001478479,Stock Option (Right to Buy Class A Common Stock)
D,05/15/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,14000,0,8,0001478479,Stock Option (Right to Buy Class A Common Stock)
D,05/15/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,10500,0,7,0001478479,Stock Option (Right to Buy Class A Common Stock)
D,05/15/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,1450,0,6,0001478479,Stock Option (Right to Buy Class A Common Stock)
D,05/15/2023 00:00:00,Lemaitre Dan,4,S-Sale,--D,43450,10800,5,0001478479,Class A Common Stock
A,05/15/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,17500,54250,4,0001478479,Class A Common Stock
A,05/15/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,14000,36750,3,0001478479,Class A Common Stock
A,05/15/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,10500,22750,2,0001478479,Class A Common Stock
A,05/15/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,1450,12250,1,0001478479,Class A Common Stock
D,02/09/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,5550,1450,2,0001478479,Stock Option (Right to Buy Class A Common Stock)
A,02/09/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,5550,10800,1,0001478479,Class A Common Stock
D,02/02/2023 00:00:00,Pfeil Keith W,4,M-Exempt,--D,15000,9167,5,0001752014,Stock Option (Right to Buy Class A Common Stock)
D,02/02/2023 00:00:00,Pfeil Keith W,4,M-Exempt,--D,14167,5833,4,0001752014,Stock Option (Right to Buy Class A Common Stock)
D,02/02/2023 00:00:00,Pfeil Keith W,4,S-Sale,--D,29167,0,3,0001752014,Class A Common Stock
A,02/02/2023 00:00:00,Pfeil Keith W,4,M-Exempt,--D,15000,29167,2,0001752014,Class A Common Stock
A,02/02/2023 00:00:00,Pfeil Keith W,4,M-Exempt,--D,14167,14167,1,0001752014,Class A Common Stock
D,01/27/2023 00:00:00,RHOADS ANN D,4,M-Exempt,--D,7500,0,2,0001250252,Stock Option (Right to Buy Class A Common Stock)
A,01/27/2023 00:00:00,RHOADS ANN D,4,M-Exempt,--D,7500,22884,1,0001250252,Class A Common Stock
D,01/27/2023 00:00:00,Lemaitre Dan,4,M-Exempt,--D,5250,0,2,0001478479,Stock Option (Right to Buy Class A Common Stock)
