MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/26/2023 00:00:00,Jones Serena,4,G-Gift,--I,161094,161094,5,0001737783,"LLC Units in Goosehead Financial, LLC"
D,06/26/2023 00:00:00,Jones Serena,4,G-Gift,--D,161094,443442,4,0001737783,"LLC Units in Goosehead Financial, LLC"
A,06/26/2023 00:00:00,Jones Serena,4,G-Gift,--I,161094,161094,2,0001737783,Class B Common Stock
D,06/26/2023 00:00:00,Jones Serena,4,G-Gift,--D,161094,443442,1,0001737783,Class B Common Stock
D,06/08/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,C-Conversion,--D,10112,8406142,18,0001736769,"LLC Units in Goosehead Financial, LLC"
D,06/08/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,S-Sale,--D,10112,0,10,0001736769,Class A Common Stock
A,06/08/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,C-Conversion,--D,10112,10112,9,0001736769,Class A Common Stock
D,06/08/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,C-Conversion,--D,10112,8406142,8,0001736769,Class B Common Stock
D,06/07/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,C-Conversion,--D,6290,8416254,17,0001736769,"LLC Units in Goosehead Financial, LLC"
D,06/07/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,S-Sale,--D,100,0,7,0001736769,Class A Common Stock
D,06/07/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,S-Sale,--D,6190,100,6,0001736769,Class A Common Stock
A,06/07/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,C-Conversion,--D,6290,6290,5,0001736769,Class A Common Stock
D,06/07/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,C-Conversion,--D,6290,8416254,4,0001736769,Class B Common Stock
D,06/06/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,C-Conversion,--D,24037,8422544,16,0001736769,"LLC Units in Goosehead Financial, LLC"
D,06/06/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,S-Sale,--D,24037,0,3,0001736769,Class A Common Stock
A,06/06/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,C-Conversion,--D,24037,24037,2,0001736769,Class A Common Stock
D,06/06/2023 00:00:00,Mark & Robyn Jones Descendants Trust 2014,4,C-Conversion,--D,24037,8422544,1,0001736769,Class B Common Stock
D,06/01/2023 00:00:00,Coleman Desiree,4,C-Conversion,--D,5462,250000,12,0001737830,"LLC Units in Goosehead Financial, LLC"
D,06/01/2023 00:00:00,Coleman Desiree,4,S-Sale,--D,5462,0,9,0001737830,Class A Common Stock
A,06/01/2023 00:00:00,Coleman Desiree,4,C-Conversion,--D,5462,5462,8,0001737830,Class A Common Stock
D,06/01/2023 00:00:00,Coleman Desiree,4,C-Conversion,--D,5462,250000,7,0001737830,Class B Common Stock
D,05/31/2023 00:00:00,Coleman Desiree,4,C-Conversion,--D,7991,255462,11,0001737830,"LLC Units in Goosehead Financial, LLC"
