MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/21/2023 00:00:00,Cooper Jeffrey Elliott,4,S-Sale,--D,1254,57073,2,0001805719,Common Stock
D,06/21/2023 00:00:00,King James Winston,4,S-Sale,--D,1915,32776,2,0001586253,Common Stock
D,06/21/2023 00:00:00,Hung Priscilla,4,S-Sale,--D,2513,49641,2,0001557593,Common Stock
D,06/20/2023 00:00:00,Mullen John P,4,S-Sale,--D,4057,127476,1,0001917389,Common Stock
D,06/20/2023 00:00:00,Cooper Jeffrey Elliott,4,S-Sale,--D,2572,58327,1,0001805719,Common Stock
D,06/20/2023 00:00:00,Rosenbaum Michael George,4,S-Sale,--D,7584,188016,1,0001784996,Common Stock
D,06/20/2023 00:00:00,King James Winston,4,S-Sale,--D,1050,34691,1,0001586253,Common Stock
D,06/20/2023 00:00:00,Hung Priscilla,4,S-Sale,--D,1981,52154,1,0001557593,Common Stock
D,06/15/2023 00:00:00,King James Winston,4,M-Exempt,--D,191,191,2,0001586253,Performance Shares
A,06/15/2023 00:00:00,King James Winston,4,M-Exempt,--D,191,35741,1,0001586253,Common Stock
D,06/15/2023 00:00:00,Rosenbaum Michael George,4,M-Exempt,--D,2555,2555,2,0001784996,Performance Stock Units
A,06/15/2023 00:00:00,Rosenbaum Michael George,4,M-Exempt,--D,2555,195600,1,0001784996,Common Stock
D,06/15/2023 00:00:00,Hung Priscilla,4,M-Exempt,--D,342,342,2,0001557593,Performance Shares
A,06/15/2023 00:00:00,Hung Priscilla,4,M-Exempt,--D,342,54135,1,0001557593,Common Stock
D,03/20/2023 00:00:00,King James Winston,4,S-Sale,--D,1526,35550,2,0001586253,Common Stock
D,03/20/2023 00:00:00,Hung Priscilla,4,S-Sale,--D,2523,53793,2,0001557593,Common Stock
D,03/20/2023 00:00:00,Cooper Jeffrey Elliott,4,S-Sale,--D,1659,60899,2,0001805719,Common Stock
