MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,03/23/2023 00:00:00,Klinck Theodore J,4,P-Purchase,--D,5000,337177,1,0001550121,Common Stock
A,03/01/2023 00:00:00,LLOYD ANNE H,4,A-Award,--D,3211,12936,1,0001234192,Common Stock
A,03/01/2023 00:00:00,Hartzell David John,4,A-Award,--D,3211,31116,1,0001455394,Common Stock
A,03/01/2023 00:00:00,Anderson Thomas P,4,A-Award,--D,3211,12363,1,0001434274,Common Stock
A,03/01/2023 00:00:00,Gadis David L,4,A-Award,--D,3211,6861,1,0001838713,Common Stock
A,03/01/2023 00:00:00,Anderson Charles Albert,4,A-Award,--D,3211,18609,1,0001609406,Common Stock
A,03/01/2023 00:00:00,Evans Carlos E,4,A-Award,--D,3211,42487,1,0001632093,Common Stock
A,03/01/2023 00:00:00,ANDERSON GENE H,4,A-Award,--D,3211,84270,1,0001249389,Common Stock
D,03/01/2023 00:00:00,Miller Jeffrey Douglas,4,F-InKind,--D,3760,135084,2,0001394121,Common Stock
A,03/01/2023 00:00:00,Miller Jeffrey Douglas,4,A-Award,--D,22632,138844,1,0001394121,Common Stock
D,03/01/2023 00:00:00,Maiorana Brendan C,4,F-InKind,--D,1870,68584,2,0001781866,Common Stock
A,03/01/2023 00:00:00,Maiorana Brendan C,4,A-Award,--D,31200,70454,1,0001781866,Common Stock
D,03/01/2023 00:00:00,Leary Brian M,4,F-InKind,--D,5593,91386,2,0001782678,Common Stock
A,03/01/2023 00:00:00,Leary Brian M,4,A-Award,--D,30816,96979,1,0001782678,Common Stock
D,03/01/2023 00:00:00,Klinck Theodore J,4,F-InKind,--D,18628,332177,2,0001550121,Common Stock
A,03/01/2023 00:00:00,Klinck Theodore J,4,A-Award,--D,94592,350805,1,0001550121,Common Stock
A,09/28/2022 00:00:00,Maiorana Brendan C,4,P-Purchase,--D,1500,39254,1,0001781866,Common Stock
A,09/22/2022 00:00:00,Klinck Theodore J,4,P-Purchase,--D,5000,246445,1,0001550121,Common Stock
A,09/22/2022 00:00:00,Miller Jeffrey Douglas,4,P-Purchase,--D,1000,116482,1,0001394121,Common Stock
D,08/31/2022 00:00:00,Gadis David L,4,S-Sale,--D,650,3650,1,0001838713,Common Stock
D,03/28/2022 00:00:00,Miller Jeffrey Douglas,5,G-Gift,--D,600,116212,1,0001394121,Common Stock
D,03/01/2022 00:00:00,Leary Brian M,4,D-Return,--D,2347,66163,3,0001782678,Common Stock
D,03/01/2022 00:00:00,Leary Brian M,4,F-InKind,--D,5070,68510,2,0001782678,Common Stock
A,03/01/2022 00:00:00,Leary Brian M,4,A-Award,--D,19816,73580,1,0001782678,Common Stock
D,03/01/2022 00:00:00,Miller Jeffrey Douglas,4,D-Return,--D,1566,115482,3,0001394121,Common Stock
D,03/01/2022 00:00:00,Miller Jeffrey Douglas,4,F-InKind,--D,3332,117048,2,0001394121,Common Stock
A,03/01/2022 00:00:00,Miller Jeffrey Douglas,4,A-Award,--D,14552,120380,1,0001394121,Common Stock
D,03/01/2022 00:00:00,Klinck Theodore J,4,D-Return,--D,3050,241445,3,0001550121,Common Stock
D,03/01/2022 00:00:00,Klinck Theodore J,4,F-InKind,--D,11460,244495,2,0001550121,Common Stock
A,03/01/2022 00:00:00,Klinck Theodore J,4,A-Award,--D,60816,255955,1,0001550121,Common Stock
A,03/01/2022 00:00:00,Gadis David L,4,A-Award,--D,2085,4300,1,0001838713,Common Stock
A,03/01/2022 00:00:00,Anderson Thomas P,4,A-Award,--D,2085,9152,1,0001434274,Common Stock
A,03/01/2022 00:00:00,LLOYD ANNE H,4,A-Award,--D,2085,9725,1,0001234192,Common Stock
A,03/01/2022 00:00:00,Hartzell David John,4,A-Award,--D,2085,27905,1,0001455394,Common Stock
A,03/01/2022 00:00:00,Evans Carlos E,4,A-Award,--D,2085,39276,1,0001632093,Common Stock
A,03/01/2022 00:00:00,ANDERSON GENE H,4,A-Award,--D,2085,81059,1,0001249389,Common Stock
A,03/01/2022 00:00:00,Anderson Charles Albert,4,A-Award,--D,2085,15398,1,0001609406,Common Stock
D,03/01/2022 00:00:00,Maiorana Brendan C,4,D-Return,--D,506,37754,3,0001781866,Common Stock
D,03/01/2022 00:00:00,Maiorana Brendan C,4,F-InKind,--D,1107,38260,2,0001781866,Common Stock
A,03/01/2022 00:00:00,Maiorana Brendan C,4,A-Award,--D,20064,39367,1,0001781866,Common Stock
D,11/11/2021 00:00:00,Mulhern Mark F,4,M-Exempt,--D,16154,0,3,0001342425,Employee Stock Option (right to buy)
D,11/11/2021 00:00:00,Mulhern Mark F,4,S-Sale,--D,16154,117676,2,0001342425,Common Stock
A,11/11/2021 00:00:00,Mulhern Mark F,4,M-Exempt,--D,16154,133830,1,0001342425,Common Stock
D,05/20/2021 00:00:00,Hartzell David John,4,S-Sale,--D,600,25163,2,0001455394,Common Stock
D,05/12/2021 00:00:00,Hartzell David John,4,S-Sale,--D,662,25763,1,0001455394,Common Stock
D,03/15/2021 00:00:00,Miller Jeffrey Douglas,5,G-Gift,--D,375,105828,1,0001394121,Common Stock
D,03/01/2021 00:00:00,Maiorana Brendan C,4,D-Return,--D,522,19303,3,0001781866,Common Stock
D,03/01/2021 00:00:00,Maiorana Brendan C,4,F-InKind,--D,1054,19825,2,0001781866,Common Stock
A,03/01/2021 00:00:00,Maiorana Brendan C,4,A-Award,--D,5352,20879,1,0001781866,Common Stock
D,03/01/2021 00:00:00,Miller Jeffrey Douglas,4,D-Return,--D,1646,106062,3,0001394121,Common Stock
D,03/01/2021 00:00:00,Miller Jeffrey Douglas,4,F-InKind,--D,3194,107708,2,0001394121,Common Stock
A,03/01/2021 00:00:00,Miller Jeffrey Douglas,4,A-Award,--D,15008,110902,1,0001394121,Common Stock
D,03/01/2021 00:00:00,Mulhern Mark F,4,D-Return,--D,2281,117676,3,0001342425,Common Stock
D,03/01/2021 00:00:00,Mulhern Mark F,4,F-InKind,--D,4469,119957,2,0001342425,Common Stock
A,03/01/2021 00:00:00,Mulhern Mark F,4,A-Award,--D,20656,124426,1,0001342425,Common Stock
D,03/01/2021 00:00:00,Leary Brian M,4,F-InKind,--D,1314,53764,2,0001782678,Common Stock
A,03/01/2021 00:00:00,Leary Brian M,4,A-Award,--D,20432,55078,1,0001782678,Common Stock
D,03/01/2021 00:00:00,Klinck Theodore J,4,D-Return,--D,2297,189368,3,0001550121,Common Stock
D,03/01/2021 00:00:00,Klinck Theodore J,4,F-InKind,--D,7904,191665,2,0001550121,Common Stock
A,03/01/2021 00:00:00,Klinck Theodore J,4,A-Award,--D,49832,199569,1,0001550121,Common Stock
A,03/01/2021 00:00:00,Gadis David L,4,A-Award,--D,2215,2215,1,0001838713,Common Stock
A,03/01/2021 00:00:00,Anderson Thomas P,4,A-Award,--D,2215,7067,1,0001434274,Common Stock
A,03/01/2021 00:00:00,LLOYD ANNE H,4,A-Award,--D,2215,7640,1,0001234192,Common Stock
A,03/01/2021 00:00:00,KELLETT SHERRY A,4,A-Award,--D,2215,19532,1,0001195186,Common Stock
A,03/01/2021 00:00:00,Hartzell David John,4,A-Award,--D,2215,26425,1,0001455394,Common Stock
A,03/01/2021 00:00:00,Evans Carlos E,4,A-Award,--D,2215,37191,1,0001632093,Common Stock
A,03/01/2021 00:00:00,ANDERSON GENE H,4,A-Award,--D,2215,78974,1,0001249389,Common Stock
A,03/01/2021 00:00:00,Anderson Charles Albert,4,A-Award,--D,2215,13313,1,0001609406,Common Stock
A,09/24/2020 00:00:00,Anderson Thomas P,4,P-Purchase,--D,3000,4852,1,0001434274,Common Stock
A,09/22/2020 00:00:00,Evans Carlos E,4,P-Purchase,--D,10000,34976,1,0001632093,Common Stock
D,09/01/2020 00:00:00,Klinck Theodore J,4,F-InKind,--D,262,144727,1,0001550121,Common Stock
D,07/15/2020 00:00:00,Leary Brian M,4,F-InKind,--D,698,34646,1,0001782678,Common Stock
A,03/13/2020 00:00:00,Miller Jeffrey Douglas,4,P-Purchase,--D,1000,95730,1,0001394121,Common Stock
A,03/12/2020 00:00:00,Klinck Theodore J,4,P-Purchase,--D,10000,144989,1,0001550121,Common Stock
D,03/01/2020 00:00:00,Maiorana Brendan C,4,D-Return,--D,1612,15527,3,0001781866,Common Stock
D,03/01/2020 00:00:00,Maiorana Brendan C,4,F-InKind,--D,554,17139,2,0001781866,Common Stock
A,03/01/2020 00:00:00,Maiorana Brendan C,4,A-Award,--D,4336,17693,1,0001781866,Common Stock
A,03/01/2020 00:00:00,KELLETT SHERRY A,4,A-Award,--D,1796,17317,1,0001195186,Common Stock
