MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/19/2023 00:00:00,Johnson Richard A,4,P-Purchase,--D,10000,68729.128,1,0001480981,Common Stock
A,05/11/2023 00:00:00,Gerard Robert A,4,P-Purchase,--D,500,276405.6145,1,0001413918,Common Stock
D,02/01/2023 00:00:00,Redler Dara S,4,F-InKind,--D,3327,25287.379,1,0001906564,Common Stock
D,12/14/2022 00:00:00,Jones Jeffrey J II,4,S-Sale,--D,66000,591977.343,2,0001546303,Common Stock
D,12/13/2022 00:00:00,Jones Jeffrey J II,4,S-Sale,--D,18009,657977.343,1,0001546303,Common Stock
A,11/04/2022 00:00:00,Winter Matthew E,4,A-Award,--D,4679,43259.822,1,0001468136,Common Stock
A,11/04/2022 00:00:00,REICH VICTORIA,4,A-Award,--D,4679,95798.443,1,0001217635,Common Stock
A,11/04/2022 00:00:00,Piazza Yolande G,4,A-Award,--D,4679,22897.472,1,0001824253,Common Stock
A,11/04/2022 00:00:00,Mends Mia,4,A-Award,--D,4679,15121.895,1,0001854231,Common Stock
A,11/04/2022 00:00:00,Johnson Richard A,4,A-Award,--D,4679,57865.394,1,0001480981,Common Stock
A,11/04/2022 00:00:00,Gupta Anuradha,4,A-Award,--D,4679,28754.435,1,0001793364,Common Stock
A,11/04/2022 00:00:00,Gerard Robert A,4,A-Award,--D,9603,271829.9515,1,0001413918,Common Stock
A,11/04/2022 00:00:00,Cohan Sean,4,A-Award,--D,4679,15121.895,1,0001854196,Common Stock
A,11/03/2022 00:00:00,Gerard Robert A,4,P-Purchase,--D,500,262226.9515,1,0001413918,Common Stock
D,09/07/2022 00:00:00,Orosco Karen A,4,S-Sale,--D,50000,89732.706,1,0001739560,Common Stock
A,08/31/2022 00:00:00,Orosco Karen A,4/A,A-Award,--D,13223,142980.706,1,0001739560,Common Stock
A,08/31/2022 00:00:00,Redler Dara S,4,A-Award,--D,7389,28235.526,1,0001906564,Common Stock
D,08/31/2022 00:00:00,Orosco Karen A,4,F-InKind,--D,3248,136621.706,2,0001739560,Common Stock
A,08/31/2022 00:00:00,Orosco Karen A,4,A-Award,--D,10112,139869.706,1,0001739560,Common Stock
D,08/31/2022 00:00:00,Logerwell Kellie J,4,F-InKind,--D,610,20280.532,2,0001678263,Common Stock
A,08/31/2022 00:00:00,Logerwell Kellie J,4,A-Award,--D,2100,20890.532,1,0001678263,Common Stock
D,08/31/2022 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,13861,674008.518,2,0001546303,Common Stock
A,08/31/2022 00:00:00,Jones Jeffrey J II,4,A-Award,--D,48223,687869.518,1,0001546303,Common Stock
D,08/31/2022 00:00:00,Bowen Tony G,4,F-InKind,--D,3986,89031.0133,2,0001673692,Common Stock
A,08/31/2022 00:00:00,Bowen Tony G,4,A-Award,--D,13223,93017.0133,1,0001673692,Common Stock
D,08/18/2022 00:00:00,Logerwell Kellie J,4,S-Sale,--D,6500,18790.532,1,0001678263,Common Stock
D,08/18/2022 00:00:00,Bowen Tony G,4,S-Sale,--D,64741,79794.0133,1,0001673692,Common Stock
D,08/16/2022 00:00:00,Wood Christianna,4,S-Sale,--I,7392,0,2,0001439573,Common Stock
D,08/16/2022 00:00:00,Wood Christianna,4,S-Sale,--I,5188,0,1,0001439573,Common Stock
D,08/12/2022 00:00:00,Bowen Tony G,4,F-InKind,--D,23575,144535.0133,2,0001673692,Common Stock
D,08/12/2022 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,100881,639646.518,2,0001546303,Common Stock
D,08/12/2022 00:00:00,Logerwell Kellie J,4,F-InKind,--D,4537,25290.532,2,0001678263,Common Stock
D,08/12/2022 00:00:00,Orosco Karen A,4,F-InKind,--D,20000,129757.706,2,0001739560,Common Stock
A,08/11/2022 00:00:00,Bowen Tony G,4,A-Award,--D,52237,168110.0133,1,0001673692,Common Stock
A,08/11/2022 00:00:00,Jones Jeffrey J II,4,A-Award,--D,220986,740527.518,1,0001546303,Common Stock
A,08/11/2022 00:00:00,Logerwell Kellie J,4,A-Award,--D,10048,29827.532,1,0001678263,Common Stock
A,08/11/2022 00:00:00,Orosco Karen A,4,A-Award,--D,44198,149757.706,1,0001739560,Common Stock
D,07/01/2022 00:00:00,Orosco Karen A,4,F-InKind,--D,30,105559.706,1,0001739560,Common Stock
D,07/01/2022 00:00:00,Logerwell Kellie J,4,F-InKind,--D,8,19779.532,1,0001678263,Common Stock
D,07/01/2022 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,146,519541.518,1,0001546303,Common Stock
D,07/01/2022 00:00:00,Bowen Tony G,4,F-InKind,--D,35,115873.0133,1,0001673692,Common Stock
D,06/30/2022 00:00:00,Orosco Karen A,4,F-InKind,--D,3840,105322.08,1,0001739560,Common Stock
D,06/30/2022 00:00:00,Logerwell Kellie J,4,F-InKind,--D,875,19730.536,1,0001678263,Common Stock
D,06/30/2022 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,19351,517234.947,1,0001546303,Common Stock
D,06/30/2022 00:00:00,Bowen Tony G,4,F-InKind,--D,4523,115583.2413,1,0001673692,Common Stock
A,02/01/2022 00:00:00,Redler Dara S,4,A-Award,--D,20475,20475,1,0001906564,Common Stock
A,11/04/2021 00:00:00,Gerard Robert A,4,P-Purchase,--D,5000,252882.5395,1,0001413918,Common Stock
A,09/09/2021 00:00:00,Johnson Richard A,4,A-Award,--D,6785,50792.472,1,0001480981,Common Stock
A,09/09/2021 00:00:00,Wood Christianna,4,A-Award,--D,6785,117107.689,1,0001439573,Common Stock
A,09/09/2021 00:00:00,Winter Matthew E,4,A-Award,--D,6785,36844.298,1,0001468136,Common Stock
A,09/09/2021 00:00:00,REICH VICTORIA,4,A-Award,--D,6785,87014.548,1,0001217635,Common Stock
A,09/09/2021 00:00:00,Piazza Yolande G,4,A-Award,--D,6785,17398.459,1,0001824253,Common Stock
A,09/09/2021 00:00:00,Mends Mia,4,A-Award,--D,6785,9972.861,1,0001854231,Common Stock
A,09/09/2021 00:00:00,Gupta Anuradha,4,A-Award,--D,6785,22991.8,1,0001793364,Common Stock
A,09/09/2021 00:00:00,Gerard Robert A,4,A-Award,--D,15830,245383.0955,1,0001413918,Common Stock
A,09/09/2021 00:00:00,Cohan Sean,4,A-Award,--D,6785,9972.861,1,0001854196,Common Stock
A,08/31/2021 00:00:00,Logerwell Kellie J,4,A-Award,--D,4140,20369.744,1,0001678263,Common Stock
D,08/31/2021 00:00:00,GERKE THOMAS A,4,S-Sale,--D,20000,85481.541,2,0001229492,Common Stock
A,08/31/2021 00:00:00,GERKE THOMAS A,4,A-Award,--D,17512,105481.541,1,0001229492,Common Stock
A,08/31/2021 00:00:00,Orosco Karen A,4,A-Award,--D,20696,108044.306,1,0001739560,Common Stock
A,08/31/2021 00:00:00,Bowen Tony G,4,A-Award,--D,25472,118752.3643,1,0001673692,Common Stock
A,08/31/2021 00:00:00,Jones Jeffrey J II,4,A-Award,--D,87557,526329.907,1,0001546303,Common Stock
D,08/30/2021 00:00:00,GERKE THOMAS A,4,S-Sale,--D,15000,87970.338,2,0001229492,Common Stock
D,08/27/2021 00:00:00,GERKE THOMAS A,4,S-Sale,--D,20000,102970.338,1,0001229492,Common Stock
D,08/25/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,13098,0,4,0001229492,Stock Option (Right to Buy)
D,08/25/2021 00:00:00,GERKE THOMAS A,4,S-Sale,--D,13098,122970.338,3,0001229492,Common Stock
D,08/25/2021 00:00:00,GERKE THOMAS A,4,S-Sale,--D,10564,136068.338,2,0001229492,Common Stock
A,08/25/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,13098,146632.338,1,0001229492,Common Stock
D,08/19/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,560,13098,3,0001229492,Stock Option (Right to Buy)
D,08/19/2021 00:00:00,GERKE THOMAS A,4,S-Sale,--D,560,133534.338,2,0001229492,Common Stock
A,08/19/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,560,134094.338,1,0001229492,Common Stock
D,08/18/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,11342,13658,6,0001229492,Stock Option (Right to Buy)
D,08/18/2021 00:00:00,GERKE THOMAS A,4,S-Sale,--D,11342,133534.338,4,0001229492,Common Stock
A,08/18/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,11342,144876.338,3,0001229492,Common Stock
D,08/17/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,32881,25000,5,0001229492,Stock Option (Right to Buy)
D,08/17/2021 00:00:00,GERKE THOMAS A,4,S-Sale,--D,32881,133534.338,2,0001229492,Common Stock
A,08/17/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,32881,166415.338,1,0001229492,Common Stock
D,08/16/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,17119,57881,6,0001229492,Stock Option (Right to Buy)
D,08/16/2021 00:00:00,GERKE THOMAS A,4,S-Sale,--D,17119,133534.338,4,0001229492,Common Stock
A,08/16/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,17119,150653.338,3,0001229492,Common Stock
D,08/13/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,29734,75000,5,0001229492,Stock Option (Right to Buy)
D,08/13/2021 00:00:00,GERKE THOMAS A,4,S-Sale,--D,29734,133534.338,2,0001229492,Common Stock
A,08/13/2021 00:00:00,GERKE THOMAS A,4,M-Exempt,--D,29734,163268.338,1,0001229492,Common Stock
D,07/16/2021 00:00:00,GERKE THOMAS A,4,F-InKind,--D,17402,133534.338,2,0001229492,Common Stock
A,07/16/2021 00:00:00,GERKE THOMAS A,4,A-Award,--D,39234,150936.338,1,0001229492,Common Stock
D,07/16/2021 00:00:00,Orosco Karen A,4,F-InKind,--D,14366,87348.306,2,0001739560,Common Stock
A,07/16/2021 00:00:00,Orosco Karen A,4,A-Award,--D,32100,101714.306,1,0001739560,Common Stock
D,07/16/2021 00:00:00,Logerwell Kellie J,4,F-InKind,--D,4045,16229.744,2,0001678263,Common Stock
A,07/16/2021 00:00:00,Logerwell Kellie J,4,A-Award,--D,8919,20274.744,1,0001678263,Common Stock
D,07/16/2021 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,86997,438772.907,2,0001546303,Common Stock
A,07/16/2021 00:00:00,Jones Jeffrey J II,4,A-Award,--D,196157,525769.907,1,0001546303,Common Stock
D,07/16/2021 00:00:00,Bowen Tony G,4,F-InKind,--D,15819,93280.3643,2,0001673692,Common Stock
A,07/16/2021 00:00:00,Bowen Tony G,4,A-Award,--D,35667,109099.3643,1,0001673692,Common Stock
D,07/02/2021 00:00:00,GERKE THOMAS A,4,F-InKind,--D,63,111702.338,1,0001229492,Common Stock
D,07/02/2021 00:00:00,Bowen Tony G,4,F-InKind,--D,68,73432.3643,1,0001673692,Common Stock
D,07/02/2021 00:00:00,Orosco Karen A,4,F-InKind,--D,40,69614.306,1,0001739560,Common Stock
D,07/02/2021 00:00:00,Logerwell Kellie J,4,F-InKind,--D,10,11355.744,1,0001678263,Common Stock
D,07/02/2021 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,299,329612.907,1,0001546303,Common Stock
D,06/30/2021 00:00:00,Orosco Karen A,4,F-InKind,--D,5175,69375.653,1,0001739560,Common Stock
D,06/30/2021 00:00:00,Logerwell Kellie J,4,F-InKind,--D,1260,11298.034,1,0001678263,Common Stock
D,06/30/2021 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,26788,326754.734,1,0001546303,Common Stock
D,06/30/2021 00:00:00,GERKE THOMAS A,4,F-InKind,--D,5475,111478.685,1,0001229492,Common Stock
D,06/30/2021 00:00:00,Bowen Tony G,4,F-InKind,--D,5962,73173.9453,1,0001673692,Common Stock
A,04/01/2021 00:00:00,Mends Mia,4,A-Award,--D,3153,3153,1,0001854231,Common Stock
A,04/01/2021 00:00:00,Cohan Sean,4,A-Award,--D,3153,3153,1,0001854196,Common Stock
A,12/21/2020 00:00:00,Jones Jeffrey J II,4,P-Purchase,--D,3310,346096.952,1,0001546303,Common Stock
A,09/10/2020 00:00:00,Wood Christianna,4,A-Award,--D,10053,104466.697,1,0001439573,Common Stock
A,09/10/2020 00:00:00,ROHDE BRUCE,4,A-Award,--D,10053,101263.955,1,0001185084,Common Stock
A,09/10/2020 00:00:00,Johnson Richard A,4,A-Award,--D,10053,41683.594,1,0001480981,Common Stock
A,09/10/2020 00:00:00,Winter Matthew E,4,A-Award,--D,10053,28471.975,1,0001468136,Common Stock
A,09/10/2020 00:00:00,REICH VICTORIA,4,A-Award,--D,10053,75979.41,1,0001217635,Common Stock
A,09/10/2020 00:00:00,Piazza Yolande G,4,A-Award,--D,10053,10053,1,0001824253,Common Stock
A,09/10/2020 00:00:00,LEWIS DAVID B,4,A-Award,--D,10053,113969.162,1,0001136554,Common Stock
A,09/10/2020 00:00:00,Gupta Anuradha,4,A-Award,--D,10053,15350.976,1,0001793364,Common Stock
A,09/10/2020 00:00:00,Gerard Robert A,4,A-Award,--D,23456,217644.2895,1,0001413918,Common Stock
A,09/10/2020 00:00:00,Brown Paul J,4,A-Award,--D,10053,81679.41,1,0001472591,Common Stock
A,09/03/2020 00:00:00,Gerard Robert A,4,P-Purchase,--I,12000,21000,1,0001413918,Common Stock
A,09/03/2020 00:00:00,Jones Jeffrey J II,4,P-Purchase,--D,13150,338151.88,1,0001546303,Common Stock
D,08/21/2020 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,2428,325001.88,1,0001546303,Common Stock
D,07/28/2020 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,8708,327429.88,2,0001546303,Common Stock
D,07/28/2020 00:00:00,GERKE THOMAS A,4,F-InKind,--D,5739,115860.348,2,0001229492,Common Stock
D,07/28/2020 00:00:00,Orosco Karen A,4,F-InKind,--D,1740,73490.413,2,0001739560,Common Stock
D,07/28/2020 00:00:00,Logerwell Kellie J,4,F-InKind,--D,470,12308.652,2,0001678263,Common Stock
D,07/28/2020 00:00:00,Bowen Tony G,4,F-InKind,--D,2200,77892.4623,2,0001673692,Common Stock
A,07/27/2020 00:00:00,Jones Jeffrey J II,4,A-Award,--D,18902,336137.88,1,0001546303,Common Stock
A,07/27/2020 00:00:00,GERKE THOMAS A,4,A-Award,--D,11931,121599.348,1,0001229492,Common Stock
A,07/27/2020 00:00:00,Orosco Karen A,4,A-Award,--D,3818,75230.413,1,0001739560,Common Stock
A,07/27/2020 00:00:00,Logerwell Kellie J,4,A-Award,--D,1194,12778.652,1,0001678263,Common Stock
A,07/27/2020 00:00:00,Bowen Tony G,4,A-Award,--D,4773,80092.4623,1,0001673692,Common Stock
D,07/02/2020 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,226,317235.88,1,0001546303,Common Stock
D,07/02/2020 00:00:00,Orosco Karen A,4,F-InKind,--D,43,71412.413,1,0001739560,Common Stock
D,07/02/2020 00:00:00,Bowen Tony G,4,F-InKind,--D,52,75319.4623,1,0001673692,Common Stock
D,07/02/2020 00:00:00,Logerwell Kellie J,4,F-InKind,--D,14,11584.652,1,0001678263,Common Stock
D,07/02/2020 00:00:00,GERKE THOMAS A,4,F-InKind,--D,74,109668.348,1,0001229492,Common Stock
D,06/30/2020 00:00:00,Orosco Karen A,4,F-InKind,--D,3545,71169.973,2,0001739560,Common Stock
A,06/30/2020 00:00:00,Orosco Karen A,4,A-Award,--D,15407,74714.973,1,0001739560,Common Stock
D,06/30/2020 00:00:00,Logerwell Kellie J,4,F-InKind,--D,965,11523.116,2,0001678263,Common Stock
A,06/30/2020 00:00:00,Logerwell Kellie J,4,A-Award,--D,3502,12488.116,1,0001678263,Common Stock
D,06/30/2020 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,18969,313323.17,2,0001546303,Common Stock
A,06/30/2020 00:00:00,Jones Jeffrey J II,4,A-Award,--D,77031,332292.17,1,0001546303,Common Stock
D,06/30/2020 00:00:00,GERKE THOMAS A,4,F-InKind,--D,6058,109359.414,2,0001229492,Common Stock
A,06/30/2020 00:00:00,GERKE THOMAS A,4,A-Award,--D,15407,115417.414,1,0001229492,Common Stock
D,06/30/2020 00:00:00,Bowen Tony G,4,F-InKind,--D,4191,75040.2123,2,0001673692,Common Stock
A,06/30/2020 00:00:00,Bowen Tony G,4,A-Award,--D,18208,79231.2123,1,0001673692,Common Stock
A,11/07/2019 00:00:00,Gupta Anuradha,4,A-Award,--D,5074,5074,1,0001793364,Common Stock
A,09/12/2019 00:00:00,REICH VICTORIA,4,A-Award,--D,6179,62401.114,1,0001217635,Common Stock
A,09/12/2019 00:00:00,Wood Christianna,4,A-Award,--D,6179,89221.36,1,0001439573,Common Stock
A,09/12/2019 00:00:00,Winter Matthew E,4,A-Award,--D,6179,17520.621,1,0001468136,Common Stock
A,09/12/2019 00:00:00,ROHDE BRUCE,4,A-Award,--D,6179,86791.226,1,0001185084,Common Stock
A,09/12/2019 00:00:00,LEWIS DAVID B,4,A-Award,--D,6179,98401.827,1,0001136554,Common Stock
A,09/12/2019 00:00:00,Johnson Richard A,4,A-Award,--D,6179,30041.59,1,0001480981,Common Stock
A,09/12/2019 00:00:00,Gerard Robert A,4,A-Award,--D,14416,183907.3855,1,0001413918,Common Stock
A,09/12/2019 00:00:00,Brown Paul J,4,A-Award,--D,6179,68101.114,1,0001472591,Common Stock
A,09/12/2019 00:00:00,Archon Angela N,4,A-Award,--D,6179,28804.142,1,0001669602,Common Stock
D,08/21/2019 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,2166,246821.738,1,0001546303,Common Stock
D,07/19/2019 00:00:00,Orosco Karen A,4,F-InKind,--D,9583,58730.178,2,0001739560,Common Stock
D,07/19/2019 00:00:00,Logerwell Kellie J,4,F-InKind,--D,3087,8835.722,2,0001678263,Common Stock
D,07/19/2019 00:00:00,GERKE THOMAS A,4,F-InKind,--D,17567,99233.92,2,0001229492,Common Stock
D,07/19/2019 00:00:00,Bowen Tony G,4,F-InKind,--D,14373,60350.6793,2,0001673692,Common Stock
A,07/18/2019 00:00:00,Orosco Karen A,4,A-Award,--D,20944,68313.178,1,0001739560,Common Stock
A,07/18/2019 00:00:00,Logerwell Kellie J,4,A-Award,--D,6982,11922.722,1,0001678263,Common Stock
A,07/18/2019 00:00:00,GERKE THOMAS A,4,A-Award,--D,38396,116800.92,1,0001229492,Common Stock
A,07/18/2019 00:00:00,Bowen Tony G,4,A-Award,--D,31414,74723.6793,1,0001673692,Common Stock
D,07/02/2019 00:00:00,Orosco Karen A,4,F-InKind,--D,19,47369.178,1,0001739560,Common Stock
D,07/02/2019 00:00:00,Logerwell Kellie J,4,S-Sale,--D,3000,4940.722,2,0001678263,Common Stock
D,07/02/2019 00:00:00,Logerwell Kellie J,4,F-InKind,--D,6,7940.722,1,0001678263,Common Stock
D,07/02/2019 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,107,248987.738,1,0001546303,Common Stock
D,07/02/2019 00:00:00,GERKE THOMAS A,4,F-InKind,--D,36,78404.92,1,0001229492,Common Stock
D,07/02/2019 00:00:00,Bowen Tony G,4,F-InKind,--D,25,43309.6793,1,0001673692,Common Stock
A,06/30/2019 00:00:00,Bowen Tony G,4,A-Award,--D,9761,43183.4093,2,0001673692,Common Stock
A,06/30/2019 00:00:00,Jones Jeffrey J II,4,A-Award,--D,40048,247148.323,2,0001546303,Common Stock
A,06/30/2019 00:00:00,GERKE THOMAS A,4,A-Award,--D,8476,78214.544,2,0001229492,Common Stock
A,06/30/2019 00:00:00,Orosco Karen A,4,A-Award,--D,8275,47262.434,2,0001739560,Common Stock
A,06/30/2019 00:00:00,Logerwell Kellie J,4,A-Award,--D,1959,7908.642,2,0001678263,Common Stock
D,06/28/2019 00:00:00,Bowen Tony G,4,F-InKind,--D,3707,33422.4093,1,0001673692,Common Stock
D,06/28/2019 00:00:00,Jones Jeffrey J II,4,F-InKind,--D,11757,207100.323,1,0001546303,Common Stock
D,06/28/2019 00:00:00,GERKE THOMAS A,4,F-InKind,--D,5709,69738.544,1,0001229492,Common Stock
