MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/08/2023 00:00:00,Feinberg Hill A,4,G-Gift,--D,8500,562136,1,0001325149,Common Stock
A,05/25/2023 00:00:00,FORD GERALD J,4,A-Award,--D,982.5916,284117.4702,1,0001021572,Common Stock
A,05/25/2023 00:00:00,Winges Martin Bradley,4,A-Award,--D,326.1305,107880.4153,1,0001453018,Common Stock
A,05/25/2023 00:00:00,PRESTIDGE COREY,4,A-Award,--D,420.7321,149676.2966,1,0001397829,Common Stock
D,05/16/2023 00:00:00,Nichols W Robert III,4,S-Sale,--I,1500,9500,1,0001434638,Common Stock
D,04/28/2023 00:00:00,Feinberg Hill A,4,G-Gift,--D,8500,570636,1,0001325149,Common Stock
A,04/03/2023 00:00:00,Bornemann Keith E.,4,A-Award,--D,56,12254.02,1,0001420756,Common Stock
A,04/03/2023 00:00:00,Winges Martin Bradley,4,A-Award,--D,842,107554.2848,1,0001453018,Common Stock
A,04/03/2023 00:00:00,FORD JEREMY B,4,A-Award,--D,842,1359232,1,0001258665,Common Stock
A,04/03/2023 00:00:00,PRESTIDGE COREY,4,A-Award,--D,195,149255.5645,1,0001397829,Common Stock
A,04/03/2023 00:00:00,Furr William B,4,A-Award,--D,56,155805.0167,1,0001683821,Common Stock
A,04/03/2023 00:00:00,PARMENTER DARREN E,4,A-Award,--D,544,81092.0883,1,0001431919,Common Stock
A,03/31/2023 00:00:00,WEBB CARL B,4,A-Award,--D,450,124557,1,0001267958,Common Stock
A,03/31/2023 00:00:00,Taylor Robert JR,4,A-Award,--D,246,41308,1,0001461403,Common Stock
A,03/31/2023 00:00:00,SOBEL JONATHAN S,4,A-Award,--D,225,23636,1,0001086618,Common Stock
A,03/31/2023 00:00:00,SHERMAN A HAAG,4,A-Award,--D,772,28419,1,0001283832,Common Stock
A,03/31/2023 00:00:00,Littlefair Andrew J,4,A-Award,--D,225,18651,1,0001400209,Common Stock
A,03/31/2023 00:00:00,Anderson Charlotte Jones,4,A-Award,--D,246,14292,1,0001472588,Common Stock
A,03/31/2023 00:00:00,FORD GERALD J,4,G-Gift,-EI,1825,84310,3,0001021572,Common Stock
