MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/25/2023 00:00:00,Lourd Bryan,4,M-Exempt,--D,1347,0,4,0001325206,Restricted Stock Units
A,06/25/2023 00:00:00,Lourd Bryan,4,M-Exempt,--D,1347,159634,2,0001325206,"Common Stock, par value $0.0001"
D,06/25/2023 00:00:00,Hammer Bonnie S,4,M-Exempt,--D,1347,0,4,0001438260,Restricted Stock Units
A,06/25/2023 00:00:00,Hammer Bonnie S,4,M-Exempt,--D,1347,26870,2,0001438260,"Common Stock, par value $0.0001"
D,06/25/2023 00:00:00,SPOON ALAN G,4,M-Exempt,--D,1347,0,5,0001018394,Restricted Stock Units
A,06/25/2023 00:00:00,SPOON ALAN G,4,M-Exempt,--D,1347,234578,2,0001018394,"Common Stock, par value $0.0001"
D,06/25/2023 00:00:00,ZANNINO RICHARD F,4,M-Exempt,--D,1347,0,4,0001189770,Restricted Stock Units
A,06/25/2023 00:00:00,ZANNINO RICHARD F,4,M-Exempt,--D,1347,50636,2,0001189770,"Common Stock, par value $0.0001"
D,06/25/2023 00:00:00,ROSENBLATT DAVID S,4,M-Exempt,--D,1347,0,4,0001237860,Restricted Stock Units
A,06/25/2023 00:00:00,ROSENBLATT DAVID S,4,M-Exempt,--D,1347,77905,2,0001237860,"Common Stock, par value $0.0001"
D,06/25/2023 00:00:00,Von Furstenberg Alexander,4,M-Exempt,--D,1347,0,4,0001451171,Restricted Stock Units
A,06/25/2023 00:00:00,Von Furstenberg Alexander,4,M-Exempt,--D,1347,95859,2,0001451171,"Common Stock, par value $0.0001"
D,06/25/2023 00:00:00,EISNER MICHAEL D,4,M-Exempt,--D,1347,0,5,0001205854,Restricted Stock Units
A,06/25/2023 00:00:00,EISNER MICHAEL D,4,M-Exempt,--D,1347,160538,2,0001205854,"Common Stock, par value $0.0001"
D,06/25/2023 00:00:00,Clinton Chelsea,4,M-Exempt,--D,1347,0,4,0001530920,Restricted Stock Units
A,06/25/2023 00:00:00,Clinton Chelsea,4,M-Exempt,--D,1347,71625,2,0001530920,"Common Stock, par value $0.0001"
D,06/23/2023 00:00:00,Lourd Bryan,4,M-Exempt,--D,1034,2069,3,0001325206,Restricted Stock Units
A,06/23/2023 00:00:00,Lourd Bryan,4,M-Exempt,--D,1034,158287,1,0001325206,"Common Stock, par value $0.0001"
D,06/23/2023 00:00:00,Hammer Bonnie S,4,M-Exempt,--D,1034,2069,3,0001438260,Restricted Stock Units
A,06/23/2023 00:00:00,Hammer Bonnie S,4,M-Exempt,--D,1034,25523,1,0001438260,"Common Stock, par value $0.0001"
D,06/23/2023 00:00:00,SPOON ALAN G,4,M-Exempt,--D,1034,2069,4,0001018394,Restricted Stock Units
A,06/23/2023 00:00:00,SPOON ALAN G,4,M-Exempt,--D,1034,233231,1,0001018394,"Common Stock, par value $0.0001"
D,06/23/2023 00:00:00,ZANNINO RICHARD F,4,M-Exempt,--D,1034,2069,3,0001189770,Restricted Stock Units
A,06/23/2023 00:00:00,ZANNINO RICHARD F,4,M-Exempt,--D,1034,49289,1,0001189770,"Common Stock, par value $0.0001"
D,06/23/2023 00:00:00,ROSENBLATT DAVID S,4,M-Exempt,--D,1034,2069,3,0001237860,Restricted Stock Units
A,06/23/2023 00:00:00,ROSENBLATT DAVID S,4,M-Exempt,--D,1034,76558,1,0001237860,"Common Stock, par value $0.0001"
D,06/23/2023 00:00:00,Von Furstenberg Alexander,4,M-Exempt,--D,1034,2069,3,0001451171,Restricted Stock Units
A,06/23/2023 00:00:00,Von Furstenberg Alexander,4,M-Exempt,--D,1034,94512,1,0001451171,"Common Stock, par value $0.0001"
D,06/23/2023 00:00:00,EISNER MICHAEL D,4,M-Exempt,--D,1034,2069,4,0001205854,Restricted Stock Units
A,06/23/2023 00:00:00,EISNER MICHAEL D,4,M-Exempt,--D,1034,159191,1,0001205854,"Common Stock, par value $0.0001"
D,06/23/2023 00:00:00,Clinton Chelsea,4,M-Exempt,--D,1034,2069,3,0001530920,Restricted Stock Units
A,06/23/2023 00:00:00,Clinton Chelsea,4,M-Exempt,--D,1034,70278,1,0001530920,"Common Stock, par value $0.0001"
A,06/15/2023 00:00:00,Clinton Chelsea,4,A-Award,--D,3977,3977,1,0001530920,Restricted Stock Units
A,06/15/2023 00:00:00,ZANNINO RICHARD F,4,A-Award,--D,3977,3977,1,0001189770,Restricted Stock Units
A,06/15/2023 00:00:00,Hammer Bonnie S,4,A-Award,--D,3977,3977,1,0001438260,Restricted Stock Units
A,06/15/2023 00:00:00,Lourd Bryan,4,A-Award,--D,3977,3977,1,0001325206,Restricted Stock Units
A,06/15/2023 00:00:00,EISNER MICHAEL D,4,A-Award,--D,3977,3977,1,0001205854,Restricted Stock Units
A,06/15/2023 00:00:00,ROSENBLATT DAVID S,4,A-Award,--D,3977,3977,1,0001237860,Restricted Stock Units
A,06/15/2023 00:00:00,SPOON ALAN G,4,A-Award,--D,3977,3977,1,0001018394,Restricted Stock Units
A,06/15/2023 00:00:00,Von Furstenberg Alexander,4,A-Award,--D,3977,3977,1,0001451171,Restricted Stock Units
D,05/14/2023 00:00:00,ZANNINO RICHARD F,4,M-Exempt,--D,549,549,2,0001189770,Restricted Stock Units
