MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/07/2023 00:00:00,Curran Mary A,4,A-Award,--D,2247,2247,2,0001709408,Restricted Stock Units 2023
A,06/07/2023 00:00:00,Shoemaker Scott,4,A-Award,--D,2247,2247,2,0001689305,Restricted Stock Units 2023
A,06/07/2023 00:00:00,Stecher David,4,A-Award,--D,2247,10029,1,0001689405,Common Stock
A,06/07/2023 00:00:00,Kreitzer Gary A,4,A-Award,--D,2808,42188,1,0001298785,Common Stock
A,04/12/2023 00:00:00,Curran Mary A,5,L-Small,--I,22.416,2429.356,2,0001709408,Common Stock
A,03/29/2023 00:00:00,Smith David Jon,4,A-Award,--D,13080,13080,1,0001764631,Restricted Stock Units 2023
A,01/18/2023 00:00:00,Gold Alan D,4,A-Award,--D,31566,31566,3,0001298786,Restricted Stock Units 2023
A,01/18/2023 00:00:00,HASTINGS CATHERINE,4,A-Award,--D,9021,9021,2,0001693165,Restricted Stock Units 2023
A,01/18/2023 00:00:00,Smithers Paul E.,4,A-Award,--D,22548,59146,1,0001689308,Common Stock
A,01/18/2023 00:00:00,Wolfe Brian J.,4,A-Award,--D,8118,8118,2,0001689397,Restricted Stock Units 2023
A,01/18/2023 00:00:00,Bui Andy,4,A-Award,--D,1806,5091,1,0001836866,Common Stock
A,01/12/2023 00:00:00,Curran Mary A,5,L-Small,--I,16.339,2406.94,1,0001709408,Common Stock
D,01/01/2023 00:00:00,Smithers Paul E.,4,F-InKind,--D,1428,36598,1,0001689308,Common Stock
D,01/01/2023 00:00:00,Wolfe Brian J.,4,F-InKind,--D,1636,9813,1,0001689397,Common Stock
D,01/01/2023 00:00:00,Bui Andy,4,F-InKind,--D,631,3285,1,0001836866,Common Stock
A,08/12/2022 00:00:00,Gold Alan D,4,P-Purchase,--D,1000,213308,1,0001298786,Common Stock
A,08/10/2022 00:00:00,Gold Alan D,4,P-Purchase,--D,1000,212308,1,0001298786,Common Stock
A,05/18/2022 00:00:00,Curran Mary A,4,A-Award,--D,1249,1249,2,0001709408,Restricted Stock Units 2022
A,05/18/2022 00:00:00,Shoemaker Scott,4,A-Award,--D,1249,1249,2,0001689305,Restricted Stock Units 2022
A,05/18/2022 00:00:00,Stecher David,4,A-Award,--D,1249,7782,1,0001689405,Common Stock
A,05/18/2022 00:00:00,Kreitzer Gary A,4,A-Award,--D,1562,39380,1,0001298785,Common Stock
D,03/15/2022 00:00:00,Kreitzer Gary A,4,S-Sale,--D,2196,28000,1,0001298785,Series A Preferred Stock
D,03/14/2022 00:00:00,Kreitzer Gary A,4,S-Sale,--D,1104,30196,3,0001298785,Series A Preferred Stock
D,03/11/2022 00:00:00,Kreitzer Gary A,4,S-Sale,--D,500,31300,2,0001298785,Series A Preferred Stock
D,03/10/2022 00:00:00,Kreitzer Gary A,4,S-Sale,--D,2200,31800,1,0001298785,Series A Preferred Stock
A,01/11/2022 00:00:00,Gold Alan D,4,A-Award,--D,46188,46188,4,0001298786,Performance Share Units 2022
A,01/11/2022 00:00:00,Gold Alan D,4,A-Award,--D,16218,16218,3,0001298786,Restricted Stock Units 2022
A,01/11/2022 00:00:00,Smithers Paul E.,4,A-Award,--D,30792,30792,2,0001689308,Performance Share Units 2022
A,01/11/2022 00:00:00,Smithers Paul E.,4,A-Award,--D,11583,38026,1,0001689308,Common Stock
A,01/11/2022 00:00:00,HASTINGS CATHERINE,4,A-Award,--D,4635,4635,3,0001693165,Restricted Stock Units 2022
A,01/11/2022 00:00:00,HASTINGS CATHERINE,4,A-Award,--D,12317,12317,2,0001693165,Performance Share Units 2022
A,01/11/2022 00:00:00,Wolfe Brian J.,4,A-Award,--D,10264,10264,2,0001689397,Performance Share Units 2022
A,01/11/2022 00:00:00,Wolfe Brian J.,4,A-Award,--D,4170,11449,1,0001689397,Common Stock
A,01/11/2022 00:00:00,Bui Andy,4,A-Award,--D,927,3916,1,0001836866,Common Stock
D,01/01/2022 00:00:00,Gold Alan D,4,F-InKind,--D,1976,211308,2,0001298786,Common Stock
D,01/01/2022 00:00:00,Smithers Paul E.,4,F-InKind,--D,1343,26443,1,0001689308,Common Stock
D,01/01/2022 00:00:00,HASTINGS CATHERINE,4,F-InKind,--D,906,10599,1,0001693165,Common Stock
D,01/01/2022 00:00:00,Wolfe Brian J.,4,F-InKind,--D,2236,7279,1,0001689397,Common Stock
D,01/01/2022 00:00:00,Bui Andy,4,F-InKind,--D,790,2989,1,0001836866,Common Stock
D,12/28/2021 00:00:00,Gold Alan D,4,G-Gift,--D,30577,0,1,0001298786,Series A Preferred Stock
D,11/17/2021 00:00:00,Gold Alan D,4,S-Sale,--D,2987,30577,3,0001298786,Series A Preferred Stock
D,11/16/2021 00:00:00,Gold Alan D,4,S-Sale,--D,92,33564,2,0001298786,Series A Preferred Stock
D,11/15/2021 00:00:00,Gold Alan D,4,S-Sale,--D,694,33656,1,0001298786,Series A Preferred Stock
D,11/12/2021 00:00:00,Gold Alan D,4,S-Sale,--D,804,34350,3,0001298786,Series A Preferred Stock
D,11/11/2021 00:00:00,Gold Alan D,4,S-Sale,--D,750,35154,2,0001298786,Series A Preferred Stock
D,11/10/2021 00:00:00,Gold Alan D,4,S-Sale,--D,673,35904,1,0001298786,Series A Preferred Stock
A,10/13/2021 00:00:00,Curran Mary A,5,L-Small,--D,14.916,2390.341,4,0001709408,Common Stock
D,09/15/2021 00:00:00,Shoemaker Scott,4,S-Sale,--D,360,1700,1,0001689305,Common Stock
D,09/15/2021 00:00:00,Kreitzer Gary A,4,S-Sale,--D,1322,34000,3,0001298785,Series A Preferred Stock
D,09/14/2021 00:00:00,Kreitzer Gary A,4,S-Sale,--D,1903,35322,2,0001298785,Series A Preferred Stock
D,09/13/2021 00:00:00,Kreitzer Gary A,4,S-Sale,--D,2775,37225,1,0001298785,Series A Preferred Stock
D,09/01/2021 00:00:00,Smithers Paul E.,4,S-Sale,--D,3954,27786,1,0001689308,Common Stock
D,08/10/2021 00:00:00,HASTINGS CATHERINE,4,S-Sale,--D,1500,11505,1,0001693165,Common Stock
D,08/09/2021 00:00:00,Bui Andy,4,S-Sale,--D,1895,3779,1,0001836866,Common Stock
A,07/13/2021 00:00:00,Curran Mary A,5,L-Small,--D,15.829,2375.425,3,0001709408,Common Stock
D,06/16/2021 00:00:00,Gold Alan D,4,S-Sale,--D,1108,36577,2,0001298786,Series A Preferred Stock
D,06/15/2021 00:00:00,Gold Alan D,4,S-Sale,--D,1161,37685,1,0001298786,Series A Preferred Stock
D,06/11/2021 00:00:00,Gold Alan D,4,S-Sale,--D,610,38846,2,0001298786,Series A Preferred Stock
D,06/10/2021 00:00:00,Shoemaker Scott,4,S-Sale,--D,500,2060,1,0001689305,Common Stock
D,06/10/2021 00:00:00,Shoemaker Scott,4,S-Sale,--D,500,2560,1,0001689305,Common Stock
D,06/10/2021 00:00:00,Gold Alan D,4,S-Sale,--D,100,39456,1,0001298786,Series A Preferred Stock
D,06/09/2021 00:00:00,Gold Alan D,4,S-Sale,--D,2455,39556,2,0001298786,Series A Preferred Stock
D,06/08/2021 00:00:00,Gold Alan D,4,S-Sale,--D,566,42011,1,0001298786,Series A Preferred Stock
A,06/04/2021 00:00:00,Curran Mary A,4,A-Award,--D,883,883,2,0001709408,Restricted stock units 2021
A,06/04/2021 00:00:00,Shoemaker Scott,4,A-Award,--D,883,883,2,0001689305,Restricted Stock Units 2021
A,06/04/2021 00:00:00,Stecher David,4,A-Award,--D,883,6533,1,0001689405,Common Stock
A,06/04/2021 00:00:00,Kreitzer Gary A,4,A-Award,--D,1104,37818,1,0001298785,Common Stock
