MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/20/2023 00:00:00,BERTHELSEN SPENCER R,4,M-Exempt,--D,11250,0,3,0001181548,Non-Qualified Stock Option (right to buy)
A,06/20/2023 00:00:00,BERTHELSEN SPENCER R,4,M-Exempt,--D,11250,140147,1,0001181548,Common Stock
D,06/12/2023 00:00:00,HERMAN JOAN E,4,M-Exempt,--D,3555,7110,2,0001248398,Restricted Stock Unit
A,06/12/2023 00:00:00,HERMAN JOAN E,4,M-Exempt,--D,3555,30220,1,0001248398,Common Stock
D,05/24/2023 00:00:00,O'NEIL PATRICK R.,4,S-Sale,--D,1527,40355,1,0001564926,Common Stock
D,05/22/2023 00:00:00,Monia Brett P,4,S-Sale,--D,2630,140374,2,0001537529,Common Stock
D,05/22/2023 00:00:00,Monia Brett P,4,S-Sale,--D,2301,143004,1,0001537529,Common Stock
D,04/18/2023 00:00:00,Birchler Brian,4,S-Sale,--D,672,36528,2,0001970151,Common Stock
D,04/18/2023 00:00:00,Cadoret-Manier Onaiza,4,S-Sale,--D,2582,24312,2,0001799355,Common Stock
D,04/18/2023 00:00:00,Baroldi Joseph,4,S-Sale,--D,3880,10571,2,0001813775,Common Stock
D,04/17/2023 00:00:00,Birchler Brian,4,M-Exempt,--D,1875,27720,3,0001970151,Restricted Stock Unit
A,04/17/2023 00:00:00,Birchler Brian,4,M-Exempt,--D,1875,37200,1,0001970151,Common Stock
D,04/17/2023 00:00:00,Cadoret-Manier Onaiza,4,M-Exempt,--D,5667,49659,3,0001799355,Restricted Stock Unit
A,04/17/2023 00:00:00,Cadoret-Manier Onaiza,4,M-Exempt,--D,5667,26894,1,0001799355,Common Stock
D,04/17/2023 00:00:00,Baroldi Joseph,4,M-Exempt,--D,10838,47261,4,0001813775,Restricted Stock Unit
A,04/17/2023 00:00:00,Baroldi Joseph,4,M-Exempt,--D,10838,14451,1,0001813775,Common Stock
A,02/28/2023 00:00:00,Swayze Eric,4,J-Other,--D,575,32516,1,0001791058,Common Stock
A,02/28/2023 00:00:00,O'NEIL PATRICK R.,4,J-Other,--D,301,41882,1,0001564926,Common Stock
A,02/28/2023 00:00:00,HOUGEN ELIZABETH L,4,J-Other,--D,163,75659,1,0001074773,Common Stock
A,02/28/2023 00:00:00,Geary Richard S,4,J-Other,--D,575,72960,1,0001442730,Common Stock
A,02/28/2023 00:00:00,BENNETT C FRANK,4,J-Other,--D,383,70034,1,0001073387,Common Stock
D,02/06/2023 00:00:00,Swayze Eric,4,S-Sale,--D,1815,31941,2,0001791058,Common Stock
D,02/06/2023 00:00:00,Schneider Eugene,4,S-Sale,--D,1413,24946,2,0001838539,Common Stock
D,02/06/2023 00:00:00,O'NEIL PATRICK R.,4,S-Sale,--D,1920,41581,2,0001564926,Common Stock
D,02/06/2023 00:00:00,Monia Brett P,4,S-Sale,--D,24651,145305,4,0001537529,Common Stock
D,02/06/2023 00:00:00,HOUGEN ELIZABETH L,4,S-Sale,--D,2079,75496,2,0001074773,Common Stock
D,02/06/2023 00:00:00,Geary Richard S,4,S-Sale,--D,1920,72385,2,0001442730,Common Stock
D,02/06/2023 00:00:00,Cadoret-Manier Onaiza,4,S-Sale,--D,1451,21227,2,0001799355,Common Stock
D,02/06/2023 00:00:00,BENNETT C FRANK,4,S-Sale,--D,1813,69651,2,0001073387,Common Stock
A,02/03/2023 00:00:00,Swayze Eric,4,A-Award,--D,3715,33756,1,0001791058,Common Stock
A,02/03/2023 00:00:00,Schneider Eugene,4,A-Award,--D,4033,26359,1,0001838539,Common Stock
A,02/03/2023 00:00:00,O'NEIL PATRICK R.,4,A-Award,--D,3822,43501,1,0001564926,Common Stock
A,02/03/2023 00:00:00,Monia Brett P,4,A-Award,--D,25372,169956,3,0001537529,Common Stock
A,02/03/2023 00:00:00,Monia Brett P,4,A-Award,--D,17210,144584,2,0001537529,Common Stock
A,02/03/2023 00:00:00,Monia Brett P,4,A-Award,--D,6511,127374,1,0001537529,Common Stock
A,02/03/2023 00:00:00,HOUGEN ELIZABETH L,4,A-Award,--D,4140,77575,1,0001074773,Common Stock
A,02/03/2023 00:00:00,Geary Richard S,4,A-Award,--D,3822,74305,1,0001442730,Common Stock
A,02/03/2023 00:00:00,Cadoret-Manier Onaiza,4,A-Award,--D,4140,22678,1,0001799355,Common Stock
A,02/03/2023 00:00:00,BENNETT C FRANK,4,A-Award,--D,3609,71464,1,0001073387,Common Stock
D,01/31/2023 00:00:00,O'NEIL PATRICK R.,4,S-Sale,--D,4500,39679,2,0001564926,Common Stock
D,01/30/2023 00:00:00,O'NEIL PATRICK R.,4,S-Sale,--D,4500,44179,1,0001564926,Common Stock
D,01/18/2023 00:00:00,Swayze Eric,4,S-Sale,--D,5631,30041,2,0001791058,Common Stock
D,01/18/2023 00:00:00,Schneider Eugene,4,S-Sale,--D,4752,22326,2,0001838539,Common Stock
D,01/18/2023 00:00:00,O'NEIL PATRICK R.,4,S-Sale,--D,7836,48679,2,0001564926,Common Stock
D,01/18/2023 00:00:00,Monia Brett P,4,S-Sale,--D,25066,120863,2,0001537529,Common Stock
D,01/18/2023 00:00:00,HOUGEN ELIZABETH L,4,S-Sale,--D,8280,73435,2,0001074773,Common Stock
D,01/18/2023 00:00:00,Geary Richard S,4,S-Sale,--D,7873,70483,2,0001442730,Common Stock
D,01/18/2023 00:00:00,Cadoret-Manier Onaiza,4,S-Sale,--D,3748,18538,2,0001799355,Common Stock
D,01/18/2023 00:00:00,BENNETT C FRANK,4,S-Sale,--D,6978,67855,2,0001073387,Common Stock
D,01/18/2023 00:00:00,Baroldi Joseph,4,S-Sale,--I,375,851,2,0001813775,Common Stock
D,01/17/2023 00:00:00,Swayze Eric,4,M-Exempt,--D,15780,43397,3,0001791058,Restricted Stock Unit
A,01/17/2023 00:00:00,Swayze Eric,4,M-Exempt,--D,15780,35672,1,0001791058,Common Stock
D,01/17/2023 00:00:00,Schneider Eugene,4,M-Exempt,--D,13046,40070,3,0001838539,Restricted Stock Unit
A,01/17/2023 00:00:00,Schneider Eugene,4,M-Exempt,--D,13046,27078,1,0001838539,Common Stock
D,01/17/2023 00:00:00,O'NEIL PATRICK R.,4,M-Exempt,--D,21871,47655,3,0001564926,Restricted Stock Unit
A,01/17/2023 00:00:00,O'NEIL PATRICK R.,4,M-Exempt,--D,21871,56515,1,0001564926,Common Stock
D,01/17/2023 00:00:00,Monia Brett P,4,M-Exempt,--D,57267,176861,3,0001537529,Restricted Stock Unit
A,01/17/2023 00:00:00,Monia Brett P,4,M-Exempt,--D,57267,145929,1,0001537529,Common Stock
D,01/17/2023 00:00:00,HOUGEN ELIZABETH L,4,M-Exempt,--D,23154,52143,3,0001074773,Restricted Stock Unit
