MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/16/2023 00:00:00,Reynal Vicente,4,S-Sale,--D,27169,73877,1,0001705738,Common Stock
D,06/08/2023 00:00:00,Keene Kathleen M.,4,M-Exempt,--D,2665,0,5,0001869916,Stock Options (Right to Buy)
D,06/08/2023 00:00:00,Keene Kathleen M.,4,M-Exempt,--D,726,2599,4,0001869916,Stock Options (Right to Buy)
D,06/08/2023 00:00:00,Keene Kathleen M.,4,S-Sale,--D,4003,1879,3,0001869916,Common Stock
A,06/08/2023 00:00:00,Keene Kathleen M.,4,M-Exempt,--D,2665,5882,2,0001869916,Common Stock
A,06/08/2023 00:00:00,Keene Kathleen M.,4,M-Exempt,--D,726,3217,1,0001869916,Common Stock
D,06/06/2023 00:00:00,Gillespie Gary E,4,M-Exempt,--D,27488,0,6,0001805045,Stock Options (Right to Buy)
D,06/06/2023 00:00:00,Gillespie Gary E,4,S-Sale,--D,27488,42234.129,4,0001805045,Common Stock
A,06/06/2023 00:00:00,Gillespie Gary E,4,M-Exempt,--D,27488,69722.129,3,0001805045,Common Stock
D,06/05/2023 00:00:00,Gillespie Gary E,4,M-Exempt,--D,27487,27488,5,0001805045,Stock Options (Right to Buy)
D,06/05/2023 00:00:00,Gillespie Gary E,4,S-Sale,--D,27487,42234.129,2,0001805045,Common Stock
A,06/05/2023 00:00:00,Gillespie Gary E,4,M-Exempt,--D,27487,69721.129,1,0001805045,Common Stock
D,03/25/2023 00:00:00,Keene Kathleen M.,4,M-Exempt,--D,322,322,3,0001869916,Restricted Stock Units
D,03/25/2023 00:00:00,Keene Kathleen M.,4,F-InKind,--D,111,2491,2,0001869916,Common Stock
A,03/25/2023 00:00:00,Keene Kathleen M.,4,M-Exempt,--D,322,2602,1,0001869916,Common Stock
D,03/06/2023 00:00:00,Minarro Viseras Enrique,4,M-Exempt,--D,2249,2249,3,0001705737,Restricted Stock Units
D,03/06/2023 00:00:00,Minarro Viseras Enrique,4,F-InKind,--D,1058,31771,2,0001705737,Common Stock
A,03/06/2023 00:00:00,Minarro Viseras Enrique,4,M-Exempt,--D,2249,32829,1,0001705737,Common Stock
D,03/06/2023 00:00:00,Weatherred Michael A,4,M-Exempt,--D,1574,1575,3,0001767790,Restricted Stock Units
D,03/06/2023 00:00:00,Weatherred Michael A,4,F-InKind,--D,698,32820.852,2,0001767790,Common Stock
A,03/06/2023 00:00:00,Weatherred Michael A,4,M-Exempt,--D,1574,33518.852,1,0001767790,Common Stock
D,03/06/2023 00:00:00,Schiesl Andrew R,4,M-Exempt,--D,2136,2137,3,0001495366,Restricted Stock Units
D,03/06/2023 00:00:00,Schiesl Andrew R,4,F-InKind,--D,942,67795,2,0001495366,Common Stock
A,03/06/2023 00:00:00,Schiesl Andrew R,4,M-Exempt,--D,2136,68737,1,0001495366,Common Stock
D,03/06/2023 00:00:00,Gillespie Gary E,4,M-Exempt,--D,1124,1125,3,0001805045,Restricted Stock Units
D,03/06/2023 00:00:00,Gillespie Gary E,4,F-InKind,--D,498,42234.129,2,0001805045,Common Stock
A,03/06/2023 00:00:00,Gillespie Gary E,4,M-Exempt,--D,1124,42732.129,1,0001805045,Common Stock
D,03/06/2023 00:00:00,Scheske Michael J,4,M-Exempt,--D,1012,1012,3,0001757427,Restricted Stock Units
D,03/06/2023 00:00:00,Scheske Michael J,4,F-InKind,--D,296,9715.179,2,0001757427,Common Stock
A,03/06/2023 00:00:00,Scheske Michael J,4,M-Exempt,--D,1012,10011.179,1,0001757427,Common Stock
D,03/06/2023 00:00:00,Kini Vikram,4,M-Exempt,--D,899,900,3,0001815604,Restricted Stock Units
D,03/06/2023 00:00:00,Kini Vikram,4,F-InKind,--D,406,47182,2,0001815604,Common Stock
A,03/06/2023 00:00:00,Kini Vikram,4,M-Exempt,--D,899,47588,1,0001815604,Common Stock
D,03/06/2023 00:00:00,Reynal Vicente,4,M-Exempt,--D,15068,15069,7,0001705738,Restricted Stock Units
D,03/06/2023 00:00:00,Reynal Vicente,4,S-Sale,--D,25000,102856,3,0001705738,Common Stock
D,03/06/2023 00:00:00,Reynal Vicente,4,F-InKind,--D,6692,127856,2,0001705738,Common Stock
A,03/06/2023 00:00:00,Reynal Vicente,4,M-Exempt,--D,15068,134548,1,0001705738,Common Stock
A,02/23/2023 00:00:00,Weatherred Michael A,4,A-Award,--D,10048,10048,5,0001767790,Stock Options (Right to Buy)
