MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/10/2023 00:00:00,Soaries DeForest B. Jr.,4,A-Award,--D,5510,51993,1,0001583929,Common Stock
A,05/10/2023 00:00:00,Washington Lisa,4,A-Award,--D,5510,13653,1,0001363480,Common Stock
A,05/10/2023 00:00:00,del Rio Ana Marie,4,A-Award,--D,5510,59801,1,0001548192,Common Stock
A,05/10/2023 00:00:00,Gebert Richard D,4,A-Award,--D,5510,33578,1,0001720107,Common Stock
A,05/10/2023 00:00:00,Brines Ned,4,A-Award,--D,5510,41265,1,0001559822,Common Stock
A,05/10/2023 00:00:00,Bowie Stephen R.,4,A-Award,--D,5510,12032,1,0001702095,Common Stock
A,05/10/2023 00:00:00,MCCLURE MELINDA H,4,A-Award,--D,5510,33578,1,0001706917,Common Stock
A,05/10/2023 00:00:00,Purcell Thomas H.,4,A-Award,--D,5510,33148,1,0001639583,Common Stock
D,03/15/2023 00:00:00,Ender Farrell M.,4,F-InKind,--D,2074,316067,1,0001615805,Common Stock
D,03/15/2023 00:00:00,Sebra James J,4,F-InKind,--D,2243,290093,1,0001401067,Common Stock
D,03/15/2023 00:00:00,SCHAEFFER SCOTT,4,F-InKind,--D,4809,665507,1,0001168758,Common Stock
D,03/02/2023 00:00:00,Norman Jessica K,4,F-InKind,--D,461,42160,2,0001776899,Common Stock
D,03/02/2023 00:00:00,Delozier Jason R,4,F-InKind,--D,316,30837,2,0001731999,Common Stock
D,03/02/2023 00:00:00,Sebra James J,4,F-InKind,--D,1517,292336,2,0001401067,Common Stock
D,03/02/2023 00:00:00,SCHAEFFER SCOTT,4,F-InKind,--D,3253,670316,2,0001168758,Common Stock
D,03/02/2023 00:00:00,Ender Farrell M.,4,F-InKind,--D,1403,318141,2,0001615805,Common Stock
D,03/01/2023 00:00:00,Norman Jessica K,4,F-InKind,--D,1320,42621,1,0001776899,Common Stock
D,03/01/2023 00:00:00,Delozier Jason R,4,F-InKind,--D,668,31153,1,0001731999,Common Stock
D,03/01/2023 00:00:00,Sebra James J,4,F-InKind,--D,3129,293853,1,0001401067,Common Stock
