MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/06/2023 00:00:00,Blackford Quentin S.,4,A-Award,-ED,9755,128510,1,0001612451,Common Stock
D,06/02/2023 00:00:00,Shrishrimal Sumi,4,S-Sale,--D,1109,18707,1,0001850687,Common Stock
A,06/01/2023 00:00:00,YOOR BRIAN B,4,A-Award,-ED,2399,2399,1,0001643528,Common Stock
A,06/01/2023 00:00:00,Poul Mojdeh,4,A-Award,-ED,2399,2399,1,0001743760,Common Stock
D,05/31/2023 00:00:00,Bairey Merz Cathleen Noel,4,D-Return,--D,509,5542,1,0001738783,Common Stock
A,05/24/2023 00:00:00,TALWALKAR ABHIJIT Y,4,A-Award,--D,1164,10204,1,0001316065,Common Stock
A,05/24/2023 00:00:00,RUBASH MARK J,4,A-Award,--D,1164,10357,1,0001209186,Common Stock
A,05/24/2023 00:00:00,SNYDERMAN RALPH,4,A-Award,--D,1164,9857,1,0001178031,Common Stock
A,05/24/2023 00:00:00,Bodaken Bruce G.,4,A-Award,--D,1164,9207,1,0001527009,Common Stock
A,05/24/2023 00:00:00,Bairey Merz Cathleen Noel,4,A-Award,--D,1164,6051,1,0001738783,Common Stock
A,05/24/2023 00:00:00,Ling Karen,4,A-Award,--D,1164,6137,1,0001597450,Common Stock
D,03/29/2023 00:00:00,Wilson Daniel G.,4,S-Sale,--D,4000,35337,1,0001860745,Common Stock
D,03/03/2023 00:00:00,Murphy Patrick Michael,4,S-Sale,--D,571,32437,1,0001692785,Common Stock
D,03/03/2023 00:00:00,Day Mark J.,4,S-Sale,--D,2116,54815,1,0001769845,Common Stock
D,03/03/2023 00:00:00,Wilson Daniel G.,4,S-Sale,--D,1422,39337,1,0001860745,Common Stock
D,03/03/2023 00:00:00,Devine Douglas,4,S-Sale,--D,1473,29566,1,0001814734,Common Stock
D,02/28/2023 00:00:00,Wilson Daniel G.,4,S-Sale,--D,13,40759,4,0001860745,Common Stock
D,02/28/2023 00:00:00,Wilson Daniel G.,4,S-Sale,--D,1713,40772,3,0001860745,Common Stock
D,02/28/2023 00:00:00,Devine Douglas,4,S-Sale,--D,27,31039,3,0001814734,Common Stock
D,02/28/2023 00:00:00,Devine Douglas,4,S-Sale,--D,3491,31066,2,0001814734,Common Stock
D,02/28/2023 00:00:00,Day Mark J.,4,S-Sale,--D,15,56931,4,0001769845,Common Stock
D,02/28/2023 00:00:00,Day Mark J.,4,S-Sale,--D,1898,56946,3,0001769845,Common Stock
A,02/27/2023 00:00:00,Wilson Daniel G.,4,A-Award,--D,3122,42485,2,0001860745,Common Stock
A,02/27/2023 00:00:00,Wilson Daniel G.,4,A-Award,--D,5801,39363,1,0001860745,Common Stock
A,02/27/2023 00:00:00,Devine Douglas,4,A-Award,--D,6855,34557,1,0001814734,Common Stock
A,02/27/2023 00:00:00,Patterson Chad,4,A-Award,--D,10674,31724,1,0001850152,Common Stock
A,02/27/2023 00:00:00,Turakhia Minang,4,A-Award,--D,9282,20707,1,0001932682,Common Stock
A,02/27/2023 00:00:00,Murphy Patrick Michael,4,A-Award,--D,9282,33008,1,0001692785,Common Stock
A,02/27/2023 00:00:00,Blackford Quentin S.,4,A-Award,--D,28775,118524,1,0001612451,Common Stock
A,02/27/2023 00:00:00,Day Mark J.,4,A-Award,--D,3468,58844,2,0001769845,Common Stock
A,02/27/2023 00:00:00,Day Mark J.,4,A-Award,--D,8354,55376,1,0001769845,Common Stock
A,02/27/2023 00:00:00,Shrishrimal Sumi,4,A-Award,--D,6961,19687,1,0001850687,Common Stock
A,02/27/2023 00:00:00,Fernandez Reyna M,4,A-Award,--D,6961,14615,1,0001834256,Common Stock
A,02/27/2023 00:00:00,Bobzien Brice,4,A-Award,--D,9282,19964,1,0001939840,Common Stock
D,12/02/2022 00:00:00,Murphy Patrick Michael,4,S-Sale,--D,1704,23726,1,0001692785,Common Stock
D,12/01/2022 00:00:00,Wilson Daniel G.,4,S-Sale,--D,1000,33562,1,0001860745,Common Stock
D,11/02/2022 00:00:00,Blackford Quentin S.,4,S-Sale,--D,12415,89280,2,0001612451,Common Stock
D,11/02/2022 00:00:00,Blackford Quentin S.,4,S-Sale,--D,284,101695,1,0001612451,Common Stock
D,09/29/2022 00:00:00,Devine Douglas,4,S-Sale,--D,2000,27702,1,0001814734,Common Stock
D,09/26/2022 00:00:00,Wilson Daniel G.,4,S-Sale,--D,500,34562,4,0001860745,Common Stock
D,09/26/2022 00:00:00,Wilson Daniel G.,4,S-Sale,--D,435,35062,3,0001860745,Common Stock
D,09/26/2022 00:00:00,Wilson Daniel G.,4,S-Sale,--D,1169,35497,2,0001860745,Common Stock
D,09/26/2022 00:00:00,Wilson Daniel G.,4,S-Sale,--D,896,36666,1,0001860745,Common Stock
D,09/12/2022 00:00:00,Bairey Merz Cathleen Noel,4,S-Sale,--D,90,4887,1,0001738783,Common Stock
A,08/08/2022 00:00:00,Bobzien Brice,4,A-Award,--D,10129,10682,1,0001939840,Common Stock
A,07/25/2022 00:00:00,Fernandez Reyna M,4/A,A-Award,--D,7654,7654,1,0001834256,Common Stock
A,07/25/2022 00:00:00,Patterson Chad,4/A,A-Award,--D,21050,21050,1,0001850152,Common Stock
A,07/25/2022 00:00:00,Patterson Chad,4,A-Award,--D,20789,20789,1,0001850152,Common Stock
A,07/25/2022 00:00:00,Fernandez Reyna M,4,A-Award,--D,7559,7559,1,0001834256,Common Stock
D,07/07/2022 00:00:00,Devine Douglas,4,S-Sale,--D,10109,29702,1,0001814734,Common Stock
D,07/05/2022 00:00:00,Wilson Daniel G.,4,S-Sale,--D,1393,37562,2,0001860745,Common Stock
D,07/05/2022 00:00:00,Wilson Daniel G.,4,S-Sale,--D,35,38955,1,0001860745,Common Stock
D,07/05/2022 00:00:00,Devine Douglas,4,S-Sale,--D,1208,39811,2,0001814734,Common Stock
D,07/05/2022 00:00:00,Devine Douglas,4,S-Sale,--D,31,41019,1,0001814734,Common Stock
D,06/14/2022 00:00:00,Bairey Merz Cathleen Noel,4,S-Sale,--D,500,4977,1,0001738783,Common Stock
A,06/06/2022 00:00:00,Turakhia Minang,4,A-Award,--D,11125,11125,1,0001932682,Common Stock
A,05/26/2022 00:00:00,BUDIG RENEE VARNI,4,A-Award,--D,1155,5297,1,0001658725,Common Stock
A,05/26/2022 00:00:00,SNYDERMAN RALPH,4,A-Award,--D,1155,8693,1,0001178031,Common Stock
A,05/26/2022 00:00:00,TALWALKAR ABHIJIT Y,4,A-Award,--D,1155,9040,1,0001316065,Common Stock
A,05/26/2022 00:00:00,Bairey Merz Cathleen Noel,4,A-Award,--D,1155,5477,1,0001738783,Common Stock
