MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/14/2023 00:00:00,MOHR MARSHALL,4,M-Exempt,--D,11250,0,4,0001252986,Non-Qualified Stock Option (right to buy)
D,06/14/2023 00:00:00,MOHR MARSHALL,4,S-Sale,--D,11250,24136,2,0001252986,Common Stock
A,06/14/2023 00:00:00,MOHR MARSHALL,4,M-Exempt,--D,11250,35386,1,0001252986,Common Stock
D,06/14/2023 00:00:00,BARRATT CRAIG H,4,M-Exempt,--D,1567,0,4,0001277620,Non-Qualified Stock Option (right to buy)
D,06/14/2023 00:00:00,BARRATT CRAIG H,4,S-Sale,--D,1567,0,2,0001277620,Common Stock
A,06/14/2023 00:00:00,BARRATT CRAIG H,4,M-Exempt,--D,1567,1567,1,0001277620,Common Stock
D,06/14/2023 00:00:00,DeSantis Robert,4,M-Exempt,--D,2443,6580,3,0001808942,Non-Qualified Stock Option (right to buy)
D,06/14/2023 00:00:00,DeSantis Robert,4,S-Sale,--D,2443,7259,2,0001808942,Common Stock
A,06/14/2023 00:00:00,DeSantis Robert,4,M-Exempt,--D,2443,9702,1,0001808942,Common Stock
A,06/12/2023 00:00:00,Rosa David J.,4,A-Award,--D,5433,5433,2,0001519593,Restricted Stock Units
A,06/12/2023 00:00:00,Rosa David J.,4,A-Award,--D,16297,16297,1,0001519593,Non-Qualified Stock Option (right to buy)
D,05/11/2023 00:00:00,DeSantis Robert,4,M-Exempt,--D,363,360,3,0001808942,Restricted Stock Units
D,05/11/2023 00:00:00,DeSantis Robert,4,F-InKind,--D,169,7259,2,0001808942,Common Stock
A,05/11/2023 00:00:00,DeSantis Robert,4,M-Exempt,--D,363,7428,1,0001808942,Common Stock
D,05/02/2023 00:00:00,Curet Myriam,4,G-Gift,--D,138,189,1,0001632901,Common Stock
D,05/01/2023 00:00:00,BARRATT CRAIG H,4,M-Exempt,--D,2000,1567,4,0001277620,Non-Qualified Stock Option (right to buy)
D,05/01/2023 00:00:00,BARRATT CRAIG H,4,S-Sale,--D,2000,0,2,0001277620,Common Stock
A,05/01/2023 00:00:00,BARRATT CRAIG H,4,M-Exempt,--D,2000,2000,1,0001277620,Common Stock
D,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,1671,0,21,0001209186,Non-Qualified Stock Option (right to buy)
D,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,1448,0,20,0001209186,Non-Qualified Stock Option (right to buy)
D,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,707,0,19,0001209186,Non-Qualified Stock Option (right to buy)
D,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,688,0,18,0001209186,Non-Qualified Stock Option (right to buy)
D,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,895,0,17,0001209186,Non-Qualified Stock Option (right to buy)
D,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,1391,0,16,0001209186,Non-Qualified Stock Option (right to buy)
D,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,523,0,15,0001209186,Non-Qualified Stock Option (right to buy)
D,04/28/2023 00:00:00,RUBASH MARK J,4,S-Sale,--D,523,15482,14,0001209186,Common Stock
A,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,523,16005,13,0001209186,Common Stock
D,04/28/2023 00:00:00,RUBASH MARK J,4,S-Sale,--D,1391,15482,12,0001209186,Common Stock
A,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,1391,16873,11,0001209186,Common Stock
D,04/28/2023 00:00:00,RUBASH MARK J,4,S-Sale,--D,895,15482,10,0001209186,Common Stock
A,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,895,16377,9,0001209186,Common Stock
D,04/28/2023 00:00:00,RUBASH MARK J,4,S-Sale,--D,707,15482,8,0001209186,Common Stock
A,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,707,16189,7,0001209186,Common Stock
D,04/28/2023 00:00:00,RUBASH MARK J,4,S-Sale,--D,688,15482,6,0001209186,Common Stock
A,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,688,16170,5,0001209186,Common Stock
D,04/28/2023 00:00:00,RUBASH MARK J,4,S-Sale,--D,1671,15482,4,0001209186,Common Stock
A,04/28/2023 00:00:00,RUBASH MARK J,4,M-Exempt,--D,1671,17153,3,0001209186,Common Stock
