MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/15/2023 00:00:00,Rizzolo Luiz Augusto,4,F-InKind,--D,17,4321,1,0001949651,Common Stock
D,05/15/2023 00:00:00,Petrie Robert James,4,F-InKind,--D,194,5551,1,0001887820,Common Stock
D,05/15/2023 00:00:00,Paschall Kristina L,4,F-InKind,--D,80,4225,1,0001831141,Common Stock
D,05/15/2023 00:00:00,Meister Matthew J,4,F-InKind,--D,130,8754,1,0001826835,Common Stock
D,05/15/2023 00:00:00,Marvin James L,4,F-InKind,--D,399,15283,1,0001606722,Common Stock
D,05/15/2023 00:00:00,Deck Brian A,4,F-InKind,--D,985,86387,1,0001490816,Common Stock
D,05/15/2023 00:00:00,CORCORAN JESSI L,4,F-InKind,--D,32,1945,1,0001750376,Common Stock
D,05/15/2023 00:00:00,BURDAKIN DAVID C,4,F-InKind,--D,541,40584,1,0001194577,Common Stock
A,05/01/2023 00:00:00,Lagarrigue Emmanuel,4,A-Award,--D,838,9904,2,0001774321,Common Stock
A,05/01/2023 00:00:00,Lagarrigue Emmanuel,4,A-Award,--D,1258,9066,1,0001774321,Common Stock
A,05/01/2023 00:00:00,KAWALEK POLLY B,4,A-Award,--D,838,69099,2,0001050698,Common Stock
A,05/01/2023 00:00:00,KAWALEK POLLY B,4,A-Award,--D,1258,68261,1,0001050698,Common Stock
A,05/01/2023 00:00:00,JACKSON LAWRENCE V,4,A-Award,--D,419,6501,2,0001204543,Common Stock
A,05/01/2023 00:00:00,JACKSON LAWRENCE V,4,A-Award,--D,1258,6082,1,0001204543,Common Stock
A,05/01/2023 00:00:00,Harrington Charles L.,4,A-Award,--D,838,4431,2,0001588300,Common Stock
A,05/01/2023 00:00:00,Harrington Charles L.,4,A-Award,--D,1258,3593,1,0001588300,Common Stock
A,05/01/2023 00:00:00,FELDMAN ALAN D,4,A-Award,--D,1258,61573,1,0001214566,Common Stock
A,05/01/2023 00:00:00,DEVINE CAROLINE MAURY,4,A-Award,--D,1258,46206.735,1,0001274816,Common Stock
A,05/01/2023 00:00:00,BRASIER BARBARA L,4,A-Award,--D,1258,5977,1,0001169490,Common Stock
D,04/18/2023 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,44948.735,1,0001274816,Common Stock
D,03/20/2023 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,45248.735,1,0001274816,Common Stock
D,03/10/2023 00:00:00,Rizzolo Luiz Augusto,4,F-InKind,--D,61,4338,4,0001949651,Common Stock
D,03/10/2023 00:00:00,Rizzolo Luiz Augusto,4,F-InKind,--D,15,4399,3,0001949651,Common Stock
D,03/10/2023 00:00:00,Petrie Robert James,4,F-InKind,--D,310,5745,4,0001887820,Common Stock
D,03/10/2023 00:00:00,Petrie Robert James,4,F-InKind,--D,75,6055,3,0001887820,Common Stock
D,03/10/2023 00:00:00,Paschall Kristina L,4,F-InKind,--D,122,4305,4,0001831141,Common Stock
D,03/10/2023 00:00:00,Paschall Kristina L,4,F-InKind,--D,30,4427,3,0001831141,Common Stock
D,03/10/2023 00:00:00,Meister Matthew J,4,F-InKind,--D,223,8884,4,0001826835,Common Stock
D,03/10/2023 00:00:00,Meister Matthew J,4,F-InKind,--D,54,9107,3,0001826835,Common Stock
D,03/10/2023 00:00:00,Marvin James L,4,F-InKind,--D,639,15682,4,0001606722,Common Stock
D,03/10/2023 00:00:00,Marvin James L,4,F-InKind,--D,154,16321,3,0001606722,Common Stock
D,03/10/2023 00:00:00,Deck Brian A,4,F-InKind,--D,1603,87372,4,0001490816,Common Stock
D,03/10/2023 00:00:00,Deck Brian A,4,F-InKind,--D,385,88975,3,0001490816,Common Stock
D,03/10/2023 00:00:00,CORCORAN JESSI L,4,F-InKind,--D,56,1985,5,0001750376,Common Stock
D,03/10/2023 00:00:00,CORCORAN JESSI L,4,F-InKind,--D,14,2041,4,0001750376,Common Stock
D,03/10/2023 00:00:00,BURDAKIN DAVID C,4,F-InKind,--D,810,41125,4,0001194577,Common Stock
D,03/10/2023 00:00:00,BURDAKIN DAVID C,4,F-InKind,--D,195,41935,3,0001194577,Common Stock
A,02/22/2023 00:00:00,Rizzolo Luiz Augusto,4,A-Award,--D,56,4414,2,0001949651,Common Stock
A,02/22/2023 00:00:00,Rizzolo Luiz Augusto,4,A-Award,--D,48,4358,1,0001949651,Common Stock
A,02/22/2023 00:00:00,Petrie Robert James,4,A-Award,--D,340,6130,2,0001887820,Common Stock
A,02/22/2023 00:00:00,Petrie Robert James,4,A-Award,--D,130,5790,1,0001887820,Common Stock
A,02/22/2023 00:00:00,Paschall Kristina L,4,A-Award,--D,185,4457,2,0001831141,Common Stock
A,02/22/2023 00:00:00,Paschall Kristina L,4,A-Award,--D,68,4272,1,0001831141,Common Stock
A,02/22/2023 00:00:00,Meister Matthew J,4,A-Award,--D,292,9161,2,0001826835,Common Stock
A,02/22/2023 00:00:00,Meister Matthew J,4,A-Award,--D,121,8869,1,0001826835,Common Stock
A,02/22/2023 00:00:00,Marvin James L,4,A-Award,--D,903,16475,2,0001606722,Common Stock
A,02/22/2023 00:00:00,Marvin James L,4,A-Award,--D,347,15572,1,0001606722,Common Stock
A,02/22/2023 00:00:00,Deck Brian A,4,A-Award,--D,2222,89360,2,0001490816,Common Stock
A,02/22/2023 00:00:00,Deck Brian A,4,A-Award,--D,868,87138,1,0001490816,Common Stock
A,02/22/2023 00:00:00,CORCORAN JESSI L,4,A-Award,--D,106,2055,3,0001750376,Common Stock
A,02/22/2023 00:00:00,CORCORAN JESSI L,4,A-Award,--D,592,1949,2,0001750376,Common Stock
A,02/22/2023 00:00:00,CORCORAN JESSI L,4,A-Award,--D,39,1357,1,0001750376,Common Stock
A,02/22/2023 00:00:00,BURDAKIN DAVID C,4,A-Award,--D,1222,42130,2,0001194577,Common Stock
A,02/22/2023 00:00:00,BURDAKIN DAVID C,4,A-Award,--D,439,40908,1,0001194577,Common Stock
A,02/22/2023 00:00:00,Deck Brian A,4,A-Award,--D,13116,86270,1,0001490816,Common Stock
A,02/22/2023 00:00:00,Meister Matthew J,4,A-Award,--D,2824,8748,1,0001826835,Common Stock
A,02/22/2023 00:00:00,Petrie Robert James,4,A-Award,--D,2004,5660,1,0001887820,Common Stock
A,02/22/2023 00:00:00,Marvin James L,4,A-Award,--D,1913,15225,1,0001606722,Common Stock
A,02/22/2023 00:00:00,Rizzolo Luiz Augusto,4,A-Award,--D,1822,4310,1,0001949651,Common Stock
A,02/22/2023 00:00:00,BURDAKIN DAVID C,4,A-Award,--D,1731,40469,1,0001194577,Common Stock
A,02/22/2023 00:00:00,Bridarolli Shelley Rae,4,A-Award,--D,1548,4475,1,0001883658,Common Stock
A,02/22/2023 00:00:00,Paschall Kristina L,4,A-Award,--D,1457,4204,1,0001831141,Common Stock
A,02/22/2023 00:00:00,Martin Jack,4,A-Award,--D,1093,2789,1,0001921019,Common Stock
D,02/21/2023 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,45548.735,1,0001274816,Common Stock
D,01/18/2023 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,45848.735,1,0001274816,Common Stock
D,01/04/2023 00:00:00,Petrie Robert James,4,F-InKind,--D,510,3656,1,0001887820,Common Stock
D,12/19/2022 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,46148.735,1,0001274816,Common Stock
D,11/18/2022 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,46448.735,1,0001274816,Common Stock
D,11/07/2022 00:00:00,KAWALEK POLLY B,4,S-Sale,--D,2725,67003,1,0001050698,Common Stock
A,10/28/2022 00:00:00,Deck Brian A,4,P-Purchase,--D,1500,73154,1,0001490816,Common Stock
D,10/18/2022 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,46748.735,1,0001274816,Common Stock
A,10/03/2022 00:00:00,Rizzolo Luiz Augusto,4,A-Award,--D,1114,2488,1,0001949651,Common Stock
D,09/19/2022 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,47048.735,1,0001274816,Common Stock
D,08/18/2022 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,47348.735,1,0001274816,Common Stock
D,07/18/2022 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,47648.735,1,0001274816,Common Stock
D,06/21/2022 00:00:00,DEVINE CAROLINE MAURY,4,S-Sale,--D,300,47948.735,1,0001274816,Common Stock
