MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,04/11/2023 00:00:00,Pollner Michael A,4,F-InKind,--D,43,779,1,0001388038,"Common Stock, no par value"
D,02/27/2023 00:00:00,Roshkoff Marjorie Shreiber,4,M-Exempt,--D,709,0,5,0001820375,Stock Options to Purchase
D,02/27/2023 00:00:00,Roshkoff Marjorie Shreiber,4,S-Sale,--D,709,71334,3,0001820375,Common Stock
A,02/27/2023 00:00:00,Roshkoff Marjorie Shreiber,4,M-Exempt,--D,709,72043,1,0001820375,Common Stock
A,02/14/2023 00:00:00,Meder Mary,4,A-Award,--D,1102,1102,1,0001943299,"Common stock, no par value"
A,02/14/2023 00:00:00,Jackson Roy Christopher,4,A-Award,--D,441,441,1,0001930705,"Common stock, no par value"
D,11/29/2022 00:00:00,BROWN SIDNEY R,4,G-Gift,--D,10869,2815,1,0001228876,"Common stock, no par value"
D,11/23/2022 00:00:00,FACHNER DAN,4,G-Gift,--D,600,26857,1,0001220246,"Common stock, no par value"
A,11/16/2022 00:00:00,Cranmer Robert,4,A-Award,--D,495,1315,1,0001952646,"Common stock, no par value"
A,11/16/2022 00:00:00,Every Stephen,4,A-Award,--D,495,4050,1,0001888416,"Common stock, no par value"
A,11/16/2022 00:00:00,FACHNER DAN,4,A-Award,--D,4949,27457,1,0001220246,"Common stock, no par value"
A,11/16/2022 00:00:00,Kehoe Mary Lou,4,A-Award,--D,330,356,1,0001952768,"Common stock, no par value"
A,11/16/2022 00:00:00,MALLARD Lynwood,4,A-Award,--D,495,1130,1,0001851376,"Common stock, no par value"
A,11/16/2022 00:00:00,Plunk Ken Allen,4,A-Award,--D,1320,4026,1,0001826410,"Common stock, no par value"
A,11/16/2022 00:00:00,Pollner Michael A,4,A-Award,--D,495,822,1,0001388038,"Common Stock, no par value"
D,11/10/2022 00:00:00,MALLARD Lynwood,4,F-InKind,--D,49,635,1,0001851376,"Common stock, no par value"
D,11/10/2022 00:00:00,Cranmer Robert,4,F-InKind,--D,54,820,1,0001952646,"Common stock, no par value"
D,11/10/2022 00:00:00,Every Stephen,4,F-InKind,--D,40,3555,1,0001888416,"Common stock, no par value"
D,11/10/2022 00:00:00,FACHNER DAN,4,F-InKind,--D,393,22508,1,0001220246,"Common stock, no par value"
D,11/10/2022 00:00:00,Plunk Ken Allen,4,F-InKind,--D,105,2706,1,0001826410,"Common stock, no par value"
D,10/20/2022 00:00:00,Plunk Ken Allen,4,F-InKind,--D,129,2611,1,0001826410,Common Stock
A,08/26/2022 00:00:00,2021 Irrevocable Trust for Gerald B. Shreiber,4,G-Gift,--D,12535,3498541,1,0001880671,"Common stock, no par value"
D,08/26/2022 00:00:00,SHREIBER GERALD B,4,G-Gift,--I,12535,3811388,1,0000897492,"Common stock, no par value"
A,08/26/2022 00:00:00,Roshkoff Marjorie Shreiber,4,G-Gift,--I,12535,3738947,1,0001820375,"Common stock, no par value"
D,08/25/2022 00:00:00,FACHNER DAN,4,M-Exempt,--D,0,0,5,0001220246,Option to purchase
D,08/25/2022 00:00:00,FACHNER DAN,4,S-Sale,--D,8000,22896,3,0001220246,"Common stock, no par value"
A,08/25/2022 00:00:00,FACHNER DAN,4,M-Exempt,--D,8000,30896,1,0001220246,"Common stock, no par value"
D,08/23/2022 00:00:00,SHREIBER GERALD B,4,M-Exempt,--D,20000,0,5,0000897492,Option to Purchase
D,08/23/2022 00:00:00,SHREIBER GERALD B,4,F-InKind,--D,7465,12535,3,0000897492,"Common stock, no par value"
A,08/23/2022 00:00:00,SHREIBER GERALD B,4,M-Exempt,--D,20000,20000,1,0000897492,"Common stock, no par value"
D,08/17/2022 00:00:00,Every Stephen,4,M-Exempt,--D,1500,0,3,0001888416,Option to Purchase
D,08/17/2022 00:00:00,Every Stephen,4,S-Sale,--D,1373,3595,2,0001888416,"Common stock, no par value"
A,08/17/2022 00:00:00,Every Stephen,4,M-Exempt,--D,1500,4968,1,0001888416,"Common stock, no par value"
D,08/09/2022 00:00:00,Roshkoff Marjorie Shreiber,4,S-Sale,--D,1258,71334,5,0001820375,"Common Stock, no par value"
D,08/09/2022 00:00:00,Roshkoff Marjorie Shreiber,4,S-Sale,--D,969,72592,3,0001820375,"Common Stock, no par value"
D,08/09/2022 00:00:00,Roshkoff Marjorie Shreiber,4,S-Sale,--D,1773,73561,1,0001820375,"Common Stock, no par value"
