MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/26/2023 00:00:00,Brady Amy G.,4,S-Sale,--D,12627,94106,2,0001562311,Common Shares
D,05/25/2023 00:00:00,Brady Amy G.,4,S-Sale,--D,12388,106733,1,0001562311,Common Shares
D,05/19/2023 00:00:00,Hipple Richard J,4,M-Exempt,--D,13876,35207,3,0001311365,Deferred Shares
D,05/19/2023 00:00:00,Hipple Richard J,4,D-Return,--D,6938,75312,2,0001311365,Common Shares
A,05/19/2023 00:00:00,Hipple Richard J,4,M-Exempt,--D,13876,82250,1,0001311365,Common Shares
D,05/19/2023 00:00:00,Highsmith Carlton L,4,M-Exempt,--D,13876,29223,3,0001379848,Deferred Shares
D,05/19/2023 00:00:00,Highsmith Carlton L,4,D-Return,--D,6938,71077,2,0001379848,Common Shares
A,05/19/2023 00:00:00,Highsmith Carlton L,4,M-Exempt,--D,13876,78015,1,0001379848,Common Shares
D,05/19/2023 00:00:00,Dallas H James,4,M-Exempt,--D,13876,29223,3,0001324953,Deferred Shares
D,05/19/2023 00:00:00,Dallas H James,4,D-Return,--D,6938,122110,2,0001324953,Common Shares
A,05/19/2023 00:00:00,Dallas H James,4,M-Exempt,--D,13876,129048,1,0001324953,Common Shares
A,05/11/2023 00:00:00,Wilson David K,4,A-Award,--D,15401,58433,2,0001613813,Deferred Shares
A,05/11/2023 00:00:00,VASOS TODD J,4,A-Award,--D,15401,44830,2,0001243183,Deferred Shares
A,05/11/2023 00:00:00,Tobin Richard J,4,A-Award,--D,15401,30872,2,0001681915,Deferred Shares
A,05/11/2023 00:00:00,Snyder Barbara R,4,A-Award,--D,15401,183767,2,0001496583,Deferred Shares
A,05/11/2023 00:00:00,Rankin Devina A,4,A-Award,--D,15401,37845,2,0001557267,Deferred Shares
A,05/11/2023 00:00:00,Hipple Richard J,4,A-Award,--D,15401,49084,2,0001311365,Deferred Shares
A,05/11/2023 00:00:00,Highsmith Carlton L,4,A-Award,--D,15401,43099,2,0001379848,Deferred Shares
A,05/11/2023 00:00:00,Hayes Robin,4,A-Award,--D,15401,37211,2,0001443147,Deferred Shares
A,05/11/2023 00:00:00,GILLIS RUTH ANN M,4,A-Award,--D,15401,43099,6,0001185158,Deferred Shares
A,05/11/2023 00:00:00,Gile Elizabeth R.,4,A-Award,--D,15401,96911,2,0001487311,Deferred Shares
A,05/11/2023 00:00:00,Dallas H James,4,A-Award,--D,15401,43099,2,0001324953,Deferred Shares
A,05/11/2023 00:00:00,CUTLER ALEXANDER M,4,A-Award,--D,15401,59986,2,0001188585,Deferred Shares
A,05/03/2023 00:00:00,Paine Andrew J III,4,P-Purchase,--D,75000,335414,1,0001669883,Common Shares
A,04/26/2023 00:00:00,Hipple Richard J,4,P-Purchase,--D,2200,68374,1,0001311365,Common Shares
A,04/21/2023 00:00:00,Alexander Victor B,4,P-Purchase,--D,8500,117196,1,0001800760,Common Shares
A,03/31/2023 00:00:00,VASOS TODD J,4,A-Award,--D,1996,29429,2,0001243183,Deferred Shares
A,03/31/2023 00:00:00,Tobin Richard J,4,A-Award,--D,1996,15471,2,0001681915,Deferred Shares
A,03/31/2023 00:00:00,Rankin Devina A,4,A-Award,--D,2296,22444,2,0001557267,Deferred Shares
A,03/31/2023 00:00:00,Hayes Robin,4,A-Award,--D,2296,21810,2,0001443147,Deferred Shares
A,03/31/2023 00:00:00,CUTLER ALEXANDER M,4,A-Award,--D,1697,44585,2,0001188585,Deferred Shares
A,03/14/2023 00:00:00,GILLIS RUTH ANN M,4,P-Purchase,--I,2000,42961,1,0001185158,Common Shares
D,03/10/2023 00:00:00,Brady Amy G.,4,S-Sale,--D,45000,119121,1,0001562311,Common Shares
D,02/24/2023 00:00:00,Schosser Douglas M,4,M-Exempt,--D,2102,2102,4,0001390812,Restricted Stock Units
D,02/24/2023 00:00:00,Schosser Douglas M,4,F-InKind,--D,638,34178,2,0001390812,Common Shares
A,02/24/2023 00:00:00,Schosser Douglas M,4,M-Exempt,--D,2102,34816,1,0001390812,Common Shares
D,02/24/2023 00:00:00,Paine Andrew J III,4,M-Exempt,--D,13814,13814,6,0001669883,Restricted Stock Units
D,02/24/2023 00:00:00,Paine Andrew J III,4,F-InKind,--D,6265,260414,2,0001669883,Common Shares
A,02/24/2023 00:00:00,Paine Andrew J III,4,M-Exempt,--D,13814,266679,1,0001669883,Common Shares
D,02/24/2023 00:00:00,Midkiff Mark W,4,M-Exempt,--D,6606,6606,3,0001728747,Restricted Stock Units
D,02/24/2023 00:00:00,Midkiff Mark W,4,F-InKind,--D,2996,76564,2,0001728747,Common Shares
A,02/24/2023 00:00:00,Midkiff Mark W,4,M-Exempt,--D,6606,79560,1,0001728747,Common Shares
D,02/24/2023 00:00:00,Mago Angela G,4,M-Exempt,--D,9610,9609,3,0001669893,Restricted Stock Units
D,02/24/2023 00:00:00,Mago Angela G,4,F-InKind,--D,4358,214423,2,0001669893,Common Shares
A,02/24/2023 00:00:00,Mago Angela G,4,M-Exempt,--D,9610,218781,1,0001669893,Common Shares
D,02/24/2023 00:00:00,KIMBLE DONALD R,4,M-Exempt,--D,13213,13213,3,0001217174,Restricted Stock Units
D,02/24/2023 00:00:00,KIMBLE DONALD R,4,F-InKind,--D,6287,483394,2,0001217174,Common Shares
A,02/24/2023 00:00:00,KIMBLE DONALD R,4,M-Exempt,--D,13213,489681,1,0001217174,Common Shares
D,02/24/2023 00:00:00,Khayat Clark H,4,M-Exempt,--D,4204,4204,3,0001342543,Restricted Stock Units
D,02/24/2023 00:00:00,Khayat Clark H,4,F-InKind,--D,1907,101575,2,0001342543,Common Shares
A,02/24/2023 00:00:00,Khayat Clark H,4,M-Exempt,--D,4204,103482,1,0001342543,Common Shares
D,02/24/2023 00:00:00,Gorman Christopher M.,4,M-Exempt,--D,19219,19219,4,0001486643,Restricted Stock Units
D,02/24/2023 00:00:00,Gorman Christopher M.,4,F-InKind,--D,8716,957309,2,0001486643,Common Shares
A,02/24/2023 00:00:00,Gorman Christopher M.,4,M-Exempt,--D,19219,966025,1,0001486643,Common Shares
D,02/24/2023 00:00:00,Fishel Brian L,4,M-Exempt,--D,2702,2702,4,0001742183,Restricted Stock Units
D,02/24/2023 00:00:00,Fishel Brian L,4,M-Exempt,--D,30029,0,3,0001742183,Restricted Stock Units
D,02/24/2023 00:00:00,Fishel Brian L,4,F-InKind,--D,13887,70242,2,0001742183,Common Shares
A,02/24/2023 00:00:00,Fishel Brian L,4,M-Exempt,--D,32731,84129,1,0001742183,Common Shares
D,02/24/2023 00:00:00,Evans Trina M,4,M-Exempt,--D,5105,5105,3,0001572558,Restricted Stock Units
D,02/24/2023 00:00:00,Evans Trina M,4,F-InKind,--D,2315,89205,2,0001572558,Common Shares
A,02/24/2023 00:00:00,Evans Trina M,4,M-Exempt,--D,5105,91520,1,0001572558,Common Shares
D,02/24/2023 00:00:00,Brady Amy G.,4,M-Exempt,--D,8408,8408,4,0001562311,Restricted Stock Units
D,02/24/2023 00:00:00,Brady Amy G.,4,M-Exempt,--D,60060,0,3,0001562311,Restricted Stock Units
