MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,03/08/2023 00:00:00,Lipar Jack Anthony,4,A-Award,--D,673,2633,2,0001585143,Common Stock
A,03/08/2023 00:00:00,Merdian Charles Michael,4,A-Award,--D,2300,8482,2,0001585144,Common Stock
A,03/08/2023 00:00:00,Garber Scott James,4,A-Award,--D,863,12070,1,0001737946,Common Stock
A,03/08/2023 00:00:00,Eaton Rachel Lyons,4,A-Award,--D,673,40583,1,0001585142,Common Stock
A,03/08/2023 00:00:00,Snider Michael Larry,4,A-Award,--D,2516,18007,2,0001585146,Common Stock
A,03/08/2023 00:00:00,Lipar Eric Thomas,4,A-Award,--D,7942,613738,1,0001585140,Common Stock
D,03/07/2023 00:00:00,Lipar Jack Anthony,4,J-Other,-ED,3026,1960,1,0001585143,Common Stock
D,03/07/2023 00:00:00,Merdian Charles Michael,4,J-Other,-ED,9300,6182,1,0001585144,Common Stock
D,03/07/2023 00:00:00,Snider Michael Larry,4,J-Other,-ED,16459,15491,1,0001585146,Common Stock
D,02/28/2023 00:00:00,Garber Scott James,4,S-Sale,--D,36,11207,4,0001737946,Common Stock
D,02/28/2023 00:00:00,Garber Scott James,4,S-Sale,--D,2643,11243,3,0001737946,Common Stock
D,02/28/2023 00:00:00,Garber Scott James,4,S-Sale,--D,2197,13886,2,0001737946,Common Stock
D,02/28/2023 00:00:00,Lipar Eric Thomas,4,S-Sale,--D,283,605796,4,0001585140,Common Stock
D,02/28/2023 00:00:00,Lipar Eric Thomas,4,S-Sale,--D,20803,606079,3,0001585140,Common Stock
D,02/28/2023 00:00:00,Lipar Eric Thomas,4,S-Sale,--D,17287,626882,2,0001585140,Common Stock
D,02/28/2023 00:00:00,Eaton Rachel Lyons,4,S-Sale,--D,59,39910,4,0001585142,Common Stock
D,02/28/2023 00:00:00,Eaton Rachel Lyons,4,S-Sale,--D,4345,39969,3,0001585142,Common Stock
D,02/28/2023 00:00:00,Eaton Rachel Lyons,4,S-Sale,--D,3611,44314,2,0001585142,Common Stock
D,02/28/2023 00:00:00,Snider Michael Larry,4,S-Sale,--D,121,31950,4,0001585146,Common Stock
D,02/28/2023 00:00:00,Snider Michael Larry,4,S-Sale,--D,8923,32071,3,0001585146,Common Stock
D,02/28/2023 00:00:00,Snider Michael Larry,4,S-Sale,--D,7415,40994,2,0001585146,Common Stock
D,02/28/2023 00:00:00,Lipar Jack Anthony,4,S-Sale,--D,33,4986,4,0001585143,Common Stock
D,02/28/2023 00:00:00,Lipar Jack Anthony,4,S-Sale,--D,2460,5019,3,0001585143,Common Stock
D,02/28/2023 00:00:00,Lipar Jack Anthony,4,S-Sale,--D,2044,7479,2,0001585143,Common Stock
D,02/28/2023 00:00:00,Merdian Charles Michael,4,S-Sale,--D,103,15482,4,0001585144,Common Stock
D,02/28/2023 00:00:00,Merdian Charles Michael,4,S-Sale,--D,7563,15585,3,0001585144,Common Stock
D,02/28/2023 00:00:00,Merdian Charles Michael,4,S-Sale,--D,6284,23148,2,0001585144,Common Stock
A,02/27/2023 00:00:00,Garber Scott James,4,A-Award,--D,7224,16083,1,0001737946,Common Stock
A,02/27/2023 00:00:00,Lipar Eric Thomas,4,A-Award,--D,68218,644169,1,0001585140,Common Stock
A,02/27/2023 00:00:00,Eaton Rachel Lyons,4,A-Award,--D,7124,47925,1,0001585142,Common Stock
A,02/27/2023 00:00:00,Snider Michael Larry,4,A-Award,--D,29260,48409,1,0001585146,Common Stock
A,02/27/2023 00:00:00,Lipar Jack Anthony,4,A-Award,--D,6722,9523,1,0001585143,Common Stock
A,02/27/2023 00:00:00,Merdian Charles Michael,4,A-Award,--D,20666,29432,1,0001585144,Common Stock
A,12/31/2022 00:00:00,Lipar Jack Anthony,5,A-Award,--D,3,2801,4,0001585143,Common Stock
A,12/30/2022 00:00:00,Merdian Charles Michael,5,A-Award,--D,18,8766,4,0001585144,Common Stock
D,12/22/2022 00:00:00,Smith Steven Randal,4,S-Sale,--D,991,1490,1,0001585094,Common Stock
A,12/15/2022 00:00:00,Edone Ryan,4,A-Award,--D,1490,28268,1,0001624851,Common Stock
A,12/15/2022 00:00:00,Sharpe Maria Renna,4,A-Award,--D,1490,2795,1,0001364115,Common Stock
A,12/15/2022 00:00:00,Vahradian Robert Karnig,4,A-Award,--D,1490,21899,1,0001585093,Common Stock
A,12/15/2022 00:00:00,Sansbury Bryan Christopher,4,A-Award,--D,1490,9396,1,0001585096,Common Stock
A,12/15/2022 00:00:00,Parikh Shailee,4,A-Award,--D,1490,2795,1,0001898850,Common Stock
A,12/15/2022 00:00:00,Smith Steven Randal,4,A-Award,--D,1490,2481,1,0001585094,Common Stock
A,09/30/2022 00:00:00,Lipar Jack Anthony,5,A-Award,--D,32,2798,3,0001585143,Common Stock
A,09/30/2022 00:00:00,Garber Scott James,5,A-Award,--D,39,8859,3,0001737946,Common Stock
D,07/12/2022 00:00:00,Merdian Charles Michael,4,J-Other,-ED,78421,8591,1,0001585144,Common Stock
D,07/05/2022 00:00:00,Merdian Charles Michael,4,J-Other,-ED,39408,87012,1,0001585144,Common Stock
A,06/30/2022 00:00:00,Lipar Jack Anthony,5,A-Award,--D,32,2766,2,0001585143,Common Stock
