MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/27/2023 00:00:00,KAMSKY VIRGINIA A,4,F-InKind,--D,319,3661,1,0001059614,Class A Ordinary Shares
D,05/26/2023 00:00:00,Bindra Jagjeet S.,4,F-InKind,--D,259,6761,1,0001490079,Class A Ordinary Shares
D,05/26/2023 00:00:00,DICCIANI NANCE K,4,F-InKind,--D,289,30904.612,1,0001198097,Class A Ordinary Shares
D,05/26/2023 00:00:00,Benet Lincoln E,4,F-InKind,--D,786,9603,1,0001644643,Class A Ordinary Shares
D,05/26/2023 00:00:00,AIGRAIN JACQUES,4,F-InKind,--D,365,25523,1,0001094730,Class A Ordinary Shares
D,05/26/2023 00:00:00,Buchanan Robin W.T.,4,F-InKind,--D,656,30387.186,1,0001519805,Class A Ordinary Shares
D,05/26/2023 00:00:00,Hanley Michael Sean,4,F-InKind,--D,189,10872,1,0001760238,Class A Ordinary Shares
D,05/26/2023 00:00:00,CHASE ANTHONY R,4,F-InKind,--D,264,5658,1,0001223756,Class A Ordinary Shares
D,05/26/2023 00:00:00,FARLEY CLAIRE S,4,F-InKind,--D,272,20598,1,0001204506,Class A Ordinary Shares
D,05/26/2023 00:00:00,Dudley Robert W.,4,F-InKind,--D,281,4510,1,0001855587,Class A Ordinary Shares
D,05/26/2023 00:00:00,Manifold Albert Jude,4,F-InKind,--D,143,9382,1,0001778101,Class A Ordinary Shares
D,05/23/2023 00:00:00,Vanacker Peter Z. E.,4,F-InKind,--D,4188,68436,1,0001911538,Class A Ordinary Shares
A,05/19/2023 00:00:00,Griffin Rita E,4,A-Award,--D,1865,1865,1,0001977097,Class A Ordinary Shares
A,05/18/2023 00:00:00,KAMSKY VIRGINIA A,4,A-Award,--D,1860,3980,1,0001059614,Class A Ordinary Shares
A,05/18/2023 00:00:00,Manifold Albert Jude,4,A-Award,--D,1860,9525,1,0001778101,Class A Ordinary Shares
A,05/18/2023 00:00:00,Hanley Michael Sean,4,A-Award,--D,1860,11061,1,0001760238,Class A Ordinary Shares
A,05/18/2023 00:00:00,FARLEY CLAIRE S,4,A-Award,--D,1860,20870,1,0001204506,Class A Ordinary Shares
A,05/18/2023 00:00:00,Dudley Robert W.,4,A-Award,--D,1860,4791,1,0001855587,Class A Ordinary Shares
A,05/18/2023 00:00:00,CHASE ANTHONY R,4,A-Award,--D,1860,5922,1,0001223756,Class A Ordinary Shares
A,05/18/2023 00:00:00,Buchanan Robin W.T.,4,A-Award,--D,1860,31043.186,1,0001519805,Class A Ordinary Shares
A,05/18/2023 00:00:00,Benet Lincoln E,4,A-Award,--D,1860,10389,1,0001644643,Class A Ordinary Shares
A,05/18/2023 00:00:00,AIGRAIN JACQUES,4,A-Award,--D,3556,25888,1,0001094730,Class A Ordinary Shares
D,05/11/2023 00:00:00,AI INVESTMENTS HOLDINGS LLC,4,G-Gift,--I,761000,1908099,1,0001508237,Ordinary shares
A,03/31/2023 00:00:00,DICCIANI NANCE K,4,A-Award,--D,454,31193.612,2,0001198097,Class A Ordinary Shares
D,03/31/2023 00:00:00,DICCIANI NANCE K,4,F-InKind,--D,97,30739.612,1,0001198097,Class A Ordinary Shares
A,03/31/2023 00:00:00,CHASE ANTHONY R,4,A-Award,--D,211,4062,1,0001223756,Class A Ordinary Shares
A,02/23/2023 00:00:00,van der Laan Yvonne,4,A-Award,--D,6054,6054,2,0001949202,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,van der Laan Yvonne,4,A-Award,--D,1595,4751,1,0001949202,Class A Ordinary Shares
A,02/23/2023 00:00:00,Guilfoyle James D,4,A-Award,--D,23172,23172,2,0001649570,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Guilfoyle James D,4,A-Award,--D,6103,47110.65,1,0001649570,Class A Ordinary Shares
A,02/23/2023 00:00:00,McMurray Michael C.,4,A-Award,--D,33113,33113,2,0001556386,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,McMurray Michael C.,4,A-Award,--D,8720,54948,1,0001556386,Class A Ordinary Shares
A,02/23/2023 00:00:00,Seward James Malcolm,4,A-Award,--D,10018,10018,2,0001783902,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Seward James Malcolm,4,A-Award,--D,2639,20896,1,0001783902,Class A Ordinary Shares
A,02/23/2023 00:00:00,Lane Kenneth Todd,4,A-Award,--D,26267,26267,2,0001782276,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Lane Kenneth Todd,4,A-Award,--D,6917,72254.1519,1,0001782276,Class A Ordinary Shares
A,02/23/2023 00:00:00,Foley Kimberly A,4,A-Award,--D,21134,21134,2,0001791947,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Foley Kimberly A,4,A-Award,--D,5566,30937.547,1,0001791947,Class A Ordinary Shares
A,02/23/2023 00:00:00,Vanacker Peter Z. E.,4,A-Award,--D,107129,107129,2,0001911538,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Vanacker Peter Z. E.,4,A-Award,--D,28211,72624,1,0001911538,Class A Ordinary Shares
A,02/23/2023 00:00:00,Oyolu Chukwuemeka A.,4,A-Award,--D,10640,10640,2,0001626994,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Oyolu Chukwuemeka A.,4,A-Award,--D,2802,20725,1,0001626994,Class A Ordinary Shares
A,02/23/2023 00:00:00,Friedrichs Dale D,4,A-Award,--D,16313,16313,2,0001697503,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Friedrichs Dale D,4,A-Award,--D,4296,23356,1,0001697503,Class A Ordinary Shares
A,02/23/2023 00:00:00,Kaplan Jeffrey A,4,A-Award,--D,20900,20900,2,0001634184,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Kaplan Jeffrey A,4,A-Award,--D,5504,59876,1,0001634184,Class A Ordinary Shares
A,02/23/2023 00:00:00,Campbell Tracey D,4,A-Award,--D,4383,4383,3,0001948900,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Campbell Tracey D,4,A-Award,--D,1155,4971.77,1,0001948900,Class A Ordinary Shares
A,02/23/2023 00:00:00,Conley Trisha L,4,A-Award,--D,15218,15218,2,0001964403,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Conley Trisha L,4,A-Award,--D,4008,4008,1,0001964403,Class A Ordinary Shares
A,02/23/2023 00:00:00,Rhenman Torkel,4,A-Award,--D,24153,24153,2,0001780174,Stock Options (Right to Buy)
A,02/23/2023 00:00:00,Rhenman Torkel,4,A-Award,--D,6361,49331,1,0001780174,Class A Ordinary Shares
D,02/22/2023 00:00:00,Friedrichs Dale D,4,F-InKind,--D,1158,19060,4,0001697503,Class A Ordinary Shares
D,02/22/2023 00:00:00,Friedrichs Dale D,4,F-InKind,--D,259,20218,3,0001697503,Class A Ordinary Shares
