MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/27/2023 00:00:00,Sulzberger Gabrielle,4,A-Award,--D,642,4333,1,0001262388,Class A Common Stock
A,06/27/2023 00:00:00,Qureshi Rima,4,A-Award,--D,642,20269,1,0001519341,Class A Common Stock
A,06/27/2023 00:00:00,Talwar Harit,4,A-Award,--D,642,1663,1,0001401336,Class A Common Stock
A,06/27/2023 00:00:00,Moon Youngme E,4,A-Award,--D,642,3540,1,0001331412,Class A Common Stock
A,06/27/2023 00:00:00,Uggla Lance Darrell Gordon,4,A-Award,--D,642,8403,1,0001678996,Class A Common Stock
A,06/27/2023 00:00:00,Bracher Candido,4,A-Award,--D,642,1955,1,0001875000,Class A Common Stock
A,06/27/2023 00:00:00,GENACHOWSKI JULIUS,4,A-Award,--D,642,8088,1,0001184231,Class A Common Stock
A,06/27/2023 00:00:00,Goh Choon Phong,4,A-Award,--D,642,4798,1,0001736436,Class A Common Stock
A,06/27/2023 00:00:00,Janow Merit E,4,A-Award,--D,871,12567,1,0001328694,Class A Common Stock
A,06/27/2023 00:00:00,Matsumoto Oki,4,A-Award,--D,642,7345,1,0001522658,Class A Common Stock
A,06/27/2023 00:00:00,DAVIS RICHARD K,4,A-Award,--D,642,8743,1,0001185480,Class A Common Stock
D,06/25/2023 00:00:00,Matsumoto Oki,4,F-InKind,--D,83,6703,1,0001522658,Class A Common Stock
D,06/13/2023 00:00:00,Seshadri Raj,4,M-Exempt,--D,3664,0,8,0001772738,Employee Stock Option (right to buy)
D,06/13/2023 00:00:00,Seshadri Raj,4,S-Sale,--D,213,11164.33,7,0001772738,Class A Common Stock
D,06/13/2023 00:00:00,Seshadri Raj,4,S-Sale,--D,1700,11377.33,6,0001772738,Class A Common Stock
D,06/13/2023 00:00:00,Seshadri Raj,4,S-Sale,--D,445,13077.33,5,0001772738,Class A Common Stock
D,06/13/2023 00:00:00,Seshadri Raj,4,S-Sale,--D,1200,13522.33,4,0001772738,Class A Common Stock
D,06/13/2023 00:00:00,Seshadri Raj,4,S-Sale,--D,391,14722.33,3,0001772738,Class A Common Stock
D,06/13/2023 00:00:00,Seshadri Raj,4,S-Sale,--D,1215,15113.33,2,0001772738,Class A Common Stock
A,06/13/2023 00:00:00,Seshadri Raj,4,M-Exempt,--D,3664,16328.33,1,0001772738,Class A Common Stock
D,05/18/2023 00:00:00,Malhotra Raghuvir,4,M-Exempt,--D,1536,1537,3,0001923563,Employee Stock Option (right to buy)
D,05/18/2023 00:00:00,Malhotra Raghuvir,4,S-Sale,--D,1536,9464.937,2,0001923563,Class A Common Stock
A,05/18/2023 00:00:00,Malhotra Raghuvir,4,M-Exempt,--D,1536,11000.937,1,0001923563,Class A Common Stock
D,05/17/2023 00:00:00,Mastercard Foundation,4,S-Sale,--D,125816,99556565,2,0001421897,"Class A common stock, par value $0.0001"
D,05/16/2023 00:00:00,Mastercard Foundation,4,S-Sale,--D,125816,99682381,1,0001421897,"Class A common stock, par value $0.0001"
D,05/15/2023 00:00:00,Mastercard Foundation,4,S-Sale,--D,125816,99808197,3,0001421897,"Class A common stock, par value $0.0001"
D,05/12/2023 00:00:00,Mastercard Foundation,4,S-Sale,--D,125816,99934013,2,0001421897,"Class A common stock, par value $0.0001"
D,05/11/2023 00:00:00,Mastercard Foundation,4,S-Sale,--D,125816,100059829,1,0001421897,"Class A common stock, par value $0.0001"
D,05/10/2023 00:00:00,Mastercard Foundation,4,S-Sale,--D,125816,100185645,3,0001421897,"Class A common stock, par value $0.0001"
D,05/09/2023 00:00:00,Mastercard Foundation,4,S-Sale,--D,125816,100311461,2,0001421897,"Class A common stock, par value $0.0001"
D,05/08/2023 00:00:00,Mastercard Foundation,4,S-Sale,--D,125816,100437277,1,0001421897,"Class A common stock, par value $0.0001"
D,05/05/2023 00:00:00,Malhotra Raghuvir,4,M-Exempt,--D,3536,1768,6,0001923563,Employee Stock Option (right to buy)
D,05/05/2023 00:00:00,Malhotra Raghuvir,4,M-Exempt,--D,3362,0,5,0001923563,Employee Stock Option (right to buy)
D,05/05/2023 00:00:00,Malhotra Raghuvir,4,S-Sale,--D,3536,9464.937,4,0001923563,Class A Common Stock
D,05/05/2023 00:00:00,Malhotra Raghuvir,4,S-Sale,--D,7862,13000.937,3,0001923563,Class A Common Stock
A,05/05/2023 00:00:00,Malhotra Raghuvir,4,M-Exempt,--D,3536,20862.937,2,0001923563,Class A Common Stock
A,05/05/2023 00:00:00,Malhotra Raghuvir,4,M-Exempt,--D,3362,17326.937,1,0001923563,Class A Common Stock
D,05/02/2023 00:00:00,Murphy Timothy H,4,M-Exempt,--D,26400,0,10,0001602576,Employee Stock Option (right to buy)
D,05/02/2023 00:00:00,Murphy Timothy H,4,S-Sale,--D,1217,39263.063,8,0001602576,Class A Common Stock
D,05/02/2023 00:00:00,Murphy Timothy H,4,S-Sale,--D,5347,40480.063,7,0001602576,Class A Common Stock
D,05/02/2023 00:00:00,Murphy Timothy H,4,S-Sale,--D,6309,45827.063,6,0001602576,Class A Common Stock
D,05/02/2023 00:00:00,Murphy Timothy H,4,S-Sale,--D,3059,52136.063,5,0001602576,Class A Common Stock
D,05/02/2023 00:00:00,Murphy Timothy H,4,S-Sale,--D,2089,55195.063,4,0001602576,Class A Common Stock
D,05/02/2023 00:00:00,Murphy Timothy H,4,S-Sale,--D,5096,57284.063,3,0001602576,Class A Common Stock
D,05/02/2023 00:00:00,Murphy Timothy H,4,S-Sale,--D,4300,62380.063,2,0001602576,Class A Common Stock
A,05/02/2023 00:00:00,Murphy Timothy H,4,M-Exempt,--D,26400,66680.063,1,0001602576,Class A Common Stock
D,05/02/2023 00:00:00,Malhotra Raghuvir,4,M-Exempt,--D,2502,0,3,0001923563,Employee Stock Option (right to buy)
D,05/02/2023 00:00:00,Malhotra Raghuvir,4,S-Sale,--D,2502,13964.937,2,0001923563,Class A Common Stock
A,05/02/2023 00:00:00,Malhotra Raghuvir,4,M-Exempt,--D,2502,16466.937,1,0001923563,Class A Common Stock
A,03/01/2023 00:00:00,Ling Hai,4,A-Award,--D,5519,5519,4,0001923565,Employee Stock Option (right to buy)
A,03/01/2023 00:00:00,Ling Hai,4,A-Award,--D,338,28542.249,3,0001923565,Class A Common Stock
A,03/01/2023 00:00:00,Ling Hai,4,A-Award,--D,1947,28204.249,2,0001923565,Class A Common Stock
D,03/01/2023 00:00:00,Ling Hai,4,F-InKind,--D,239,26257.249,1,0001923565,Class A Common Stock
A,03/01/2023 00:00:00,SACHIN J. MEHRA,4,A-Award,--D,13797,13797,4,0001427531,Employee Stock Option (right to buy)
A,03/01/2023 00:00:00,SACHIN J. MEHRA,4,A-Award,--D,1429,20707.146,3,0001427531,Class A Common Stock
A,03/01/2023 00:00:00,SACHIN J. MEHRA,4,A-Award,--D,4866,19278.146,2,0001427531,Class A Common Stock
D,03/01/2023 00:00:00,SACHIN J. MEHRA,4,F-InKind,--D,1311,14412.146,1,0001427531,Class A Common Stock
A,03/01/2023 00:00:00,Froman Michael B. G.,4,A-Award,--D,9739,9739,5,0001753077,Employee Stock Option (right to buy)
A,03/01/2023 00:00:00,Froman Michael B. G.,4,A-Award,--D,2613,13525,3,0001753077,Class A Common Stock
A,03/01/2023 00:00:00,Froman Michael B. G.,4,A-Award,--D,3435,10912,2,0001753077,Class A Common Stock
D,03/01/2023 00:00:00,Froman Michael B. G.,4,F-InKind,--D,1012,7477,1,0001753077,Class A Common Stock
A,03/01/2023 00:00:00,Malhotra Raghuvir,4,A-Award,--D,5519,5519,3,0001923563,Employee Stock Option (right to buy)
A,03/01/2023 00:00:00,Malhotra Raghuvir,4,A-Award,--D,338,13964.937,2,0001923563,Class A Common Stock
A,03/01/2023 00:00:00,Malhotra Raghuvir,4,A-Award,--D,1947,13626.937,1,0001923563,Class A Common Stock
A,03/01/2023 00:00:00,Arkell Sandra A,4,A-Award,--D,731,731,4,0001649899,Employee Stock Option (right to buy)
D,03/01/2023 00:00:00,Arkell Sandra A,4,F-InKind,--D,196,3397,3,0001649899,Class A Common Stock
A,03/01/2023 00:00:00,Arkell Sandra A,4,A-Award,--D,79,3593,2,0001649899,Class A Common Stock
A,03/01/2023 00:00:00,Arkell Sandra A,4,A-Award,--D,644,3514,1,0001649899,Class A Common Stock
A,03/01/2023 00:00:00,Seshadri Raj,4,A-Award,--D,6493,6493,4,0001772738,Employee Stock Option (right to buy)
A,03/01/2023 00:00:00,Seshadri Raj,4,A-Award,--D,437,12664.33,3,0001772738,Class A Common Stock
