MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/15/2023 00:00:00,Meserve Nicholas,4,J-Other,--D,39.463,95787.9707,1,0001563461,Common Stock
A,05/15/2023 00:00:00,SHIVE DUNIA A,4,J-Other,--D,70.592,16719.8081,1,0001182313,Common Stock
A,05/15/2023 00:00:00,Lane Brian E.,4,J-Other,--D,145.217,35890.2458,2,0001448240,Common Stock
A,05/15/2023 00:00:00,Lane Brian E.,4,J-Other,--D,53.74,35745.0288,1,0001448240,Common Stock
A,05/15/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--I,9,1723,3,0001236849,Common Stock
A,05/15/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,196.742,64339.7849,2,0001236849,Common Stock
A,05/15/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,76.449,64143.0429,1,0001236849,Common Stock
A,05/15/2023 00:00:00,Hyzak Dwayne L.,4,J-Other,--D,507.712,463692.4986,1,0001414109,Common Stock
A,05/15/2023 00:00:00,Magdol David L.,4,J-Other,--D,61.9412,434651.7047,2,0001414108,Common Stock
A,05/15/2023 00:00:00,Magdol David L.,4,J-Other,--D,121.458,434589.7635,1,0001414108,Common Stock
A,05/15/2023 00:00:00,Beauvais Jason B,4,J-Other,--D,117.081,180368.3809,1,0001437113,Common Stock
A,05/15/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,1581.829,1728200.2036,3,0001069725,Common Stock
A,05/15/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,938.006,1726618.3746,2,0001069725,Common Stock
A,05/15/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,12.6114,1725680.3686,1,0001069725,Common Stock
A,05/15/2023 00:00:00,Morris Jesse E,4,J-Other,--D,48.248,203142.5046,1,0001596070,Common Stock
A,05/15/2023 00:00:00,SOLCHER STEPHEN B,4,J-Other,--D,168,39410.3057,1,0001007549,Common Stock
A,05/15/2023 00:00:00,Griffin Jon Kevin,4,J-Other,--D,201.892,59453.375,2,0001525628,Common Stock
A,05/15/2023 00:00:00,Griffin Jon Kevin,4,J-Other,--D,19.546,59251.483,1,0001525628,Common Stock
A,05/01/2023 00:00:00,SOLCHER STEPHEN B,4,A-Award,--D,1973.847,39242.3057,3,0001007549,Common Stock
A,05/01/2023 00:00:00,SOLCHER STEPHEN B,4,A-Award,--D,740,37268.4587,2,0001007549,Common Stock
A,05/01/2023 00:00:00,Griffin Jon Kevin,4,A-Award,--D,1973.847,59231.964,4,0001525628,Common Stock
A,05/01/2023 00:00:00,Griffin Jon Kevin,4,A-Award,--D,740,57258.117,3,0001525628,Common Stock
A,05/01/2023 00:00:00,JACKSON JOHN EARL,4,A-Award,--D,2097.212,64066.5939,4,0001236849,Common Stock
A,05/01/2023 00:00:00,JACKSON JOHN EARL,4,A-Award,--D,740,61969.3819,3,0001236849,Common Stock
A,05/01/2023 00:00:00,SHIVE DUNIA A,4,A-Award,--D,2097.212,16649.2161,3,0001182313,Common Stock
A,05/01/2023 00:00:00,SHIVE DUNIA A,4,A-Award,--D,740,14552.0041,2,0001182313,Common Stock
A,05/01/2023 00:00:00,Lane Brian E.,4,A-Award,--D,1973.847,35691.2888,4,0001448240,Common Stock
A,05/01/2023 00:00:00,Lane Brian E.,4,A-Award,--D,740,33717.4418,3,0001448240,Common Stock
A,04/14/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,1570.92,1725667.7572,3,0001069725,Common Stock
A,04/14/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,931.536,1724096.8372,2,0001069725,Common Stock
A,04/14/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,12.525,1723165.3012,1,0001069725,Common Stock
A,04/14/2023 00:00:00,SOLCHER STEPHEN B,4,J-Other,--D,155.76,36528.4587,1,0001007549,Common Stock
A,04/14/2023 00:00:00,Meserve Nicholas,4,J-Other,--D,39.191,95748.5077,1,0001563461,Common Stock
A,04/14/2023 00:00:00,Griffin Jon Kevin,4,J-Other,--D,189.435,56518.117,2,0001525628,Common Stock
A,04/14/2023 00:00:00,Griffin Jon Kevin,4,J-Other,--D,19.412,56328.682,1,0001525628,Common Stock
A,04/14/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--I,9,1714,5,0001236849,Common Stock
A,04/14/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,183.621,61229.3819,2,0001236849,Common Stock
A,04/14/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,71.606,61045.7609,1,0001236849,Common Stock
A,04/14/2023 00:00:00,Morris Jesse E,4,J-Other,--D,47.9153,203094.2566,1,0001596070,Common Stock
A,04/14/2023 00:00:00,Beauvais Jason B,4,J-Other,--D,116.273,180251.2999,1,0001437113,Common Stock
A,04/14/2023 00:00:00,Hyzak Dwayne L.,4,J-Other,--D,504.211,463184.7866,1,0001414109,Common Stock
A,04/14/2023 00:00:00,SHIVE DUNIA A,4,J-Other,--D,58.279,13812.0041,1,0001182313,Common Stock
A,04/14/2023 00:00:00,Magdol David L.,4,J-Other,--D,61.514,434468.3055,2,0001414108,Common Stock
A,04/14/2023 00:00:00,Magdol David L.,4,J-Other,--D,120.62,434406.7915,1,0001414108,Common Stock
A,04/14/2023 00:00:00,Lane Brian E.,4,J-Other,--D,133.124,32977.4418,2,0001448240,Common Stock
A,04/14/2023 00:00:00,Lane Brian E.,4,J-Other,--D,49.053,32844.3178,1,0001448240,Common Stock
D,04/01/2023 00:00:00,FOSTER VINCENT D,4,F-InKind,--D,8149,1718780.3428,1,0001069725,Common Stock
D,04/01/2023 00:00:00,Meserve Nicholas,4,F-InKind,--D,8000,95639.2097,2,0001563461,Common Stock
A,04/01/2023 00:00:00,Meserve Nicholas,4,A-Award,--D,22950,103639.2097,1,0001563461,Common Stock
D,04/01/2023 00:00:00,Morris Jesse E,4,F-InKind,--D,20039,202960.6284,2,0001596070,Common Stock
A,04/01/2023 00:00:00,Morris Jesse E,4,A-Award,--D,66937,222999.6284,1,0001596070,Common Stock
D,04/01/2023 00:00:00,Hyzak Dwayne L.,4,F-InKind,--D,21080,461778.6136,2,0001414109,Common Stock
A,04/01/2023 00:00:00,Hyzak Dwayne L.,4,A-Award,--D,80962,482858.6136,1,0001414109,Common Stock
D,04/01/2023 00:00:00,Magdol David L.,4,F-InKind,--D,21421,433960.3609,2,0001414108,Common Stock
A,04/01/2023 00:00:00,Magdol David L.,4,A-Award,--D,70125,455381.3609,1,0001414108,Common Stock
D,04/01/2023 00:00:00,Beauvais Jason B,4,F-InKind,--D,10901,179904.4779,2,0001437113,Common Stock
A,04/01/2023 00:00:00,Beauvais Jason B,4,A-Award,--D,38887,190805.4779,1,0001437113,Common Stock
A,03/31/2023 00:00:00,JACKSON JOHN EARL,4,P-Purchase,--D,3000,60516.9229,1,0001236849,Common Stock
D,03/31/2023 00:00:00,Beauvais Jason B,4,S-Sale,--D,5894,151918.4779,3,0001437113,Common Stock
D,03/30/2023 00:00:00,Beauvais Jason B,4,S-Sale,--D,2225,157812.4779,2,0001437113,Common Stock
D,03/29/2023 00:00:00,Beauvais Jason B,4,S-Sale,--D,6800,160037.4779,1,0001437113,Common Stock
A,03/28/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,1224.7,1723152.7762,6,0001069725,Common Stock
A,03/28/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,671.156,1721928.0762,5,0001069725,Common Stock
A,03/28/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,9.7646,1721256.9202,4,0001069725,Common Stock
A,03/28/2023 00:00:00,SOLCHER STEPHEN B,4,J-Other,--D,120.947,36372.6987,2,0001007549,Common Stock
A,03/28/2023 00:00:00,Meserve Nicholas,4,J-Other,--D,30.555,95709.3167,2,0001563461,Common Stock
A,03/28/2023 00:00:00,Griffin Jon Kevin,4,J-Other,--D,147.097,56309.27,4,0001525628,Common Stock
A,03/28/2023 00:00:00,Griffin Jon Kevin,4,J-Other,--D,15.134,56162.173,3,0001525628,Common Stock
A,03/28/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--I,7,1705,6,0001236849,Common Stock
A,03/28/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,142.581,60974.1549,4,0001236849,Common Stock
A,03/28/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,55.827,60831.5739,3,0001236849,Common Stock
A,03/28/2023 00:00:00,Morris Jesse E,4,J-Other,--D,37.357,203046.3413,2,0001596070,Common Stock
A,03/28/2023 00:00:00,Beauvais Jason B,4,J-Other,--D,100.481,180135.0269,2,0001437113,Common Stock
A,03/28/2023 00:00:00,Hyzak Dwayne L.,4,J-Other,--D,393.106,462680.5756,2,0001414109,Common Stock
A,03/28/2023 00:00:00,SHIVE DUNIA A,4,J-Other,--D,45.254,13753.7251,2,0001182313,Common Stock
A,03/28/2023 00:00:00,Magdol David L.,4,J-Other,--D,47.9591,434286.1715,4,0001414108,Common Stock
A,03/28/2023 00:00:00,Magdol David L.,4,J-Other,--D,94.041,434238.2124,3,0001414108,Common Stock
A,03/28/2023 00:00:00,Lane Brian E.,4,J-Other,--D,103.371,32795.2648,4,0001448240,Common Stock
A,03/28/2023 00:00:00,Lane Brian E.,4,J-Other,--D,38.244,32691.8938,3,0001448240,Common Stock
D,03/28/2023 00:00:00,Meserve Nicholas,4,S-Sale,--D,3000,80689.2097,1,0001563461,Common Stock
A,03/15/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,1585.394,1721247.1556,3,0001069725,Common Stock
A,03/15/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,868.779,1719661.7616,2,0001069725,Common Stock
A,03/15/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,12.6398,1718792.9826,1,0001069725,Common Stock
A,03/15/2023 00:00:00,SOLCHER STEPHEN B,4,J-Other,--D,158.252,36251.7517,1,0001007549,Common Stock
A,03/15/2023 00:00:00,Meserve Nicholas,4,J-Other,--D,39.552,95678.7617,1,0001563461,Common Stock
A,03/15/2023 00:00:00,Griffin Jon Kevin,4,J-Other,--D,192.466,56147.039,2,0001525628,Common Stock
A,03/15/2023 00:00:00,Griffin Jon Kevin,4,J-Other,--D,19.591,55954.573,1,0001525628,Common Stock
A,03/15/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--I,9,1698,5,0001236849,Common Stock
A,03/15/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,186.559,60775.7469,2,0001236849,Common Stock
A,03/15/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,72.265,60589.1879,1,0001236849,Common Stock
A,03/15/2023 00:00:00,Morris Jesse E,4,J-Other,--D,48.3559,203008.9843,1,0001596070,Common Stock
A,03/15/2023 00:00:00,Beauvais Jason B,4,J-Other,--D,130.068,180034.5459,1,0001437113,Common Stock
A,03/15/2023 00:00:00,Hyzak Dwayne L.,4,J-Other,--D,508.856,462287.4696,1,0001414109,Common Stock
A,03/15/2023 00:00:00,SHIVE DUNIA A,4,J-Other,--D,59.211,13708.4711,1,0001182313,Common Stock
A,03/15/2023 00:00:00,Magdol David L.,4,J-Other,--D,62.0795,434144.1714,2,0001414108,Common Stock
A,03/15/2023 00:00:00,Magdol David L.,4,J-Other,--D,121.731,434082.0919,1,0001414108,Common Stock
A,03/15/2023 00:00:00,Lane Brian E.,4,J-Other,--D,135.254,32653.6498,2,0001448240,Common Stock
A,03/15/2023 00:00:00,Lane Brian E.,4,J-Other,--D,49.505,32518.3958,1,0001448240,Common Stock
A,02/15/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,1545.424,1726929.3428,3,0001069725,Common Stock
A,02/15/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,846.876,1725383.9188,2,0001069725,Common Stock
A,02/15/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,12.3211,1724537.0428,1,0001069725,Common Stock
A,02/15/2023 00:00:00,SOLCHER STEPHEN B,4,J-Other,--D,152.532,36093.4997,1,0001007549,Common Stock
A,02/15/2023 00:00:00,Meserve Nicholas,4,J-Other,--D,38.555,83689.2097,1,0001563461,Common Stock
A,02/15/2023 00:00:00,Parker Lance A,4,J-Other,--D,46.3464,25744.7038,1,0001528376,Common Stock
A,02/15/2023 00:00:00,Griffin Jon Kevin,4,J-Other,--D,185.511,55934.982,2,0001525628,Common Stock
A,02/15/2023 00:00:00,Griffin Jon Kevin,4,J-Other,--D,19.097,55749.471,1,0001525628,Common Stock
A,02/15/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--I,9,1689,3,0001236849,Common Stock
A,02/15/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,179.817,57516.9229,2,0001236849,Common Stock
A,02/15/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,70.443,57337.1059,1,0001236849,Common Stock
A,02/15/2023 00:00:00,Morris Jesse E,4,J-Other,--D,47.1376,156062.6284,1,0001596070,Common Stock
A,02/15/2023 00:00:00,Beauvais Jason B,4,J-Other,--D,126.789,166837.4779,1,0001437113,Common Stock
A,02/15/2023 00:00:00,Hyzak Dwayne L.,4,J-Other,--D,496.027,401896.6136,1,0001414109,Common Stock
A,02/15/2023 00:00:00,SHIVE DUNIA A,4,J-Other,--D,57.072,13649.2601,1,0001182313,Common Stock
A,02/15/2023 00:00:00,Magdol David L.,4,J-Other,--D,60.5155,385256.3609,2,0001414108,Common Stock
A,02/15/2023 00:00:00,Magdol David L.,4,J-Other,--D,118.662,385195.8454,1,0001414108,Common Stock
A,02/15/2023 00:00:00,Lane Brian E.,4,J-Other,--D,130.366,32468.8908,2,0001448240,Common Stock
A,02/15/2023 00:00:00,Lane Brian E.,4,J-Other,--D,48.257,32338.5248,1,0001448240,Common Stock
A,02/15/2023 00:00:00,Matthews Beverly Kay,4,J-Other,--D,49.09,12135.871,1,0001776401,Common Stock
A,01/13/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,1570.564,1724524.7217,3,0001069725,Common Stock
A,01/13/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,860.652,1722954.1577,2,0001069725,Common Stock
A,01/13/2023 00:00:00,FOSTER VINCENT D,4,J-Other,--D,12.5215,1722093.5057,1,0001069725,Common Stock
A,01/13/2023 00:00:00,SOLCHER STEPHEN B,4,J-Other,--D,156.569,35940.9677,1,0001007549,Common Stock
A,01/13/2023 00:00:00,Meserve Nicholas,4,J-Other,--D,39.182,83650.6547,1,0001563461,Common Stock
A,01/13/2023 00:00:00,Parker Lance A,4,J-Other,--D,47.1002,25698.3574,1,0001528376,Common Stock
A,01/13/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--I,9,1680,3,0001236849,Common Stock
A,01/13/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,184.575,57266.6629,2,0001236849,Common Stock
A,01/13/2023 00:00:00,JACKSON JOHN EARL,4,J-Other,--D,71.589,57082.0879,1,0001236849,Common Stock
A,01/13/2023 00:00:00,Morris Jesse E,4,J-Other,--D,348.5692,156015.4908,1,0001596070,Common Stock
A,01/13/2023 00:00:00,Hyzak Dwayne L.,4,J-Other,--D,504.096,401400.5866,1,0001414109,Common Stock
A,01/13/2023 00:00:00,SHIVE DUNIA A,4,J-Other,--D,58.582,13592.1881,1,0001182313,Common Stock
A,01/13/2023 00:00:00,Magdol David L.,4,J-Other,--D,61.4999,385077.1834,2,0001414108,Common Stock
A,01/13/2023 00:00:00,Magdol David L.,4,J-Other,--D,120.593,385015.6835,1,0001414108,Common Stock
A,01/13/2023 00:00:00,Lane Brian E.,4,J-Other,--D,133.816,32290.2678,2,0001448240,Common Stock
