MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/12/2023 00:00:00,Eger Edmond,4,S-Sale,--D,1885,12385,1,0001586851,Common Stock
D,05/30/2023 00:00:00,RAGHAVAN DEEPAK,4,S-Sale,--D,900,25730,4,0001079160,Common Stock
D,05/30/2023 00:00:00,RAGHAVAN DEEPAK,4,S-Sale,--D,1921,26630,3,0001079160,Common Stock
D,05/30/2023 00:00:00,RAGHAVAN DEEPAK,4,S-Sale,--D,1700,28551,2,0001079160,Common Stock
D,05/30/2023 00:00:00,RAGHAVAN DEEPAK,4,S-Sale,--D,1000,30251,1,0001079160,Common Stock
A,05/11/2023 00:00:00,RAGHAVAN DEEPAK,4,A-Award,--D,1524,31251,1,0001079160,Common Stock
A,05/11/2023 00:00:00,NOONAN THOMAS E,4,A-Award,--D,1524,109372,1,0001079742,Common Stock
A,05/11/2023 00:00:00,MORAN CHARLES E,4,A-Award,--D,1524,19654,1,0001240189,Common Stock
A,05/11/2023 00:00:00,Kuryea Kimberly A,4,A-Award,--D,1524,3603,1,0001528108,Common Stock
A,05/11/2023 00:00:00,HUNTZ JOHN J JR,4,A-Award,--D,1524,67411,1,0001200814,Common Stock
A,05/11/2023 00:00:00,Hollembaek Linda T.,4,A-Award,--D,1524,13547,1,0001739966,Common Stock
A,05/11/2023 00:00:00,Eger Edmond,4,A-Award,--D,1524,14270,1,0001586851,Common Stock
D,05/03/2023 00:00:00,Richards Bruce,4,S-Sale,--D,6000,36022,1,0001385553,Common Stock
D,05/01/2023 00:00:00,Gantt James Stewart,4,S-Sale,--D,6000,54651,1,0001963767,Common stock
D,04/27/2023 00:00:00,STORY DENNIS B,4,S-Sale,--D,12889,92992,3,0001187339,Common Stock
D,04/27/2023 00:00:00,STORY DENNIS B,4,S-Sale,--D,8960,105881,2,0001187339,Common Stock
D,04/27/2023 00:00:00,STORY DENNIS B,4,S-Sale,--D,10276,114841,1,0001187339,Common Stock
A,03/09/2023 00:00:00,RAGHAVAN DEEPAK,4,J-Other,--I,3744,3744,2,0001079160,Common Stock
D,03/09/2023 00:00:00,RAGHAVAN DEEPAK,4,J-Other,--D,3744,29727,1,0001079160,Common Stock
