MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/28/2023 00:00:00,Lai John Lo-minn,4,M-Exempt,--I,77730,2176380,6,0001865267,Stock Option (Right to Buy)
D,06/28/2023 00:00:00,Lai John Lo-minn,4,M-Exempt,--D,198200,1091285,5,0001865267,Stock Option (Right to Buy)
D,06/28/2023 00:00:00,Lai John Lo-minn,4,S-Sale,--I,77730,960000,4,0001865267,Common Stock
A,06/28/2023 00:00:00,Lai John Lo-minn,4,M-Exempt,--I,77730,1037730,3,0001865267,Common Stock
D,06/28/2023 00:00:00,Lai John Lo-minn,4,S-Sale,--D,198200,2564226,2,0001865267,Common Stock
A,06/28/2023 00:00:00,Lai John Lo-minn,4,M-Exempt,--D,198200,2762426,1,0001865267,Common Stock
D,06/26/2023 00:00:00,Lai John Lo-minn,4,S-Sale,--D,33904,2564226,2,0001865267,Common Stock
A,06/26/2023 00:00:00,Lai John Lo-minn,4,M-Exempt,--D,80000,2598130,1,0001865267,Common Stock
D,06/26/2023 00:00:00,Gold Jedidiah Marc,4,S-Sale,--D,4079,23588,2,0001865157,Common Stock
A,06/26/2023 00:00:00,Gold Jedidiah Marc,4,M-Exempt,--D,15000,27667,1,0001865157,Common Stock
D,06/26/2023 00:00:00,Chimienti Mayra Idali,4,S-Sale,--D,1696,266078,2,0001865161,Common Stock
A,06/26/2023 00:00:00,Chimienti Mayra Idali,4,M-Exempt,--D,4000,267774,1,0001865161,Common Stock
D,06/25/2023 00:00:00,Lai John Lo-minn,4,M-Exempt,--D,80000,240000,4,0001865267,Restricted Stock Units
D,06/25/2023 00:00:00,Gold Jedidiah Marc,4,M-Exempt,--D,15000,45000,3,0001865157,Restricted Stock Units
D,06/25/2023 00:00:00,Chimienti Mayra Idali,4,M-Exempt,--D,4000,12000,3,0001865161,Restricted Stock Units
D,06/24/2023 00:00:00,Chimienti Mayra Idali,4,M-Exempt,--I,100000,0,7,0001865161,Stock Option (Right to Buy)
D,06/24/2023 00:00:00,Chimienti Mayra Idali,4,M-Exempt,--I,25000,100000,6,0001865161,Stock Option (Right to Buy)
D,06/14/2023 00:00:00,Chimienti Mayra Idali,4,S-Sale,--I,100000,0,4,0001865161,Common Stock
A,06/14/2023 00:00:00,Chimienti Mayra Idali,4,M-Exempt,--I,100000,100000,3,0001865161,Common Stock
D,06/14/2023 00:00:00,Chimienti Mayra Idali,4,S-Sale,--I,25000,0,2,0001865161,Common Stock
A,06/14/2023 00:00:00,Chimienti Mayra Idali,4,M-Exempt,--I,25000,25000,1,0001865161,Common Stock
D,06/12/2023 00:00:00,Lai John Lo-minn,4,M-Exempt,--I,77730,2254110,6,0001865267,Stock Option (Right to Buy)
D,06/12/2023 00:00:00,Lai John Lo-minn,4,M-Exempt,--D,198200,1289485,5,0001865267,Stock Option (Right to Buy)
D,06/12/2023 00:00:00,Lai John Lo-minn,4,S-Sale,--I,77730,960000,4,0001865267,Common Stock
A,06/12/2023 00:00:00,Lai John Lo-minn,4,M-Exempt,--I,77730,1037730,3,0001865267,Common Stock
D,06/12/2023 00:00:00,Lai John Lo-minn,4,S-Sale,--D,198200,2518130,2,0001865267,Common Stock
A,06/12/2023 00:00:00,Lai John Lo-minn,4,M-Exempt,--D,198200,2716330,1,0001865267,Common Stock
D,06/02/2023 00:00:00,Chimienti Mayra Idali,4,S-Sale,--D,276,263774,1,0001865161,Common Stock
A,06/01/2023 00:00:00,Porter Mary Lyn,4,A-Award,--D,30712,30712,2,0001979392,Restricted Stock Unit
A,06/01/2023 00:00:00,Porter Mary Lyn,4,A-Award,--D,63938,63938,1,0001979392,Stock Option (Right to Buy)
A,05/25/2023 00:00:00,KIRK RONALD,4,A-Award,--D,12195,12195,2,0001186342,Restricted Stock Unit
A,05/25/2023 00:00:00,Rogers Veronica,4,A-Award,--D,12195,12195,2,0001886809,Restricted Stock Unit
A,05/25/2023 00:00:00,LIVELY DORVIN D,4,A-Award,--D,12195,12195,2,0001135314,Restricted Stock Unit
A,05/25/2023 00:00:00,TAYLOR JODI,4,A-Award,--D,12195,12195,2,0001255947,Restricted Stock Unit
A,03/01/2023 00:00:00,Gold Jedidiah Marc,4,A-Award,--D,60810,120810,2,0001865157,Restricted Stock Units
A,03/01/2023 00:00:00,Gold Jedidiah Marc,4,A-Award,--D,123355,123355,1,0001865157,Stock Option (Right to Buy)
A,03/01/2023 00:00:00,Lai John Lo-minn,4,A-Award,--D,324324,644324,2,0001865267,Restricted Stock Unit
A,03/01/2023 00:00:00,Lai John Lo-minn,4,A-Award,--D,657894,657894,1,0001865267,Stock Option (Right to Buy)
A,03/01/2023 00:00:00,Hartmann Markus,4,A-Award,--D,20270,26355,2,0001803128,Restricted Stock Units
A,03/01/2023 00:00:00,Hartmann Markus,4,A-Award,--D,41118,41118,1,0001803128,Stock Option (Right to Buy)
A,03/01/2023 00:00:00,Chimienti Mayra Idali,4,A-Award,--D,20270,40325,2,0001865161,Restricted Stock Units
A,03/01/2023 00:00:00,Chimienti Mayra Idali,4,A-Award,--D,41118,41118,1,0001865161,Stock Option (Right to Buy)
D,12/07/2022 00:00:00,Chimienti Mayra Idali,4,M-Exempt,--I,23102,125000,6,0001865161,Stock Option (Right to Buy)
D,12/07/2022 00:00:00,Chimienti Mayra Idali,4,M-Exempt,--D,20000,128608,5,0001865161,Stock Option (Right to Buy)
D,12/07/2022 00:00:00,Chimienti Mayra Idali,4,S-Sale,--I,23102,0,4,0001865161,Common Stock
A,12/07/2022 00:00:00,Chimienti Mayra Idali,4,M-Exempt,--I,23102,23102,3,0001865161,Common Stock
D,12/07/2022 00:00:00,Chimienti Mayra Idali,4,S-Sale,--D,20000,281540,2,0001865161,Common Stock
A,12/07/2022 00:00:00,Chimienti Mayra Idali,4,M-Exempt,--D,20000,301540,1,0001865161,Common Stock
A,12/01/2022 00:00:00,Hartmann Markus,4/A,A-Award,--D,14434,14434,1,0001803128,Stock Option (Right to Buy)
A,12/01/2022 00:00:00,Hartmann Markus,4,A-Award,--D,6085,6085,2,0001803128,Restricted Stock Unit
A,12/01/2022 00:00:00,Hartmann Markus,4,A-Award,--D,14434,14434,1,0001803128,Stock Option (Right to Buy)
D,10/17/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,36978,118111,6,0001865166,Stock Option (Right to Buy)
D,10/17/2022 00:00:00,Lindsay Casey Penn,4,S-Sale,--D,36978,0,4,0001865166,Common Stock
A,10/17/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,36978,36978,3,0001865166,Common Stock
D,10/14/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,142127,155089,5,0001865166,Stock Option (Right to Buy)
D,10/14/2022 00:00:00,Lindsay Casey Penn,4,S-Sale,--D,142127,0,2,0001865166,Common Stock
A,10/14/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,142127,142127,1,0001865166,Common Stock
D,06/28/2022 00:00:00,Lindsay Casey Penn,4,S-Sale,--D,1597,18403,1,0001865166,Common Stock
D,06/28/2022 00:00:00,Funk Lisa Bossard,4,S-Sale,--D,1802,23198,1,0001865159,Common Stock
D,06/28/2022 00:00:00,Gold Jedidiah Marc,4,S-Sale,--D,5378,838524,1,0001865157,Common Stock
D,06/28/2022 00:00:00,Lai John Lo-minn,4,S-Sale,--D,34215,2838168,1,0001865267,Common Stock
D,06/28/2022 00:00:00,Chimienti Mayra Idali,4,S-Sale,--D,1521,278495,1,0001865161,Common Stock
A,06/01/2022 00:00:00,Chimienti Mayra Idali,4/A,A-Award,--D,9980,9980,1,0001865161,Stock Option (Right to Buy)
A,06/01/2022 00:00:00,Chimienti Mayra Idali,4,A-Award,--D,10204,10204,2,0001865161,Stock Option (Right to Buy)
A,06/01/2022 00:00:00,Chimienti Mayra Idali,4,A-Award,--D,4055,260016,1,0001865161,Common Stock
A,05/25/2022 00:00:00,Rogers Veronica,4,A-Award,--D,8591,12456,1,0001886809,Common Stock
A,05/25/2022 00:00:00,TAYLOR JODI,4,A-Award,--D,8591,8591,1,0001255947,Common Stock
A,05/25/2022 00:00:00,KIRK RONALD,4,A-Award,--D,8591,12456,1,0001186342,Common Stock
A,05/25/2022 00:00:00,LIVELY DORVIN D,4,A-Award,--D,8591,8591,1,0001135314,Common Stock
A,05/25/2022 00:00:00,Docherty Susan E,4,A-Award,--D,8591,8591,1,0001601821,Common Stock
D,03/21/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,1400,360624,6,0001865166,Stock Option (Right to Buy)
D,03/21/2022 00:00:00,Lindsay Casey Penn,4,S-Sale,--D,1400,0,4,0001865166,Common Stock
A,03/21/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,1400,1400,3,0001865166,Common Stock
D,03/18/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,3600,362024,5,0001865166,Stock Option (Right to Buy)
D,03/18/2022 00:00:00,Lindsay Casey Penn,4,S-Sale,--D,3600,0,2,0001865166,Common Stock
A,03/18/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,3600,3600,1,0001865166,Common Stock
D,02/02/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,2082,302112,6,0001865166,Stock Option (Right to Buy)
D,02/02/2022 00:00:00,Lindsay Casey Penn,4,S-Sale,--D,2082,0,4,0001865166,Common Stock
A,02/02/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,2082,2082,3,0001865166,Common Stock
D,02/01/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,5918,304194,5,0001865166,Stock Option (Right to Buy)
D,02/01/2022 00:00:00,Lindsay Casey Penn,4,S-Sale,--D,5918,0,2,0001865166,Common Stock
A,02/01/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,5918,5918,1,0001865166,Common Stock
D,01/24/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,5000,310112,3,0001865166,Stock Option (Right to Buy)
D,01/24/2022 00:00:00,Lindsay Casey Penn,4,S-Sale,--D,5000,0,2,0001865166,Common Stock
A,01/24/2022 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,5000,5000,1,0001865166,Common Stock
D,01/05/2022 00:00:00,Funk Lisa Bossard,4,M-Exempt,--D,2803,155201,9,0001865159,Stock Option (Right to Buy)
D,01/05/2022 00:00:00,Funk Lisa Bossard,4,S-Sale,--D,2803,0,6,0001865159,Common Stock
A,01/05/2022 00:00:00,Funk Lisa Bossard,4,M-Exempt,--D,2803,2803,5,0001865159,Common Stock
D,01/04/2022 00:00:00,Funk Lisa Bossard,4,M-Exempt,--D,13814,158004,8,0001865159,Stock Option (Right to Buy)
D,01/04/2022 00:00:00,Funk Lisa Bossard,4,S-Sale,--D,13814,0,4,0001865159,Common Stock
A,01/04/2022 00:00:00,Funk Lisa Bossard,4,M-Exempt,--D,13814,13814,3,0001865159,Common Stock
D,01/03/2022 00:00:00,Funk Lisa Bossard,4,M-Exempt,--D,100,171818,7,0001865159,Stock Option (Right to Buy)
D,01/03/2022 00:00:00,Funk Lisa Bossard,4,S-Sale,--D,100,0,2,0001865159,Common Stock
A,01/03/2022 00:00:00,Funk Lisa Bossard,4,M-Exempt,--D,100,100,1,0001865159,Common Stock
D,12/30/2021 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,10000,315112,6,0001865166,Stock Option (Right to Buy)
D,12/30/2021 00:00:00,Lindsay Casey Penn,4,S-Sale,--D,10000,0,4,0001865166,Common Stock
A,12/30/2021 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,10000,10000,3,0001865166,Common Stock
D,12/29/2021 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,27200,325112,5,0001865166,Stock Option (Right to Buy)
D,12/29/2021 00:00:00,Lindsay Casey Penn,4,S-Sale,--D,27200,0,2,0001865166,Common Stock
A,12/29/2021 00:00:00,Lindsay Casey Penn,4,M-Exempt,--D,27200,27200,1,0001865166,Common Stock
