MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/27/2023 00:00:00,Agrawal Archana,4,A-Award,--D,598,2678,1,0001785447,Class A Common Stock
A,06/27/2023 00:00:00,DSOUZA  FRANCISCO,4,A-Award,--D,143,5224,2,0001231715,Class A Common Stock
A,06/27/2023 00:00:00,DSOUZA  FRANCISCO,4,A-Award,--D,598,5081,1,0001231715,Class A Common Stock
A,06/27/2023 00:00:00,Cochran Hope F,4,A-Award,--D,161,8959,2,0001392352,Class A Common Stock
A,06/27/2023 00:00:00,Cochran Hope F,4,A-Award,--D,598,8798,1,0001392352,Class A Common Stock
A,06/27/2023 00:00:00,BOTHA ROELOF,4,A-Award,--D,117,1656,2,0001222287,Class A Common Stock
A,06/27/2023 00:00:00,BOTHA ROELOF,4,A-Award,--D,598,1539,1,0001222287,Class A Common Stock
A,06/27/2023 00:00:00,Hazard Charles M Jr,4,A-Award,--D,146,52406,2,0001339247,Class A Common Stock
A,06/27/2023 00:00:00,Hazard Charles M Jr,4,A-Award,--D,598,52260,1,0001339247,Class A Common Stock
A,06/27/2023 00:00:00,Killalea Peter Thomas,4,A-Award,--D,598,30343,1,0001638728,Class A Common Stock
A,06/27/2023 00:00:00,McMahon John Dennis,4,A-Award,--D,109,14014,2,0001397798,Class A Common Stock
A,06/27/2023 00:00:00,McMahon John Dennis,4,A-Award,--D,598,13905,1,0001397798,Class A Common Stock
A,06/27/2023 00:00:00,MERRIMAN DWIGHT A,4,A-Award,--D,598,1218765,2,0001237858,Class A Common Stock
D,06/27/2023 00:00:00,MERRIMAN DWIGHT A,4,J-Other,--D,787,1218167,1,0001237858,Class A Common Stock
D,06/15/2023 00:00:00,Cochran Hope F,4,M-Exempt,--D,2937,38187,3,0001392352,Stock Option (Right to Buy)
D,06/15/2023 00:00:00,Cochran Hope F,4,S-Sale,--D,2174,8200,2,0001392352,Class A Common Stock
A,06/15/2023 00:00:00,Cochran Hope F,4,M-Exempt,--D,2937,10374,1,0001392352,Class A Common Stock
D,06/02/2023 00:00:00,Cochran Hope F,4/A,S-Sale,--D,2000,7437,1,0001392352,Class A Common Stock
D,06/02/2023 00:00:00,Porter Mark,4,S-Sale,--D,2669,37667,1,0001801141,Class A Common Stock
D,06/02/2023 00:00:00,Cochran Hope F,4,M-Exempt,--D,2000,39124,3,0001392352,Stock Option (Right to Buy)
D,06/02/2023 00:00:00,Cochran Hope F,4,S-Sale,--D,2000,9437,2,0001392352,Class A Common Stock
A,06/02/2023 00:00:00,Cochran Hope F,4,M-Exempt,--D,2000,11437,1,0001392352,Class A Common Stock
D,06/02/2023 00:00:00,MERRIMAN DWIGHT A,4,S-Sale,--I,1000,539896,3,0001237858,Class A Common Stock
D,06/02/2023 00:00:00,MERRIMAN DWIGHT A,4,S-Sale,--D,1000,1218954,2,0001237858,Class A Common Stock
D,06/01/2023 00:00:00,MERRIMAN DWIGHT A,4,S-Sale,--D,3000,1219954,1,0001237858,Class A Common Stock
D,06/01/2023 00:00:00,Ittycheria Dev,4,M-Exempt,--D,20000,488036,19,0001397383,Employee Stock Option (Right to Buy)
D,06/01/2023 00:00:00,Ittycheria Dev,4,S-Sale,--D,2085,262311,18,0001397383,Class A Common Stock
D,06/01/2023 00:00:00,Ittycheria Dev,4,S-Sale,--D,731,264396,17,0001397383,Class A Common Stock
D,06/01/2023 00:00:00,Ittycheria Dev,4,S-Sale,--D,1918,265127,16,0001397383,Class A Common Stock
D,06/01/2023 00:00:00,Ittycheria Dev,4,S-Sale,--D,2841,267045,15,0001397383,Class A Common Stock
D,06/01/2023 00:00:00,Ittycheria Dev,4,S-Sale,--D,886,269886,14,0001397383,Class A Common Stock
D,06/01/2023 00:00:00,Ittycheria Dev,4,S-Sale,--D,1525,270772,13,0001397383,Class A Common Stock
