MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/17/2023 00:00:00,TODMAN MICHAEL,4,A-Award,--D,2461,12617,1,0001224298,Class A Common Stock
A,05/17/2023 00:00:00,Siewert Patrick,4,A-Award,--D,2461,48756,1,0001324047,Class A Common Stock
A,05/17/2023 00:00:00,Nielsen Jane,4,A-Award,--D,2461,8841,1,0001528871,Class A Common Stock
A,05/17/2023 00:00:00,Mukherjee Anindita,4,A-Award,--D,2461,3663,1,0001740359,Class A Common Stock
A,05/17/2023 00:00:00,Mesquita Jorge S.,4,A-Award,--D,2461,55477,1,0001547344,Class A Common Stock
A,05/17/2023 00:00:00,COUSIN ERTHARIN,4,A-Award,--D,2461,6890,1,0001219349,Class A Common Stock
A,05/17/2023 00:00:00,BUNCH CHARLES E,4,A-Award,--D,2461,43326,1,0001242243,Class A Common Stock
A,05/17/2023 00:00:00,BOOTH LEWIS W K,4,A-Award,--D,2461,64519,1,0001191527,Class A Common Stock
D,05/03/2023 00:00:00,Zaramella Luca,4,M-Exempt,--D,25380,0,3,0001622077,Stock Options (right to buy)
D,05/03/2023 00:00:00,Zaramella Luca,4,F-InKind,--D,18024,211389,2,0001622077,Class A Common Stock
A,05/03/2023 00:00:00,Zaramella Luca,4,M-Exempt,--D,25380,229413,1,0001622077,Class A Common Stock
A,03/02/2023 00:00:00,Zaramella Luca,4,A-Award,--D,95630,95630,1,0001622077,Stock Options (right to buy)
A,03/02/2023 00:00:00,Valle Gustavo Carlos,4,A-Award,--D,43990,43990,1,0001801568,Stock Options (right to buy)
A,03/02/2023 00:00:00,STEIN LAURA,4,A-Award,--D,36340,36340,1,0001199099,Stock Options (right to buy)
A,03/02/2023 00:00:00,Ramos Daniel E,4,A-Award,--D,28690,28690,1,0001717317,Stock Options (right to buy)
A,03/02/2023 00:00:00,LOZANO MARIANO,4,A-Award,--D,28690,28690,1,0001642286,Stock Options (right to buy)
A,03/02/2023 00:00:00,Gruber Vinzenz P.,4,A-Award,--D,76500,76500,1,0001761351,Stock Options (right to buy)
A,03/02/2023 00:00:00,Call Michael Andrew,4,A-Award,--D,8610,8610,1,0001880601,Stock Options (right to buy)
A,03/02/2023 00:00:00,Brusadelli Maurizio,4,A-Award,--D,47820,47820,1,0001660980,Stock Options (right to buy)
A,03/02/2023 00:00:00,Alviti Paulette,4,A-Award,--D,38250,38250,1,0001578438,Stock Options (right to buy)
A,03/02/2023 00:00:00,Van de Put Dirk,4,A-Award,--D,258190,258190,1,0001536137,Stock Options (right to buy)
D,02/22/2023 00:00:00,Brusadelli Maurizio,4,S-Sale,--D,20675,205081,2,0001660980,Class A Common Stock
D,02/21/2023 00:00:00,Zaramella Luca,4,F-InKind,--D,25335,204033,2,0001622077,Class A Common Stock
A,02/21/2023 00:00:00,Zaramella Luca,4,A-Award,--D,62237,229368,1,0001622077,Class A Common Stock
D,02/21/2023 00:00:00,Valle Gustavo Carlos,4,F-InKind,--D,12672,19485,2,0001801568,Class A Common Stock
A,02/21/2023 00:00:00,Valle Gustavo Carlos,4,A-Award,--D,32122,32157,1,0001801568,Class A Common Stock
D,02/21/2023 00:00:00,STEIN LAURA,4,F-InKind,--D,8735,30693,2,0001199099,Class A Common Stock
A,02/21/2023 00:00:00,STEIN LAURA,4,A-Award,--D,22152,39428,1,0001199099,Class A Common Stock
D,02/21/2023 00:00:00,Gruber Vinzenz P.,4,F-InKind,--D,2341,211426,2,0001761351,Class A Common Stock
A,02/21/2023 00:00:00,Gruber Vinzenz P.,4,A-Award,--D,44161,213767,1,0001761351,Class A Common Stock
D,02/21/2023 00:00:00,Call Michael Andrew,4,F-InKind,--D,1663,9650,2,0001880601,Class A Common Stock
A,02/21/2023 00:00:00,Call Michael Andrew,4,A-Award,--D,5420,11313,1,0001880601,Class A Common Stock
A,02/21/2023 00:00:00,Brusadelli Maurizio,4,A-Award,--D,46168,225756,1,0001660980,Class A Common Stock
D,02/21/2023 00:00:00,Alviti Paulette,4,F-InKind,--D,12675,103509,2,0001578438,Class A Common Stock
A,02/21/2023 00:00:00,Alviti Paulette,4,A-Award,--D,32122,116184,1,0001578438,Class A Common Stock
D,02/21/2023 00:00:00,Van de Put Dirk,4,F-InKind,--D,88682,855701,2,0001536137,Class A Common Stock
A,02/21/2023 00:00:00,Van de Put Dirk,4,A-Award,--D,220790,944383,1,0001536137,Class A Common Stock
A,01/03/2023 00:00:00,Mukherjee Anindita,4,A-Award,--D,1195,1195,1,0001740359,Class A Common Stock
D,12/06/2022 00:00:00,Zaramella Luca,4,M-Exempt,--D,21960,0,3,0001622077,Stock Options (right to buy)
D,12/06/2022 00:00:00,Zaramella Luca,4,F-InKind,--D,16173,167131,2,0001622077,Class A Common Stock
A,12/06/2022 00:00:00,Zaramella Luca,4,M-Exempt,--D,21960,183304,1,0001622077,Class A Common Stock
D,12/05/2022 00:00:00,Brusadelli Maurizio,4,M-Exempt,--D,18620,0,7,0001660980,Stock Options (right to buy)
D,12/05/2022 00:00:00,Brusadelli Maurizio,4,M-Exempt,--D,18300,0,6,0001660980,Stock Options (right to buy)
D,12/05/2022 00:00:00,Brusadelli Maurizio,4,S-Sale,--I,22388,0,5,0001660980,Class A Common Stock
D,12/05/2022 00:00:00,Brusadelli Maurizio,4,F-InKind,--D,13817,179588,4,0001660980,Class A Common Stock
A,12/05/2022 00:00:00,Brusadelli Maurizio,4,M-Exempt,--D,18620,193405,3,0001660980,Class A Common Stock
D,12/05/2022 00:00:00,Brusadelli Maurizio,4,F-InKind,--D,13170,174785,2,0001660980,Class A Common Stock
A,12/05/2022 00:00:00,Brusadelli Maurizio,4,M-Exempt,--D,18300,187955,1,0001660980,Class A Common Stock
D,12/02/2022 00:00:00,Gruber Vinzenz P.,4,M-Exempt,--D,20130,0,6,0001761351,Stock Options (right to buy)
D,12/02/2022 00:00:00,Gruber Vinzenz P.,4,M-Exempt,--D,22190,0,5,0001761351,Stock Options (right to buy)
D,12/02/2022 00:00:00,Gruber Vinzenz P.,4,F-InKind,--D,10653,169606,4,0001761351,Class A Common Stock
A,12/02/2022 00:00:00,Gruber Vinzenz P.,4,M-Exempt,--D,20130,180259,3,0001761351,Class A Common Stock
D,12/02/2022 00:00:00,Gruber Vinzenz P.,4,F-InKind,--D,9566,160129,2,0001761351,Class A Common Stock
A,12/02/2022 00:00:00,Gruber Vinzenz P.,4,M-Exempt,--D,22190,169695,1,0001761351,Class A Common Stock
A,11/08/2022 00:00:00,Ramos Daniel E,4,A-Award,--D,19560,19560,2,0001717317,Stock Options (right to buy)
A,11/08/2022 00:00:00,Ramos Daniel E,4,A-Award,--D,3920,3920,1,0001717317,Class A Common Stock
D,07/08/2022 00:00:00,COUSIN ERTHARIN,4,S-Sale,--D,67,4319,1,0001219349,Class A Common Stock
A,05/18/2022 00:00:00,TODMAN MICHAEL,4,A-Award,--D,3118,9919,1,0001224298,Class A Common Stock
A,05/18/2022 00:00:00,Siewert Patrick,4,A-Award,--D,3118,45217,1,0001324047,Class A Common Stock
A,05/18/2022 00:00:00,Shi Christiana Smith,4,A-Award,--D,3118,28602,1,0001529495,Class A Common Stock
A,05/18/2022 00:00:00,Nielsen Jane,4,A-Award,--D,3118,6232,1,0001528871,Class A Common Stock
A,05/18/2022 00:00:00,Mesquita Jorge S.,4,A-Award,--D,3118,51934,1,0001547344,Class A Common Stock
A,05/18/2022 00:00:00,JULIBER LOIS D,4,A-Award,--D,3118,70095,1,0001127294,Class A Common Stock
A,05/18/2022 00:00:00,COUSIN ERTHARIN,4,A-Award,--D,3118,4393,1,0001219349,Class A Common Stock
A,05/18/2022 00:00:00,BUNCH CHARLES E,4,A-Award,--D,3118,40251,1,0001242243,Class A Common Stock
A,05/18/2022 00:00:00,BOOTH LEWIS W K,4,A-Award,--D,3118,60958,1,0001191527,Class A Common Stock
D,05/11/2022 00:00:00,Hargrove Robin S.,4,S-Sale,--D,30500,32024,1,0001637897,Class A Common Stock
A,04/25/2022 00:00:00,LOZANO MARIANO,4,A-Award,--D,26610,26610,1,0001642286,Stock Options (right to buy)
D,02/25/2022 00:00:00,Brusadelli Maurizio,4,S-Sale,--D,26500,169655,2,0001660980,Class A Common Stock
A,02/24/2022 00:00:00,Zaramella Luca,4,A-Award,--D,77340,77340,3,0001622077,Stock Options (right to buy)
D,02/24/2022 00:00:00,Zaramella Luca,4,F-InKind,--D,22757,161344,2,0001622077,Class A Common Stock
A,02/24/2022 00:00:00,Zaramella Luca,4,A-Award,--D,56592,184101,1,0001622077,Class A Common Stock
D,02/24/2022 00:00:00,Walter Glen,4,F-InKind,--D,22181,90170,2,0001564900,Class A Common Stock
A,02/24/2022 00:00:00,Walter Glen,4,A-Award,--D,52816,112351,1,0001564900,Class A Common Stock
A,02/24/2022 00:00:00,Valle Gustavo Carlos,4,A-Award,--D,40610,40610,1,0001801568,Stock Options (right to buy)
A,02/24/2022 00:00:00,STEIN LAURA,4,A-Award,--D,34810,34810,3,0001199099,Stock Options (right to buy)
D,02/24/2022 00:00:00,STEIN LAURA,4,F-InKind,--D,8128,17276,2,0001199099,Class A Common Stock
