MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/15/2023 00:00:00,Somasundaram Sivasankaran,4,A-Award,--D,126,7679,1,0001424543,Phantom Units
A,05/15/2023 00:00:00,Gobillot Lori,4,A-Award,--D,330,20057,1,0001548706,Phantom Units
A,05/15/2023 00:00:00,Guay Edward J,4,A-Award,--D,492,29924,1,0001676944,Phantom Units
A,05/15/2023 00:00:00,Methvin Stacy P.,4,A-Award,--D,169,10247,1,0001582574,Phantom Units
A,05/15/2023 00:00:00,Arnheim Walter R,4,A-Award,--D,2163,131454,1,0001299781,Phantom Units
A,05/15/2023 00:00:00,Joung Chansoo,4,A-Award,--D,161,9748,1,0001355799,Phantom Units
A,05/15/2023 00:00:00,PEARL BARRY R,4,A-Award,--D,432,26225,1,0001235285,Phantom Units
A,05/15/2023 00:00:00,MONTAGUE JAMES R,4,A-Award,--D,864,52553,1,0001161244,Phantom Units
A,04/03/2023 00:00:00,Gobillot Lori,4,A-Award,--D,797,19727,1,0001548706,Phantom Units
A,04/03/2023 00:00:00,Somasundaram Sivasankaran,4,A-Award,--D,770,7553,1,0001424543,Phantom Units
A,02/14/2023 00:00:00,MONTAGUE JAMES R,4,A-Award,--D,990,51689,1,0001161244,Phantom Units
A,02/14/2023 00:00:00,Arnheim Walter R,4,A-Award,--D,2477,129291,1,0001299781,Phantom Units
A,02/14/2023 00:00:00,Somasundaram Sivasankaran,4,A-Award,--D,130,6783,1,0001424543,Phantom Units
A,02/14/2023 00:00:00,Gobillot Lori,4,A-Award,--D,362,18930,1,0001548706,Phantom Units
A,02/14/2023 00:00:00,PEARL BARRY R,4,A-Award,--D,493,25793,1,0001235285,Phantom Units
A,02/14/2023 00:00:00,Guay Edward J,4,A-Award,--D,563,29432,1,0001676944,Phantom Units
A,02/14/2023 00:00:00,Methvin Stacy P.,4,A-Award,--D,193,10078,1,0001582574,Phantom Units
A,02/14/2023 00:00:00,Joung Chansoo,4,A-Award,--D,183,9587,1,0001355799,Phantom Units
A,01/24/2023 00:00:00,Somasundaram Sivasankaran,4/A,A-Award,--D,79,6653,1,0001424543,Phantom Units
