MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/15/2023 00:00:00,Rao Varsha Rajendra,4,A-Award,--D,1264,11764,1,0001711492,Common Stock
A,06/15/2023 00:00:00,Ogunlesi Adebayo O.,4,A-Award,--D,1391,94738,1,0001481450,Common Stock
A,06/15/2023 00:00:00,FLEISCHER RUSSELL L,4,A-Award,--D,1454,50279,1,0001108424,Common Stock
A,06/15/2023 00:00:00,Dundon Thomas G.,4,A-Award,--D,917,61865,1,0001518314,Common Stock
A,06/08/2023 00:00:00,Ogunlesi Adebayo O.,4,P-Purchase,--I,100000,100000,1,0001481450,Common Stock
A,06/06/2023 00:00:00,Turney C. Matthew,4,A-Award,--D,6988,6988,1,0001978132,Restricted Stock Units
A,06/06/2023 00:00:00,Ogunlesi Adebayo O.,4,A-Award,--D,6988,6988,1,0001481450,Restricted Stock Units
A,06/06/2023 00:00:00,THORNLEY ANTHONY S,4,A-Award,--D,6988,6988,1,0001191319,Restricted Stock Units
A,06/06/2023 00:00:00,SEGRE LINDA B,4,A-Award,--D,6988,6988,1,0001470125,Restricted Stock Units
A,06/06/2023 00:00:00,Rao Varsha Rajendra,4,A-Award,--D,6988,6988,1,0001711492,Restricted Stock Units
A,06/06/2023 00:00:00,Marimow Scott M.,4,A-Award,--D,6988,6988,1,0001849180,Restricted Stock Units
A,06/06/2023 00:00:00,LUNDGREN JOHN F,4,A-Award,--D,6988,6988,1,0001215250,Restricted Stock Units
A,06/06/2023 00:00:00,Holloway Bavan,4,A-Award,--D,6988,6988,1,0001823774,Restricted Stock Units
A,06/06/2023 00:00:00,FLEISCHER RUSSELL L,4,A-Award,--D,6988,6988,1,0001108424,Restricted Stock Units
A,06/06/2023 00:00:00,Flanagan Laura Jean,4,A-Award,--D,6988,6988,1,0001678896,Restricted Stock Units
A,06/06/2023 00:00:00,ANDERSON ERIK J,4,A-Award,--D,6988,6988,1,0001174968,Restricted Stock Units
A,05/31/2023 00:00:00,BREWER OLIVER G III,4,P-Purchase,--I,6400,837556,1,0001072918,Common Stock
A,05/26/2023 00:00:00,BREWER OLIVER G III,4,P-Purchase,--I,3600,831156,2,0001072918,Common Stock
A,05/26/2023 00:00:00,BREWER OLIVER G III,4,P-Purchase,--I,5000,827556,1,0001072918,Common Stock
D,05/25/2023 00:00:00,THORNLEY ANTHONY S,4,M-Exempt,--D,5984,0,2,0001191319,Restricted Stock Units
A,05/25/2023 00:00:00,THORNLEY ANTHONY S,4,M-Exempt,--D,5984,73700,1,0001191319,Common Stock
D,05/25/2023 00:00:00,SEGRE LINDA B,4,M-Exempt,--D,5984,0,2,0001470125,Restricted Stock Units
A,05/25/2023 00:00:00,SEGRE LINDA B,4,M-Exempt,--D,5984,52385,1,0001470125,Common Stock
D,05/25/2023 00:00:00,Rao Varsha Rajendra,4,M-Exempt,--D,5984,0,2,0001711492,Restricted Stock Units
