MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/17/2023 00:00:00,SHERWIN STEPHEN A,4,A-Award,--D,4199,4199,1,0001079462,Restricted Stock Unit
A,05/17/2023 00:00:00,Sharp Shalini,4,A-Award,--D,2100,2100,2,0001377202,Restricted Stock Unit
A,05/17/2023 00:00:00,Sharp Shalini,4,A-Award,--D,4290,4290,1,0001377202,Non-Qualified Stock Option
A,05/17/2023 00:00:00,RASTETTER WILLIAM H,4,A-Award,--D,8579,8579,1,0001205903,Non-Qualified Stock Option
A,05/17/2023 00:00:00,POPS RICHARD F,4,A-Award,--D,4199,4199,1,0001126490,Restricted Stock Unit
A,05/17/2023 00:00:00,Norwalk Leslie V,4,A-Award,--D,2100,2100,2,0001533568,Restricted Stock Unit
A,05/17/2023 00:00:00,Norwalk Leslie V,4,A-Award,--D,4290,4290,1,0001533568,Non-Qualified Stock Option
A,05/17/2023 00:00:00,MORROW GEORGE J,4,A-Award,--D,4199,4199,1,0001068754,Restricted Stock Unit
A,05/17/2023 00:00:00,Mercier Johanna,4,A-Award,--D,2100,2100,2,0001782135,Restricted Stock Unit
A,05/17/2023 00:00:00,Mercier Johanna,4,A-Award,--D,4290,4290,1,0001782135,Non-Qualified Stock Option
A,05/17/2023 00:00:00,LYONS GARY A,4,A-Award,--D,2100,2100,2,0001123343,Restricted Stock Unit
A,05/17/2023 00:00:00,LYONS GARY A,4,A-Award,--D,4290,4290,1,0001123343,Non-Qualified Stock Option
D,05/01/2023 00:00:00,RASTETTER WILLIAM H,4,M-Exempt,--D,7625,0,3,0001205903,Non-Qualified Stock Option
D,05/01/2023 00:00:00,RASTETTER WILLIAM H,4,S-Sale,--D,4300,42785,2,0001205903,Common Stock
A,05/01/2023 00:00:00,RASTETTER WILLIAM H,4,M-Exempt,--D,7625,47085,1,0001205903,Common Stock
D,05/01/2023 00:00:00,Cooke Julie,4,S-Sale,--D,11397,16169,1,0001776977,Common Stock
D,04/25/2023 00:00:00,Cooke Julie,4,S-Sale,--D,100,27561,1,0001776977,Common Stock
