MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,04/28/2023 00:00:00,DeFord John A,4,A-Award,--D,104,2937,1,0001403373,NDSN
D,03/31/2023 00:00:00,Pembroke Jeffrey A,4,S-Sale,--D,19,17584,2,0001659738,NDSN
D,03/30/2023 00:00:00,Pembroke Jeffrey A,4,F-InKind,--D,13,17603,1,0001659738,NDSN
D,03/30/2023 00:00:00,Lovass Stephen,4,F-InKind,--D,14,7938,1,0001319865,NDSN
D,03/22/2023 00:00:00,PEET SHELLY,4/A,J-Other,--D,4093,28451,6,0001390754,NDSN
D,03/22/2023 00:00:00,PEET SHELLY,4/A,J-Other,--D,708,24177,4,0001390754,NDSN
D,03/22/2023 00:00:00,PEET SHELLY,4/A,F-InKind,--D,163,24885,3,0001390754,NDSN
D,03/22/2023 00:00:00,PEET SHELLY,4/A,F-InKind,--D,90,25048,2,0001390754,NDSN
D,03/22/2023 00:00:00,PEET SHELLY,4,J-Other,--D,4093,28451,6,0001390754,NDSN
D,03/22/2023 00:00:00,PEET SHELLY,4,J-Other,--D,708,24295,4,0001390754,NDSN
D,03/22/2023 00:00:00,PEET SHELLY,4,F-InKind,--D,68,25003,3,0001390754,NDSN
D,03/22/2023 00:00:00,PEET SHELLY,4,F-InKind,--D,67,25071,2,0001390754,NDSN
A,03/01/2023 00:00:00,Siddiqui Sarah,4/A,A-Award,--D,1938,1938,2,0001966801,NDSN
A,03/01/2023 00:00:00,Siddiqui Sarah,4/A,A-Award,--D,311,311,1,0001966801,NDSN
A,03/01/2023 00:00:00,Siddiqui Sarah,4,A-Award,--D,626,626,2,0001966801,NDSN
A,03/01/2023 00:00:00,Siddiqui Sarah,4,A-Award,--D,311,311,1,0001966801,NDSN
D,02/13/2023 00:00:00,Pembroke Jeffrey A,4,M-Exempt,--D,3200,53869,7,0001659738,NDSN
D,02/13/2023 00:00:00,Pembroke Jeffrey A,4,M-Exempt,--D,1800,57069,6,0001659738,NDSN
D,02/13/2023 00:00:00,Pembroke Jeffrey A,4,S-Sale,--D,3200,17600,4,0001659738,NDSN
A,02/13/2023 00:00:00,Pembroke Jeffrey A,4,M-Exempt,--D,3200,20800,3,0001659738,NDSN
D,02/13/2023 00:00:00,Pembroke Jeffrey A,4,S-Sale,--D,1800,17600,2,0001659738,NDSN
A,02/13/2023 00:00:00,Pembroke Jeffrey A,4,M-Exempt,--D,1800,19400,1,0001659738,NDSN
D,02/06/2023 00:00:00,Kelley Joseph P,4,S-Sale,--D,2100,9091,1,0001629963,NDSN
A,01/31/2023 00:00:00,DeFord John A,4,A-Award,--D,92,2818,1,0001403373,NDSN
D,01/09/2023 00:00:00,PEET SHELLY,4,S-Sale,--D,1611,25061,1,0001390754,NDSN
D,01/04/2023 00:00:00,PEET SHELLY,4,F-InKind,--D,670,26672,4,0001390754,NDSN
D,01/04/2023 00:00:00,Kelley Joseph P,4,F-InKind,--D,2306,11191,2,0001629963,NDSN
A,01/04/2023 00:00:00,Kelley Joseph P,4,M-Exempt,--D,5578,13497,1,0001629963,NDSN
D,01/04/2023 00:00:00,Lovass Stephen,4,F-InKind,--D,763,7952,2,0001319865,NDSN
A,01/04/2023 00:00:00,Lovass Stephen,4,M-Exempt,--D,933,8715,1,0001319865,NDSN
D,01/04/2023 00:00:00,DeVries James E,4,F-InKind,--D,690,46713,2,0001536454,NDSN
A,01/04/2023 00:00:00,DeVries James E,4,M-Exempt,--D,891,47403,1,0001536454,NDSN
D,01/04/2023 00:00:00,NAGARAJAN SUNDARAM,4,F-InKind,--D,1232,34527,2,0001498509,NDSN
A,01/04/2023 00:00:00,NAGARAJAN SUNDARAM,4,M-Exempt,--D,6090,35759,1,0001498509,NDSN
