MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/16/2023 00:00:00,ROGERS JAMES E,4,G-Gift,--D,25,3180,1,0001182166,Common Stock
D,06/07/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,4070,0,6,0001246518,Common Stock
A,06/07/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--D,5476,52232,5,0001246518,Common Stock
D,06/07/2023 00:00:00,GOTTWALD BRUCE C,4,G-Gift,--I,16430,0,2,0000919561,Common Stock
A,06/06/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,252,252,4,0001246518,Common Stock
A,06/06/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,84,1178,3,0001246518,Common Stock
A,06/06/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,84,1572,2,0001246518,Common Stock
D,06/06/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--D,84,23261,1,0001246518,Common Stock
D,06/06/2023 00:00:00,GOTTWALD BRUCE C,4,G-Gift,--D,168,454343,1,0000919561,Common Stock
D,02/23/2023 00:00:00,Paliotti Brian D,4,F-InKind,--D,249,2221,2,0001627976,Common Stock
A,02/23/2023 00:00:00,Paliotti Brian D,4,A-Award,--D,825,2470,1,0001627976,Common Stock
D,02/23/2023 00:00:00,Hazelgrove Bruce R III,4,F-InKind,--D,249,1323,2,0001318864,Common Stock
A,02/23/2023 00:00:00,Hazelgrove Bruce R III,4,A-Award,--D,825,1572,1,0001318864,Common Stock
D,02/23/2023 00:00:00,GOTTWALD THOMAS E,4,F-InKind,--D,364,23345,2,0001246518,Common Stock
A,02/23/2023 00:00:00,GOTTWALD THOMAS E,4,A-Award,--D,1175,23709,1,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,297,297,12,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,198,501,11,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,297,843,10,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,198,880,9,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,198,1094,8,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,297,1408,7,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,198,1488,6,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,297,1718,5,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,297,2166,4,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--I,99,5087,3,0001246518,Common Stock
D,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--D,1881,22534,2,0001246518,Common Stock
A,02/22/2023 00:00:00,GOTTWALD THOMAS E,4,G-Gift,--D,99,24415,1,0001246518,Common Stock
D,02/22/2023 00:00:00,GOTTWALD BRUCE C,4,G-Gift,--D,4059,369955,1,0000919561,Common Stock
D,02/06/2023 00:00:00,ROGERS JAMES E,4,S-Sale,--D,393,3205,1,0001182166,Common Stock
A,02/03/2023 00:00:00,Ridgeway Gail,4,A-Award,--D,60,60,1,0001962438,Common Stock
A,02/03/2023 00:00:00,Warner Cameron D.,4,A-Award,--D,30,978,1,0001533858,Common Stock
D,12/16/2022 00:00:00,GOTTWALD THOMAS E,5,G-Gift,--I,160000,46407,13,0001246518,Common Stock
