MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/01/2023 00:00:00,Shaw Alan H.,4,S-Sale,--D,2000,30654,1,0001643244,Common Stock
A,05/20/2023 00:00:00,Scanlon Jennifer F.,4,A-Award,--D,32.1483,5208.8543,2,0001426641,Restricted Stock Units
A,05/20/2023 00:00:00,Scanlon Jennifer F.,4,A-Award,--D,0.8774,142.3868,1,0001426641,Deferred Stock Units - Dir. Def. Fee Plan
A,05/20/2023 00:00:00,LOCKHART MICHAEL D,4,A-Award,--D,178.1093,29608.3227,2,0001215151,Restricted Stock Units
A,05/20/2023 00:00:00,LOCKHART MICHAEL D,4,A-Award,--D,93.6669,15201.1072,1,0001215151,Deferred Stock Units - Dir. Def. Fee Plan
A,05/20/2023 00:00:00,LEER STEVEN F,4,A-Award,--D,496.7322,81233.5023,2,0001046086,Restricted Stock Units
A,05/20/2023 00:00:00,LEER STEVEN F,4,A-Award,--D,262.38,42581.3706,1,0001046086,Deferred Stock Units - Dir. Def. Fee Plan
A,05/20/2023 00:00:00,KELLEHER THOMAS COLM,4,A-Award,--D,25.2918,4097.928,2,0001413097,Restricted Stock Units
A,05/20/2023 00:00:00,KELLEHER THOMAS COLM,4,A-Award,--D,10.8946,1768.0704,1,0001413097,Deferred Stock Units - Dir. Def. Fee Plan
A,05/20/2023 00:00:00,Huffard John C Jr,4,A-Award,--D,18.108,2933.9709,2,0001747299,Restricted Stock Units
A,05/20/2023 00:00:00,Huffard John C Jr,4,A-Award,--D,6.6283,1075.6967,1,0001747299,Deferred Stock Units - Dir. Def. Fee Plan
A,05/20/2023 00:00:00,MONGEAU CLAUDE,4,A-Award,--D,20.3591,3298.7004,1,0001368278,Restricted Stock Units
A,05/20/2023 00:00:00,MILES AMY E,4,A-Award,--D,84.2111,13644.3831,1,0001248617,Restricted Stock Units
A,05/20/2023 00:00:00,Jones Christopher T,4,A-Award,--D,18.108,2933.9709,1,0001559104,Restricted Stock Units
A,05/20/2023 00:00:00,Donadio Marcela E,4,A-Award,--D,41.795,6771.867,1,0001604594,Restricted Stock Units
A,05/20/2023 00:00:00,Daniels Mitchell E,4,A-Award,--D,37.1352,6016.8636,1,0001595651,Restricted Stock Units
A,05/20/2023 00:00:00,BELL THOMAS D JR,4,A-Award,--D,139.4809,23349.5255,1,0001250947,Restricted Stock Units
A,05/20/2023 00:00:00,THOMPSON JOHN R,4,A-Award,--D,78.7575,12760.7518,2,0001202532,Restricted Stock Units
D,05/01/2023 00:00:00,Shaw Alan H.,4,G-Gift,--D,122,32654,1,0001643244,Common Stock
A,04/28/2023 00:00:00,MILES AMY E,4,A-Award,--D,490,13560.172,1,0001248617,Restricted Stock Units
D,04/28/2023 00:00:00,Duncan Paul B,4,M-Exempt,--D,1505,4778,6,0001956427,Restricted Stock Units
D,04/28/2023 00:00:00,Duncan Paul B,4,M-Exempt,--D,187,6283,5,0001956427,Restricted Stock Units
D,04/28/2023 00:00:00,Duncan Paul B,4,F-InKind,--D,418,1226,4,0001956427,Common Stock
D,04/28/2023 00:00:00,Duncan Paul B,4,F-InKind,--D,52,1644,3,0001956427,Common Stock
A,04/28/2023 00:00:00,Duncan Paul B,4,M-Exempt,--D,187,1696,2,0001956427,Common Stock
A,04/28/2023 00:00:00,Duncan Paul B,4,M-Exempt,--D,1505,1509,1,0001956427,Common Stock
D,04/28/2023 00:00:00,Nag Nabanita C,4,M-Exempt,--D,170,4099,3,0001915778,Restricted Stock Units
D,04/28/2023 00:00:00,Nag Nabanita C,4,F-InKind,--D,48,843,2,0001915778,Common Stock
A,04/28/2023 00:00:00,Nag Nabanita C,4,M-Exempt,--D,170,891,1,0001915778,Common Stock
D,04/28/2023 00:00:00,Moore Claiborne L,4,M-Exempt,--D,87,2348,5,0001912029,Restricted Stock Units
A,04/28/2023 00:00:00,Moore Claiborne L,4,A-Award,--D,100,2435,4,0001912029,Restricted Stock Units
D,04/28/2023 00:00:00,Moore Claiborne L,4,F-InKind,--D,25,2743,2,0001912029,Common Stock
A,04/28/2023 00:00:00,Moore Claiborne L,4,M-Exempt,--D,87,2768,1,0001912029,Common Stock
