MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,05/25/2023 00:00:00,Conley Eric,4,F-InKind,--D,642,45191,1,0001966479,Common Stock
A,05/23/2023 00:00:00,Hulit Barbara B.,4,A-Award,--D,5425,12290,1,0001682154,Common Stock
A,05/23/2023 00:00:00,Raskas Daniel,4,A-Award,--D,5425,24145,1,0001306860,Common Stock
A,05/23/2023 00:00:00,Carruthers Wendy,4,A-Award,--D,5425,30075,1,0001563565,Common Stock
A,05/23/2023 00:00:00,GALLAHUE KIERAN,4,A-Award,--D,5425,24145,1,0001308428,Common Stock
A,05/23/2023 00:00:00,Jain Vivek,4,A-Award,--D,5425,23080,1,0001410442,Common Stock
A,05/23/2023 00:00:00,TSINGOS CHRISTINE A,4,A-Award,--D,5425,30065,1,0001278861,Common Stock
A,05/23/2023 00:00:00,Huennekens R Scott,4,A-Award,--D,7625,40980,1,0001365493,Common Stock
A,05/12/2023 00:00:00,Conley Eric,4,A-Award,--D,9,3487,1,0001966479,Envista deferred contribution programs - Envista Stock Fund
A,04/28/2023 00:00:00,Conley Eric,4,A-Award,--D,8,3478,1,0001966479,Envista deferred contribution programs - Envista Stock Fund
A,04/14/2023 00:00:00,Conley Eric,4,A-Award,--D,0,3470,1,0001966479,Envista deferred contribution programs - Envista Stock Fund
A,04/04/2023 00:00:00,Eriksson Patrik,4,A-Award,--D,2222,42099,1,0001788001,Executive Deferred Incentive Program - Envista Stock Fund
A,04/04/2023 00:00:00,Aghdaei Amir,4,A-Award,--D,5881,76013,1,0001410055,Executive Deferred Incentive Program - Envista Stock Fund
A,04/04/2023 00:00:00,Kyrillos Jean-Claude,4,A-Award,--D,516,1431,1,0001804186,Envista deferred contribution programs - Envista Stock Fund
A,04/04/2023 00:00:00,Nance Mark E,4,A-Award,--D,1308,3118,1,0001755882,Envista deferred contribution programs - Envista Stock Fund
A,04/04/2023 00:00:00,Conley Eric,4,A-Award,--D,928,3462,1,0001966479,Envista deferred contribution programs - Envista Stock Fund
A,04/04/2023 00:00:00,Yu Howard H,4,A-Award,--D,1513,3871,1,0001787930,Envista deferred contribution programs - Envista Stock Fund
