MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,04/12/2023 00:00:00,PANUCCIO SUSAN,4,A-Award,--D,227,40313,3,0001699937,Stock-Settled Restricted Stock Units
A,04/12/2023 00:00:00,PANUCCIO SUSAN,4,A-Award,--D,107,19106,2,0001699937,Stock-Settled Restricted Stock Units
A,04/12/2023 00:00:00,PANUCCIO SUSAN,4,A-Award,--D,83,14816,1,0001699937,Stock-Settled Restricted Stock Units
A,04/12/2023 00:00:00,Thomson Robert J,4,A-Award,--D,728,129008,3,0001579380,Cash-Settled Restricted Stock Units
A,04/12/2023 00:00:00,Thomson Robert J,4,A-Award,--D,294,52105,2,0001579380,Cash-Settled Restricted Stock Units
A,04/12/2023 00:00:00,Thomson Robert J,4,A-Award,--D,228,40406,1,0001579380,Cash-Settled Restricted Stock Units
A,04/12/2023 00:00:00,Pitofsky David B,4,A-Award,--D,154,27413,3,0001632944,Stock-Settled Restricted Stock Units
A,04/12/2023 00:00:00,Pitofsky David B,4,A-Award,--D,78,13894,2,0001632944,Stock-Settled Restricted Stock Units
A,04/12/2023 00:00:00,Pitofsky David B,4,A-Award,--D,53,9430,1,0001632944,Stock-Settled Restricted Stock Units
A,04/12/2023 00:00:00,DeGrazio Marygrace,4,A-Award,--D,108,19215,3,0001938113,Stock-Settled Restricted Stock Units
A,04/12/2023 00:00:00,DeGrazio Marygrace,4,A-Award,--D,42,7454,2,0001938113,Stock-Settled Restricted Stock Units
A,04/12/2023 00:00:00,DeGrazio Marygrace,4,A-Award,--D,31,5610,1,0001938113,Stock-Settled Restricted Stock Units
A,04/12/2023 00:00:00,MURDOCH  KEITH  RUPERT,4,A-Award,--D,182,32251,3,0001024835,Cash-Settled Restricted Stock Units
A,04/12/2023 00:00:00,MURDOCH  KEITH  RUPERT,4,A-Award,--D,98,17368,2,0001024835,Cash-Settled Restricted Stock Units
A,04/12/2023 00:00:00,MURDOCH  KEITH  RUPERT,4,A-Award,--D,76,13471,1,0001024835,Cash-Settled Restricted Stock Units
D,04/12/2023 00:00:00,Ayotte Kelly,4,M-Exempt,--D,14,56227,4,0001702559,Deferred Stock Units
A,04/12/2023 00:00:00,Ayotte Kelly,4,A-Award,--D,306,56241,3,0001702559,Deferred Stock Units
D,04/12/2023 00:00:00,Ayotte Kelly,4,D-Return,--D,14,0,2,0001702559,Class A Common Stock
A,04/12/2023 00:00:00,Ayotte Kelly,4,M-Exempt,--D,14,14,1,0001702559,Class A Common Stock
D,04/12/2023 00:00:00,MURDOCH LACHLAN K,4,M-Exempt,--D,14,56227,4,0001242818,Deferred Stock Units
A,04/12/2023 00:00:00,MURDOCH LACHLAN K,4,A-Award,--D,306,56241,3,0001242818,Deferred Stock Units
D,04/12/2023 00:00:00,MURDOCH LACHLAN K,4,D-Return,--D,14,114,2,0001242818,Class A Common Stock
A,04/12/2023 00:00:00,MURDOCH LACHLAN K,4,M-Exempt,--D,14,128,1,0001242818,Class A Common Stock
D,04/12/2023 00:00:00,Siddiqui Masroor,4,M-Exempt,--D,14,56227,4,0001579381,Deferred Stock Units
A,04/12/2023 00:00:00,Siddiqui Masroor,4,A-Award,--D,306,56241,3,0001579381,Deferred Stock Units
D,04/12/2023 00:00:00,Siddiqui Masroor,4,D-Return,--D,14,0,2,0001579381,Class A Common Stock
A,04/12/2023 00:00:00,Siddiqui Masroor,4,M-Exempt,--D,14,14,1,0001579381,Class A Common Stock
D,04/12/2023 00:00:00,Pessoa Ana Paula,4,M-Exempt,--D,14,56227,4,0001579383,Deferred Stock Units
A,04/12/2023 00:00:00,Pessoa Ana Paula,4,A-Award,--D,306,56241,3,0001579383,Deferred Stock Units
D,04/12/2023 00:00:00,Pessoa Ana Paula,4,D-Return,--D,14,0,2,0001579383,Class A Common Stock
A,04/12/2023 00:00:00,Pessoa Ana Paula,4,M-Exempt,--D,14,14,1,0001579383,Class A Common Stock
D,04/12/2023 00:00:00,BANCROFT NATALIE,4,M-Exempt,--D,14,56227,4,0001420489,Deferred Stock Units
A,04/12/2023 00:00:00,BANCROFT NATALIE,4,A-Award,--D,306,56241,3,0001420489,Deferred Stock Units
D,04/12/2023 00:00:00,BANCROFT NATALIE,4,D-Return,--D,14,0,2,0001420489,Class A Common Stock
A,04/12/2023 00:00:00,BANCROFT NATALIE,4,M-Exempt,--D,14,14,1,0001420489,Class A Common Stock
D,04/12/2023 00:00:00,AZNAR JOSE MARIA,4,M-Exempt,--D,14,56227,4,0001367776,Deferred Stock Units
A,04/12/2023 00:00:00,AZNAR JOSE MARIA,4,A-Award,--D,306,56241,3,0001367776,Deferred Stock Units
D,04/12/2023 00:00:00,AZNAR JOSE MARIA,4,D-Return,--D,14,1087,2,0001367776,Class A Common Stock
A,04/12/2023 00:00:00,AZNAR JOSE MARIA,4,M-Exempt,--D,14,1101,1,0001367776,Class A Common Stock
A,04/03/2023 00:00:00,Pessoa Ana Paula,4,A-Award,--D,2511,55935,4,0001579383,Deferred Stock Units
D,04/03/2023 00:00:00,Pessoa Ana Paula,4,M-Exempt,--D,2491,53424,3,0001579383,Deferred Stock Units
D,04/03/2023 00:00:00,Pessoa Ana Paula,4,D-Return,--D,2491,0,2,0001579383,Class A Common Stock
A,04/03/2023 00:00:00,Pessoa Ana Paula,4,M-Exempt,--D,2491,2491,1,0001579383,Class A Common Stock
A,04/03/2023 00:00:00,BANCROFT NATALIE,4,A-Award,--D,2511,55935,4,0001420489,Deferred Stock Units
D,04/03/2023 00:00:00,BANCROFT NATALIE,4,M-Exempt,--D,2491,53424,3,0001420489,Deferred Stock Units
D,04/03/2023 00:00:00,BANCROFT NATALIE,4,D-Return,--D,2491,0,2,0001420489,Class A Common Stock
A,04/03/2023 00:00:00,BANCROFT NATALIE,4,M-Exempt,--D,2491,2491,1,0001420489,Class A Common Stock
A,04/03/2023 00:00:00,MURDOCH LACHLAN K,4,A-Award,--D,2511,55935,4,0001242818,Deferred Stock Units
D,04/03/2023 00:00:00,MURDOCH LACHLAN K,4,M-Exempt,--D,2491,53424,3,0001242818,Deferred Stock Units
D,04/03/2023 00:00:00,MURDOCH LACHLAN K,4,D-Return,--D,2491,114,2,0001242818,Class A Common Stock
A,04/03/2023 00:00:00,MURDOCH LACHLAN K,4,M-Exempt,--D,2491,2605,1,0001242818,Class A Common Stock
A,04/03/2023 00:00:00,Ayotte Kelly,4,A-Award,--D,2511,55935,4,0001702559,Deferred Stock Units
D,04/03/2023 00:00:00,Ayotte Kelly,4,M-Exempt,--D,2491,53424,3,0001702559,Deferred Stock Units
D,04/03/2023 00:00:00,Ayotte Kelly,4,D-Return,--D,2491,0,2,0001702559,Class A Common Stock
A,04/03/2023 00:00:00,Ayotte Kelly,4,M-Exempt,--D,2491,2491,1,0001702559,Class A Common Stock
A,04/03/2023 00:00:00,Siddiqui Masroor,4,A-Award,--D,2511,55935,4,0001579381,Deferred Stock Units
D,04/03/2023 00:00:00,Siddiqui Masroor,4,M-Exempt,--D,2491,53424,3,0001579381,Deferred Stock Units
D,04/03/2023 00:00:00,Siddiqui Masroor,4,D-Return,--D,2491,0,2,0001579381,Class A Common Stock
A,04/03/2023 00:00:00,Siddiqui Masroor,4,M-Exempt,--D,2491,2491,1,0001579381,Class A Common Stock
A,04/03/2023 00:00:00,AZNAR JOSE MARIA,4,A-Award,--D,2511,55935,4,0001367776,Deferred Stock Units
D,04/03/2023 00:00:00,AZNAR JOSE MARIA,4,M-Exempt,--D,2491,53424,3,0001367776,Deferred Stock Units
D,04/03/2023 00:00:00,AZNAR JOSE MARIA,4,D-Return,--D,2491,1087,2,0001367776,Class A Common Stock
A,04/03/2023 00:00:00,AZNAR JOSE MARIA,4,M-Exempt,--D,2491,3578,1,0001367776,Class A Common Stock
D,03/03/2023 00:00:00,Pitofsky David B,4,S-Sale,--D,23750,63956,1,0001632944,Class A Common Stock
A,01/03/2023 00:00:00,Siddiqui Masroor,4,A-Award,--D,2390,55915,4,0001579381,Deferred Stock Units
D,01/03/2023 00:00:00,Siddiqui Masroor,4,M-Exempt,--D,2351,53525,3,0001579381,Deferred Stock Units
D,01/03/2023 00:00:00,Siddiqui Masroor,4,D-Return,--D,2351,0,2,0001579381,Class A Common Stock
A,01/03/2023 00:00:00,Siddiqui Masroor,4,M-Exempt,--D,2351,2351,1,0001579381,Class A Common Stock
A,01/03/2023 00:00:00,Pessoa Ana Paula,4,A-Award,--D,2390,55915,4,0001579383,Deferred Stock Units
D,01/03/2023 00:00:00,Pessoa Ana Paula,4,M-Exempt,--D,2351,53525,3,0001579383,Deferred Stock Units
D,01/03/2023 00:00:00,Pessoa Ana Paula,4,D-Return,--D,2351,0,2,0001579383,Class A Common Stock
A,01/03/2023 00:00:00,Pessoa Ana Paula,4,M-Exempt,--D,2351,2351,1,0001579383,Class A Common Stock
A,01/03/2023 00:00:00,MURDOCH LACHLAN K,4,A-Award,--D,2390,55915,4,0001242818,Deferred Stock Units
D,01/03/2023 00:00:00,MURDOCH LACHLAN K,4,M-Exempt,--D,2351,53525,3,0001242818,Deferred Stock Units
D,01/03/2023 00:00:00,MURDOCH LACHLAN K,4,D-Return,--D,2351,114,2,0001242818,Class A Common Stock
A,01/03/2023 00:00:00,MURDOCH LACHLAN K,4,M-Exempt,--D,2351,2465,1,0001242818,Class A Common Stock
A,01/03/2023 00:00:00,BANCROFT NATALIE,4,A-Award,--D,2390,55915,4,0001420489,Deferred Stock Units
D,01/03/2023 00:00:00,BANCROFT NATALIE,4,M-Exempt,--D,2351,53525,3,0001420489,Deferred Stock Units
D,01/03/2023 00:00:00,BANCROFT NATALIE,4,D-Return,--D,2351,0,2,0001420489,Class A Common Stock
A,01/03/2023 00:00:00,BANCROFT NATALIE,4,M-Exempt,--D,2351,2351,1,0001420489,Class A Common Stock
A,01/03/2023 00:00:00,AZNAR JOSE MARIA,4,A-Award,--D,2390,55915,4,0001367776,Deferred Stock Units
D,01/03/2023 00:00:00,AZNAR JOSE MARIA,4,M-Exempt,--D,2351,53525,3,0001367776,Deferred Stock Units
D,01/03/2023 00:00:00,AZNAR JOSE MARIA,4,D-Return,--D,2351,1087,2,0001367776,Class A Common Stock
A,01/03/2023 00:00:00,AZNAR JOSE MARIA,4,M-Exempt,--D,2351,3438,1,0001367776,Class A Common Stock
A,01/03/2023 00:00:00,Ayotte Kelly,4,A-Award,--D,2390,55915,4,0001702559,Deferred Stock Units
D,01/03/2023 00:00:00,Ayotte Kelly,4,M-Exempt,--D,2351,53525,3,0001702559,Deferred Stock Units
D,01/03/2023 00:00:00,Ayotte Kelly,4,D-Return,--D,2351,0,2,0001702559,Class A Common Stock
A,01/03/2023 00:00:00,Ayotte Kelly,4,M-Exempt,--D,2351,2351,1,0001702559,Class A Common Stock
A,10/12/2022 00:00:00,DeGrazio Marygrace,4,A-Award,--D,122,19107,3,0001938113,Stock-Settled Restricted Stock Units
A,10/12/2022 00:00:00,DeGrazio Marygrace,4,A-Award,--D,47,7412,2,0001938113,Stock-Settled Restricted Stock Units
A,10/12/2022 00:00:00,DeGrazio Marygrace,4,A-Award,--D,35,5579,1,0001938113,Stock-Settled Restricted Stock Units
A,10/12/2022 00:00:00,Pitofsky David B,4,A-Award,--D,175,27259,3,0001632944,Stock-Settled Restricted Stock Units
A,10/12/2022 00:00:00,Pitofsky David B,4,A-Award,--D,88,13816,2,0001632944,Stock-Settled Restricted Stock Units
A,10/12/2022 00:00:00,Pitofsky David B,4,A-Award,--D,60,9377,1,0001632944,Stock-Settled Restricted Stock Units
A,10/12/2022 00:00:00,PANUCCIO SUSAN,4,A-Award,--D,257,40086,3,0001699937,Stock-Settled Restricted Stock Units
A,10/12/2022 00:00:00,PANUCCIO SUSAN,4,A-Award,--D,122,18999,2,0001699937,Stock-Settled Restricted Stock Units
A,10/12/2022 00:00:00,PANUCCIO SUSAN,4,A-Award,--D,94,14733,1,0001699937,Stock-Settled Restricted Stock Units
A,10/12/2022 00:00:00,Thomson Robert J,4,A-Award,--D,824,128280,3,0001579380,Cash-Settled Restricted Stock Units
A,10/12/2022 00:00:00,Thomson Robert J,4,A-Award,--D,332,51811,2,0001579380,Cash-Settled Restricted Stock Units
A,10/12/2022 00:00:00,Thomson Robert J,4,A-Award,--D,258,40178,1,0001579380,Cash-Settled Restricted Stock Units
A,10/12/2022 00:00:00,MURDOCH  KEITH  RUPERT,4,A-Award,--D,206,32069,3,0001024835,Cash-Settled Restricted Stock Units
A,10/12/2022 00:00:00,MURDOCH  KEITH  RUPERT,4,A-Award,--D,110,17270,2,0001024835,Cash-Settled Restricted Stock Units
A,10/12/2022 00:00:00,MURDOCH  KEITH  RUPERT,4,A-Award,--D,86,13395,1,0001024835,Cash-Settled Restricted Stock Units
D,10/12/2022 00:00:00,Siddiqui Masroor,4,M-Exempt,--D,18,55876,4,0001579381,Deferred Stock Units
