MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/22/2023 00:00:00,Kelly Christie B.,4,A-Award,--D,7924,30091,1,0001457703,Common Stock
D,05/23/2023 00:00:00,Kelly Christie B.,4,F-InKind,--D,545,22167,1,0001457703,Common Stock
A,05/23/2023 00:00:00,MERRIMAN RONALD,4,A-Award,--I,4000,30075,1,0001254762,Common Stock
A,05/23/2023 00:00:00,McLaughlin Gregory,4,A-Award,--I,4000,31886,1,0001403051,Common Stock
A,05/23/2023 00:00:00,MCKEE MICHAEL D,4,A-Award,--I,4000,133200,1,0001183487,Common Stock
A,05/23/2023 00:00:00,LOPEZ GERARDO I,4,A-Award,--D,4000,24000,1,0001248032,Common Stock
A,05/23/2023 00:00:00,Huskins Priya Cherian,4,A-Award,--I,4000,43400,1,0001419882,Common Stock
A,05/23/2023 00:00:00,Preusse Mary Hogan,4,A-Award,--D,4000,24291,1,0001697749,Common Stock
A,05/23/2023 00:00:00,GILYARD REGINALD HAROLD,4,A-Award,--D,4000,20000,1,0001706594,Common Stock
A,05/23/2023 00:00:00,Chapman A. Larry,4,A-Award,--I,4000,14090,1,0001542647,Common Stock
A,05/23/2023 00:00:00,Brady Jacqueline Valerie,4,A-Award,--D,4000,12048.24,1,0001863142,Common Stock
A,05/23/2023 00:00:00,Almodovar Priscilla,4,A-Award,--D,4000,14333,1,0001847531,Common Stock
D,02/27/2023 00:00:00,Abraham Neil,4,S-Sale,--D,26600,41630,1,0001638926,Common Stock
A,02/13/2023 00:00:00,Roy Sumit,4,A-Award,--D,26441,253338,5,0001529329,Common Stock
D,02/13/2023 00:00:00,Roy Sumit,4,F-InKind,--D,4267,226897,4,0001529329,Common Stock
A,02/13/2023 00:00:00,Roy Sumit,4,A-Award,--D,15814,231164,3,0001529329,Common Stock
D,02/13/2023 00:00:00,Roy Sumit,4,F-InKind,--D,19792,215350,2,0001529329,Common Stock
A,02/13/2023 00:00:00,Roy Sumit,4,A-Award,--D,73343,235142,1,0001529329,Common Stock
A,02/13/2023 00:00:00,Nugent Sean,4,A-Award,--D,2383,15606,1,0001609979,Common Stock
A,02/13/2023 00:00:00,Kelly Christie B.,4,A-Award,--D,6925,22712,3,0001457703,Common Stock
D,02/13/2023 00:00:00,Kelly Christie B.,4,F-InKind,--D,1269,15787,2,0001457703,Common Stock
A,02/13/2023 00:00:00,Kelly Christie B.,4,A-Award,--D,4744,17056,1,0001457703,Common Stock
A,02/13/2023 00:00:00,Kehle Shannon,4,A-Award,--D,5957,21487,1,0001902016,Common Stock
A,02/13/2023 00:00:00,Hagan Mark E,4,A-Award,--D,7506,47914,5,0001741486,Common Stock
D,02/13/2023 00:00:00,Hagan Mark E,4,F-InKind,--D,1350,40408,4,0001741486,Common Stock
A,02/13/2023 00:00:00,Hagan Mark E,4,A-Award,--D,5008,41758,3,0001741486,Common Stock
D,02/13/2023 00:00:00,Hagan Mark E,4,F-InKind,--D,4133,36750,2,0001741486,Common Stock
A,02/13/2023 00:00:00,Hagan Mark E,4,A-Award,--D,15327,40883,1,0001741486,Common Stock
A,02/13/2023 00:00:00,Bushore Michelle,4,A-Award,--D,6001,14640,3,0001779260,Common Stock
D,02/13/2023 00:00:00,Bushore Michelle,4,F-InKind,--D,1271,8639,2,0001779260,Common Stock
A,02/13/2023 00:00:00,Bushore Michelle,4,A-Award,--D,4744,9910,1,0001779260,Common Stock
A,02/13/2023 00:00:00,Abraham Neil,4,A-Award,--D,7623,68230,5,0001638926,Common Stock
D,02/13/2023 00:00:00,Abraham Neil,4,F-InKind,--D,1278,60607,4,0001638926,Common Stock
A,02/13/2023 00:00:00,Abraham Neil,4,A-Award,--D,4744,61885,3,0001638926,Common Stock
D,02/13/2023 00:00:00,Abraham Neil,4,F-InKind,--D,4536,57141,2,0001638926,Common Stock
A,02/13/2023 00:00:00,Abraham Neil,4,A-Award,--D,16838,61677,1,0001638926,Common Stock
D,02/08/2023 00:00:00,Bushore Michelle,4,F-InKind,--D,241,5166,1,0001779260,Common Stock
D,01/01/2023 00:00:00,Roy Sumit,4,F-InKind,--D,21548,161799,1,0001529329,Common Stock
D,01/01/2023 00:00:00,Nugent Sean,4,F-InKind,--D,1237,13223,1,0001609979,Common Stock
D,01/01/2023 00:00:00,Kelly Christie B.,4,F-InKind,--D,1002,12312,1,0001457703,Common Stock
