MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/30/2023 00:00:00,STEPHENSON ROBERT O,4,M-Exempt,--D,17637,276810,2,0001157251,OP Units
D,06/30/2023 00:00:00,STEPHENSON ROBERT O,4,M-Exempt,--D,17637,111908,1,0001157251,Profits Interest Units
A,06/30/2023 00:00:00,PICKETT C TAYLOR,4,M-Exempt,--D,41502,381925,2,0001143567,OP Units
D,06/30/2023 00:00:00,PICKETT C TAYLOR,4,M-Exempt,--D,41502,264733,1,0001143567,Profits Interest Units
A,06/30/2023 00:00:00,BOOTH DANIEL J,4,M-Exempt,--D,19225,276163,2,0001161443,OP Units
D,06/30/2023 00:00:00,BOOTH DANIEL J,4,M-Exempt,--D,19225,70877,1,0001161443,Profits Interest Units
A,06/30/2023 00:00:00,Makode Gail D,4,M-Exempt,--D,7669,22472,2,0001560811,OP Units
D,06/30/2023 00:00:00,Makode Gail D,4,M-Exempt,--D,7669,51556,1,0001560811,Profits Interest Units
A,06/05/2023 00:00:00,Anand Kapila K,4,A-Award,--D,7076,25721,1,0001679166,Deferred Stock Units
A,06/05/2023 00:00:00,CALLEN CRAIG R,4,M-Exempt,--D,13497,27358,3,0001224316,OP Units
D,06/05/2023 00:00:00,CALLEN CRAIG R,4,M-Exempt,--D,13497,23545,2,0001224316,Profits Interest Units
A,06/05/2023 00:00:00,CALLEN CRAIG R,4,A-Award,--D,13144,37042,1,0001224316,Profits Interest Units
A,06/05/2023 00:00:00,Egbuonu-Davis Lisa,4,A-Award,--D,4995,13513,1,0001873318,Common Stock
A,06/05/2023 00:00:00,HILL BARBARA B,4,M-Exempt,--D,8304,20035,3,0001235676,OP Units
D,06/05/2023 00:00:00,HILL BARBARA B,4,M-Exempt,--D,8304,14487,2,0001235676,Profits Interest Units
A,06/05/2023 00:00:00,HILL BARBARA B,4,A-Award,--D,8087,22791,1,0001235676,Profits Interest Units
A,06/05/2023 00:00:00,Jacobs Kevin J,4,A-Award,--D,8158,26174,1,0001593156,Common Stock
A,06/05/2023 00:00:00,PLAVIN STEPHEN D,4,M-Exempt,--D,5158,5158,3,0001120283,OP Units
D,06/05/2023 00:00:00,PLAVIN STEPHEN D,4,M-Exempt,--D,5158,3834,2,0001120283,Profits Interest Units
A,06/05/2023 00:00:00,PLAVIN STEPHEN D,4,A-Award,--D,5023,8992,1,0001120283,Profits Interest Units
A,06/05/2023 00:00:00,WHITMAN BURKE W,4,A-Award,--D,4995,35160,1,0001188191,Common Stock
D,05/17/2023 00:00:00,BOOTH DANIEL J,4,G-Gift,--D,250,195386,1,0001161443,Common Stock
A,04/03/2023 00:00:00,PICKETT C TAYLOR,4,M-Exempt,--D,41502,340423,2,0001143567,OP Units
D,04/03/2023 00:00:00,PICKETT C TAYLOR,4,M-Exempt,--D,41502,306235,1,0001143567,Profits Interest Units
A,04/03/2023 00:00:00,BOOTH DANIEL J,4,M-Exempt,--D,19225,256938,2,0001161443,OP Units
D,04/03/2023 00:00:00,BOOTH DANIEL J,4,M-Exempt,--D,19225,90102,1,0001161443,Profits Interest Units
A,04/03/2023 00:00:00,STEPHENSON ROBERT O,4,M-Exempt,--D,17637,259173,2,0001157251,OP Units
D,04/03/2023 00:00:00,STEPHENSON ROBERT O,4,M-Exempt,--D,17637,129545,1,0001157251,Profits Interest Units
A,04/03/2023 00:00:00,Makode Gail D,4,M-Exempt,--D,7669,14803,2,0001560811,OP Units
D,04/03/2023 00:00:00,Makode Gail D,4,M-Exempt,--D,7669,59225,1,0001560811,Profits Interest Units
A,04/03/2023 00:00:00,Ballew Neal,4,A-Award,--D,253,2098,1,0001824484,Common Stock
A,01/12/2023 00:00:00,STEPHENSON ROBERT O,4,A-Award,--D,29827,147182,1,0001157251,Profits Interest Units
A,01/12/2023 00:00:00,Makode Gail D,4,A-Award,--D,15408,66894,1,0001560811,Profits Interest Units
A,01/12/2023 00:00:00,BOOTH DANIEL J,4,A-Award,--D,32429,109327,1,0001161443,Profits Interest Units
A,01/12/2023 00:00:00,PICKETT C TAYLOR,4,A-Award,--D,71770,347737,1,0001143567,Profits Interest Units
A,01/12/2023 00:00:00,Ballew Neal,4,A-Award,--D,15408,30453,1,0001824484,Profits Interest Units
A,01/09/2023 00:00:00,BOOTH DANIEL J,4,A-Award,--D,76898,76898,1,0001161443,Profits Interest Units
A,01/09/2023 00:00:00,Makode Gail D,4,A-Award,--D,30674,51486,1,0001560811,Profits Interest Units
