MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/24/2023 00:00:00,MOHR MARSHALL,4,A-Award,--D,25775,25775,1,0001252986,Stock Option (right to buy)
A,05/24/2023 00:00:00,MILLIGAN JOHN F,4,A-Award,--D,25775,25775,1,0001191589,Stock Option (right to buy)
A,05/24/2023 00:00:00,Valantine Hannah,4,A-Award,--D,25775,25775,1,0001855608,Stock Option (right to buy)
A,05/24/2023 00:00:00,Botstein David,4,A-Award,--D,25775,25775,1,0001554630,Stock Option (right to buy)
A,05/24/2023 00:00:00,Shapiro Lucy,4,A-Award,--D,25775,25775,1,0001435944,Stock Option (right to buy)
A,05/24/2023 00:00:00,ORDONEZ KATHY,4,A-Award,--D,25775,25775,1,0001222643,Stock Option (right to buy)
A,05/24/2023 00:00:00,Ericson William W.,4,A-Award,--D,25775,25775,1,0001503381,Stock Option (right to buy)
A,05/24/2023 00:00:00,LIVINGSTON RANDALL S,4,A-Award,--D,25775,25775,1,0001235118,Stock Option (right to buy)
D,05/18/2023 00:00:00,MOHR MARSHALL,4,M-Exempt,--D,25000,0,2,0001252986,Stock Option (right to buy)
A,05/18/2023 00:00:00,MOHR MARSHALL,4,M-Exempt,--D,25000,85000,1,0001252986,Common Stock
D,05/18/2023 00:00:00,Farmer Michele,4,S-Sale,--D,5165,107577,1,0001860876,Common Stock
D,03/15/2023 00:00:00,Ericson William W.,4,M-Exempt,--D,25000,0,3,0001503381,Stock Option (right to buy)
D,03/15/2023 00:00:00,Ericson William W.,4,S-Sale,--D,7541,18795,2,0001503381,Common Stock
A,03/15/2023 00:00:00,Ericson William W.,4,M-Exempt,--D,25000,26336,1,0001503381,Common Stock
D,03/03/2023 00:00:00,HENRY CHRISTIAN O,4,S-Sale,--D,13769,1222939,2,0001263805,Common Stock
D,03/03/2023 00:00:00,Van Oene Mark,4,S-Sale,--D,6268,965871,2,0001707477,Common Stock
D,03/03/2023 00:00:00,Kim Susan G.,4,S-Sale,--D,5045,323505,2,0001825421,Common Stock
D,03/03/2023 00:00:00,Farmer Michele,4,S-Sale,--D,3153,112742,2,0001860876,Common Stock
A,03/02/2023 00:00:00,HENRY CHRISTIAN O,4,A-Award,--D,594687,1236708,1,0001263805,Common Stock
A,03/02/2023 00:00:00,Van Oene Mark,4,A-Award,--D,328500,972139,1,0001707477,Common Stock
A,03/02/2023 00:00:00,Kim Susan G.,4,A-Award,--D,164200,328550,1,0001825421,Common Stock
A,03/02/2023 00:00:00,Farmer Michele,4,A-Award,--D,52100,115895,1,0001860876,Common Stock
A,03/02/2023 00:00:00,Eidel Jeff,4,A-Award,--D,164200,470602,1,0001942024,Common Stock
D,02/17/2023 00:00:00,Kim Susan G.,4,S-Sale,--D,907,162581,1,0001825421,Common Stock
D,02/17/2023 00:00:00,HENRY CHRISTIAN O,4,S-Sale,--D,1530,642021,1,0001263805,Common Stock
D,01/10/2023 00:00:00,Van Oene Mark,4,S-Sale,--D,26722,640808,1,0001707477,Common Stock
D,12/01/2022 00:00:00,HENRY CHRISTIAN O,4,S-Sale,--D,45000,643551,1,0001263805,Common Stock
D,09/29/2022 00:00:00,Kim Susan G.,4,S-Sale,--D,12968,163488,1,0001825421,Common Stock
D,09/15/2022 00:00:00,HENRY CHRISTIAN O,4,S-Sale,--D,91307,688551,1,0001263805,Common Stock
A,08/25/2022 00:00:00,Van Oene Mark,4,A-Award,--D,300000,667528,1,0001707477,Common Stock
A,08/16/2022 00:00:00,Eidel Jeff,4,A-Award,--D,600000,600000,2,0001942024,Stock Option (right to buy)
A,08/16/2022 00:00:00,Eidel Jeff,4,A-Award,--D,300000,300570,1,0001942024,Common Stock
D,06/10/2022 00:00:00,MOHR MARSHALL,4,M-Exempt,--D,35000,0,2,0001252986,Stock Option (right to buy)
A,06/10/2022 00:00:00,MOHR MARSHALL,4,M-Exempt,--D,35000,60000,1,0001252986,Common Stock
A,05/25/2022 00:00:00,MOHR MARSHALL,4,A-Award,--D,63015,63015,1,0001252986,Stock Option (right to buy)
A,05/25/2022 00:00:00,Valantine Hannah,4,A-Award,--D,63015,63015,1,0001855608,Stock Option (right to buy)
A,05/25/2022 00:00:00,Shapiro Lucy,4,A-Award,--D,63015,63015,1,0001435944,Stock option (right to buy)
A,05/25/2022 00:00:00,ORDONEZ KATHY,4,A-Award,--D,63015,63015,1,0001222643,Stock Option (right to buy)
A,05/25/2022 00:00:00,MILLIGAN JOHN F,4,A-Award,--D,63015,63015,1,0001191589,Stock Option (right to buy)
A,05/25/2022 00:00:00,LIVINGSTON RANDALL S,4,A-Award,--D,63015,63015,1,0001235118,Stock Option (right to buy)
A,05/25/2022 00:00:00,Ericson William W.,4,A-Award,--D,63015,63015,1,0001503381,Stock Option (right to buy)
A,05/25/2022 00:00:00,Botstein David,4,A-Award,--D,63015,63015,1,0001554630,Stock Option (right to buy)
D,05/18/2022 00:00:00,Farmer Michele,4,S-Sale,--D,3573,60354,1,0001860876,Common Stock
A,03/17/2022 00:00:00,Ericson William W.,4,J-Other,--D,1268,1336,4,0001503381,Common Stock
D,03/17/2022 00:00:00,Ericson William W.,4,J-Other,--I,4848397,0,3,0001503381,Common Stock
A,03/02/2022 00:00:00,Farmer Michele,4,A-Award,--D,44800,44800,2,0001860876,Stock Option (right to buy)
A,03/02/2022 00:00:00,Farmer Michele,4,A-Award,--D,22500,62500,1,0001860876,Common Stock
A,03/02/2022 00:00:00,Kim Susan G.,4,A-Award,--D,239000,239000,2,0001825421,Stock Option (right to buy)
A,03/02/2022 00:00:00,Kim Susan G.,4,A-Award,--D,40000,174966,1,0001825421,Common Stock
A,03/02/2022 00:00:00,Fromen Peter,4,A-Award,--D,298700,298700,2,0001838928,Stock Option (right to buy)
A,03/02/2022 00:00:00,Fromen Peter,4,A-Award,--D,50000,190280,1,0001838928,Common Stock
A,03/02/2022 00:00:00,Van Oene Mark,4,A-Award,--D,433200,433200,2,0001707477,Stock Option (right to buy)
A,03/02/2022 00:00:00,Van Oene Mark,4,A-Award,--D,72500,366020,1,0001707477,Common Stock
A,03/02/2022 00:00:00,HENRY CHRISTIAN O,4,A-Award,--D,642300,642300,2,0001263805,Stock Option (right to buy)
A,03/02/2022 00:00:00,HENRY CHRISTIAN O,4,A-Award,--D,107500,779858,1,0001263805,Common Stock
D,02/17/2022 00:00:00,Kim Susan G.,4,S-Sale,--D,1062,134966,1,0001825421,Common Stock
D,02/17/2022 00:00:00,HENRY CHRISTIAN O,4,S-Sale,--D,2122,672358,1,0001263805,Commons Stock
D,02/16/2022 00:00:00,ORDONEZ KATHY,4,S-Sale,--D,3280,18595,1,0001222643,Common Stock
A,01/14/2022 00:00:00,MOHR MARSHALL,4,M-Exempt,--D,25000,0,2,0001252986,Stock Option (right to buy)
A,01/14/2022 00:00:00,MOHR MARSHALL,4,M-Exempt,--D,25000,25000,1,0001252986,Common Stock
D,01/11/2022 00:00:00,Van Oene Mark,4,S-Sale,--D,41480,293520,1,0001707477,Common Stock
D,01/11/2022 00:00:00,Fromen Peter,4,S-Sale,--D,19720,140280,1,0001838928,Common Stock
D,09/29/2021 00:00:00,Kim Susan G.,4,S-Sale,--D,20272,136028,1,0001825421,Common Stock
D,09/16/2021 00:00:00,HENRY CHRISTIAN O,4/A,S-Sale,--D,90520,674480,1,0001263805,Common Stock
D,09/16/2021 00:00:00,HENRY CHRISTIAN O,4,S-Sale,--D,90520,674480,1,0001263805,Common Stock
