MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/09/2023 00:00:00,Bolgar Paulo Henrique,4,J-Other,--I,1.27,381.136,1,0001936490,Common Stock
A,06/07/2023 00:00:00,DOZIER C MICHAEL,4,J-Other,--I,59.567,17878.458,1,0001670013,Common Stock
A,06/07/2023 00:00:00,PIGOTT MARK C,4,J-Other,--D,265.39,81146.2525,6,0001191930,Stock Units (LTIP)
A,06/07/2023 00:00:00,PIGOTT MARK C,4,J-Other,--D,661.423,202236.7085,5,0001191930,Stock Units (DICP)
A,06/07/2023 00:00:00,PIGOTT MARK C,4,J-Other,--D,202.211,61827.9845,4,0001191930,Stock Units (DCP)
A,06/07/2023 00:00:00,PIGOTT MARK C,4,J-Other,--I,518.859,157210.086,1,0001191930,Common Stock
A,06/07/2023 00:00:00,WALTON MICHAEL K,4,J-Other,--D,40.936,12516.576,3,0001819549,Stock Units (DCP)
A,06/07/2023 00:00:00,WALTON MICHAEL K,4,J-Other,--I,19.014,5707.443,1,0001819549,Common Stock
A,06/07/2023 00:00:00,SIVER DARRIN C,4,J-Other,--D,12.39,3789.177,3,0001664292,Stock Units (DCP)
A,06/07/2023 00:00:00,SIVER DARRIN C,4,J-Other,--I,73.918,22185.958,1,0001664292,Common Stock
A,06/07/2023 00:00:00,Rich John N,4,J-Other,--I,2.496,749.374,1,0001853330,Common Stock
A,06/07/2023 00:00:00,HUBBARD TODD R,4,J-Other,--I,19.814,5947.355,1,0001765282,Common Stock
A,06/07/2023 00:00:00,Poplawski Brice J,4,J-Other,--I,53.128,16097.471,1,0001978435,Common Stock
A,06/07/2023 00:00:00,FEIGHT R PRESTON,4,J-Other,--I,51.415,15431.402,1,0001664294,Common Stock
A,06/07/2023 00:00:00,SCHIPPERS HARRIE,4,J-Other,--I,8.673,2603.108,1,0001486223,Common Stock
A,06/07/2023 00:00:00,Hulit Barbara B.,4,J-Other,--D,5.4305,1660.4305,1,0001682154,Stock Units (RSDCP)
A,06/07/2023 00:00:00,NIEKAMP CYNTHIA A,4,J-Other,--D,5.4305,1660.4305,2,0001169207,Stock Units (RSDCP)
A,06/07/2023 00:00:00,SPIERKEL GREGORY M,4,J-Other,--D,217.692,66561.5192,1,0001191461,Stock Units (RSDCP)
A,06/07/2023 00:00:00,SCHULZ MARK A,4,J-Other,--D,94.2948,28831.5734,2,0001190854,Stock Units (RSDCP)
A,06/07/2023 00:00:00,RAMASWAMY SREEGANESH,4,J-Other,--D,24.4341,7470.9709,2,0001795545,Stock Units (RSDCP)
A,06/07/2023 00:00:00,RAMASWAMY SREEGANESH,4,J-Other,--D,17.2084,5261.6425,1,0001795545,Stock Units
A,06/07/2023 00:00:00,Pigott John,4,J-Other,--D,198.8006,60785.2836,4,0001318907,Stock Units (RSDCP)
A,06/07/2023 00:00:00,MCGEARY RODERICK C,4,J-Other,--D,142.7789,43656.0889,1,0001206884,Stock Units (RSDCP)
A,06/07/2023 00:00:00,HACHIGIAN KIRK S,4,J-Other,--D,212.0278,64829.6056,1,0001210484,Stock Units (RSDCP)
A,06/07/2023 00:00:00,FEDER FRANKLIN,4,J-Other,--D,61.8101,18899.0412,1,0001719024,Stock Units (RSDCP)
A,06/07/2023 00:00:00,CARNWATH ALISON J,4,J-Other,--D,52.4114,16025.3177,1,0001339413,Stock Units (RSDCP)
D,05/08/2023 00:00:00,FEIGHT R PRESTON,4,M-Exempt,--D,61152,0,4,0001664294,Stock Option
D,05/08/2023 00:00:00,FEIGHT R PRESTON,4,S-Sale,--D,46523,128105,2,0001664294,Common Stock
A,05/08/2023 00:00:00,FEIGHT R PRESTON,4,M-Exempt,--D,61152,174628,1,0001664294,Common Stock
D,05/03/2023 00:00:00,BARKLEY MICHAEL T,4,S-Sale,--I,0.796,0,1,0001384380,Common Stock
D,05/01/2023 00:00:00,BARKLEY MICHAEL T,4,M-Exempt,--D,6586,10472,7,0001384380,Stock Option
D,05/01/2023 00:00:00,BARKLEY MICHAEL T,4,M-Exempt,--D,18486,0,6,0001384380,Stock Option
D,05/01/2023 00:00:00,BARKLEY MICHAEL T,4,S-Sale,--D,25072,51565,3,0001384380,Common Stock
A,05/01/2023 00:00:00,BARKLEY MICHAEL T,4,M-Exempt,--D,6586,76637,2,0001384380,Common Stock
A,05/01/2023 00:00:00,BARKLEY MICHAEL T,4,M-Exempt,--D,18486,70051,1,0001384380,Common Stock
D,05/01/2023 00:00:00,SCHIPPERS HARRIE,4,M-Exempt,--D,20000,47221,6,0001486223,Stock Option
D,05/01/2023 00:00:00,SCHIPPERS HARRIE,4,M-Exempt,--D,1491,4999.5,5,0001486223,Stock Option
D,05/01/2023 00:00:00,SCHIPPERS HARRIE,4,S-Sale,--D,21491,93522,3,0001486223,Common Stock
A,05/01/2023 00:00:00,SCHIPPERS HARRIE,4,M-Exempt,--D,1491,115013,2,0001486223,Common Stock
A,05/01/2023 00:00:00,SCHIPPERS HARRIE,4,M-Exempt,--D,20000,113522,1,0001486223,Common Stock
D,04/28/2023 00:00:00,HUBBARD TODD R,4,S-Sale,--D,2442,3230,1,0001765282,Common Stock
A,04/25/2023 00:00:00,Hulit Barbara B.,4,A-Award,--D,1655,1655,1,0001682154,Stock Units (RSDCP)
A,04/25/2023 00:00:00,NIEKAMP CYNTHIA A,4,A-Award,--D,1655,1655,2,0001169207,Stock Units (RSDCP)
A,04/03/2023 00:00:00,RAMASWAMY SREEGANESH,4,J-Other,--D,479.1895,5244.4341,1,0001795545,Stock Units
A,04/03/2023 00:00:00,FORD BETH,4,J-Other,--D,139.9206,26736.4968,1,0001216553,Stock Units
A,03/08/2023 00:00:00,WALTON MICHAEL K,4,J-Other,--D,40.926,12475.64,3,0001819549,Stock Units (DCP)
A,03/08/2023 00:00:00,WALTON MICHAEL K,4,J-Other,--I,18.083,5688.429,1,0001819549,Common Stock
A,03/08/2023 00:00:00,BARKLEY MICHAEL T,4,J-Other,--D,5.607,1709.409,4,0001384380,Stock Units (DCP)
A,03/08/2023 00:00:00,SIVER DARRIN C,4,J-Other,--D,12.39,3776.787,3,0001664292,Stock Units (DCP)
A,03/08/2023 00:00:00,SIVER DARRIN C,4,J-Other,--I,72.176,22112.04,1,0001664292,Common Stock
A,03/08/2023 00:00:00,PIGOTT MARK C,4,J-Other,--D,265.323,80880.8625,6,0001191930,Stock Units (LTIP)
A,03/08/2023 00:00:00,PIGOTT MARK C,4,J-Other,--D,661.249,201575.2855,5,0001191930,Stock Units (DICP)
A,03/08/2023 00:00:00,PIGOTT MARK C,4,J-Other,--D,202.158,61625.7735,4,0001191930,Stock Units (DCP)
A,03/08/2023 00:00:00,PIGOTT MARK C,4,J-Other,--I,515.111,156686.3,1,0001191930,Common Stock
