MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/01/2023 00:00:00,Peterman Carla J,4,F-InKind,--D,9487,41801,1,0001911955,Common Stock
A,05/19/2023 00:00:00,Bahri Rajat,4,A-Award,--D,10836,48649,1,0001314300,Common Stock
A,05/19/2023 00:00:00,Campbell Cheryl F.,4,A-Award,--D,10836,64153,1,0001773101,Common Stock
A,05/19/2023 00:00:00,Cooper Kerry Whorton,4,A-Award,--D,10836,48649,1,0001817263,Common Stock
A,05/19/2023 00:00:00,Denecour Jessica,4,A-Award,--D,10836,48649,1,0001691046,Common Stock
A,05/19/2023 00:00:00,FERGUSON III MARK E,4,A-Award,--D,10836,48649,1,0001723339,Common Stock
A,05/19/2023 00:00:00,FLEXON ROBERT C,4,A-Award,--D,16857,86277,1,0001236545,Common Stock
A,05/19/2023 00:00:00,Fugate William Craig,4,A-Award,--D,10836,48649,1,0001817000,Common Stock
A,05/19/2023 00:00:00,Harris Arno Lockheart,4,A-Award,--D,10836,48649,1,0001817034,Common Stock
A,05/19/2023 00:00:00,NIGGLI MICHAEL R,4,A-Award,--D,10836,49149,1,0001377160,Common Stock
A,05/19/2023 00:00:00,Smith William Lloyd,4,A-Award,--D,10836,222060,1,0001461966,Common Stock
A,05/19/2023 00:00:00,Wilson Benjamin Francis,4,A-Award,--D,10836,48649,1,0001816994,Common Stock
A,05/19/2023 00:00:00,HERNANDEZ CARLOS M,4,A-Award,--D,10836,22368,1,0001179386,Common Stock
A,05/19/2023 00:00:00,Cannizzaro Edward G,4,A-Award,--D,10836,10836,1,0001949447,Common Stock
A,03/30/2023 00:00:00,Burke Carolyn Jeanne,4,P-Purchase,--D,156,25072,1,0001374018,Common Stock
D,03/22/2023 00:00:00,Foster Christopher A,4,F-InKind,--D,4519,61472,1,0001825948,Common Stock
A,03/16/2023 00:00:00,Burke Carolyn Jeanne,4,A-Award,--D,24753,24753,1,0001374018,Common Stock
D,03/15/2023 00:00:00,Santos Marlene,4,F-InKind,--D,57185,108813,1,0001850326,Common Stock
D,03/03/2023 00:00:00,Poppe Patricia K,4,S-Sale,--I,66700,1269325,4,0001592298,Common Stock
A,03/01/2023 00:00:00,Poppe Patricia K,4,G-Gift,--I,42514,1336025,3,0001592298,Common Stock
D,03/01/2023 00:00:00,Poppe Patricia K,4,G-Gift,--D,42514,84321,2,0001592298,Common Stock
D,03/01/2023 00:00:00,Poppe Patricia K,4,F-InKind,--D,41807,126835,1,0001592298,Common Stock
A,03/01/2023 00:00:00,SIMON JOHN R,4,G-Gift,--I,7716,281072,3,0001199412,Common Stock
D,03/01/2023 00:00:00,SIMON JOHN R,4,G-Gift,--D,7716,16112.42,2,0001199412,Common Stock
D,03/01/2023 00:00:00,SIMON JOHN R,4,F-InKind,--D,8237,23828.42,1,0001199412,Common Stock
D,03/01/2023 00:00:00,Williams Stephanie N,4,F-InKind,--D,3050,50508,1,0001961083,Common Stock
D,03/01/2023 00:00:00,Waghray Ajay,4,F-InKind,--D,3420,85443,1,0001673651,Common Stock
D,03/01/2023 00:00:00,Singh Sumeet,4,F-InKind,--D,3368,72613,1,0001838817,Common Stock
D,03/01/2023 00:00:00,Foster Christopher A,4,F-InKind,--D,1833,65991,1,0001825948,Common Stock
D,03/01/2023 00:00:00,Cox Julius,4,F-InKind,--D,9329,40316,1,0001620424,Common Stock
D,02/27/2023 00:00:00,Poppe Patricia K,4,G-Gift,--I,31750,1293511,1,0001592298,Common Stock
A,02/15/2023 00:00:00,SIMON JOHN R,4/A,G-Gift,-EI,131924,273356,3,0001199412,Common Stock
D,02/15/2023 00:00:00,SIMON JOHN R,4/A,G-Gift,-ED,131924,32065.42,2,0001199412,Common Stock
