MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/15/2023 00:00:00,Meyers R Scott,4,S-Sale,--D,2500,157410,1,0001459110,Common Stock
D,06/01/2023 00:00:00,BROOKMAN BARTON R JR,4,S-Sale,--D,2000,544070,1,0001234638,Common Stock
A,05/24/2023 00:00:00,Butcher Pamela R,4,A-Award,--D,2683,7470,1,0001687901,Common Stock
A,05/24/2023 00:00:00,Ellis Mark E,4,A-Award,--D,3205,49734,1,0001298866,Common Stock
A,05/24/2023 00:00:00,KORUS PAUL,4,A-Award,--D,2683,31143,1,0001196776,Common Stock
A,05/24/2023 00:00:00,Peterson Lynn A,4,A-Award,--D,2683,228850,1,0001394633,Common Stock
A,05/24/2023 00:00:00,Sabater Carlos A.,4,A-Award,--D,2683,9809,1,0001864211,Common Stock
A,05/24/2023 00:00:00,Sands Diana L,4,A-Award,--D,2683,11738,1,0001540790,Common Stock
D,05/17/2023 00:00:00,Welling Troy M.,4,S-Sale,--D,1200,13269,1,0001955245,Common Stock
D,05/15/2023 00:00:00,Meyers R Scott,4,S-Sale,--D,2500,159910,1,0001459110,Common Stock
D,05/01/2023 00:00:00,BROOKMAN BARTON R JR,4,S-Sale,--D,2000,546070,1,0001234638,Common Stock
D,04/17/2023 00:00:00,Peterson Lynn A,4,S-Sale,--D,1834,226167,2,0001394633,Common Stock
D,04/17/2023 00:00:00,Peterson Lynn A,4,S-Sale,--D,5166,228001,1,0001394633,Common Stock
D,04/17/2023 00:00:00,Meyers R Scott,4,S-Sale,--D,2500,162410,1,0001459110,Common Stock
D,04/03/2023 00:00:00,BROOKMAN BARTON R JR,4,S-Sale,--D,300,548070,2,0001234638,Common Stock
D,04/03/2023 00:00:00,BROOKMAN BARTON R JR,4,S-Sale,--D,1700,548370,1,0001234638,Common Stock
D,04/01/2023 00:00:00,Jacoby Sandra E.,4,F-InKind,--D,1325,13229,1,0001965607,Common Stock
D,04/01/2023 00:00:00,Lillo David,4,F-InKind,--D,3469,60382,1,0001630489,Common Stock
A,04/01/2023 00:00:00,Welling Troy M.,4,A-Award,--D,4389,14469,2,0001955245,Common Stock
D,04/01/2023 00:00:00,Welling Troy M.,4,F-InKind,--D,903,10080,1,0001955245,Common Stock
D,03/21/2023 00:00:00,Peterson Lynn A,4,S-Sale,--D,7000,233167,1,0001394633,Common Stock
D,03/15/2023 00:00:00,Meyers R Scott,4,S-Sale,--D,2500,164910,1,0001459110,Common Stock
D,03/01/2023 00:00:00,BROOKMAN BARTON R JR,4,S-Sale,--D,2000,550070,1,0001234638,Common Stock
D,02/25/2023 00:00:00,BROOKMAN BARTON R JR,4,F-InKind,--D,25219,552070,1,0001234638,Common Stock
D,02/25/2023 00:00:00,Lauck Lance,4,F-InKind,--D,12318,200024,1,0001471391,Common Stock
D,02/25/2023 00:00:00,Lillo David,4,F-InKind,--D,4260,63851,1,0001630489,Common Stock
D,02/25/2023 00:00:00,Martinet Nicole L,4,F-InKind,--D,8086,82832,1,0001764235,Common Stock
D,02/25/2023 00:00:00,Meyers R Scott,4,F-InKind,--D,12294,167410,1,0001459110,Common Stock
A,02/15/2023 00:00:00,Jacoby Sandra E.,4,A-Award,--D,2460,2460,2,0001965607,Performance Share Units
A,02/15/2023 00:00:00,Jacoby Sandra E.,4,A-Award,--D,3974,14554,1,0001965607,Common Stock
A,02/15/2023 00:00:00,Martinet Nicole L,4,A-Award,--D,10217,10217,2,0001764235,Performance Share Units
A,02/15/2023 00:00:00,Martinet Nicole L,4,A-Award,--D,10217,90918,1,0001764235,Common Stock
A,02/15/2023 00:00:00,Lillo David,4,A-Award,--D,10368,10368,2,0001630489,Performance Share Units
A,02/15/2023 00:00:00,Lillo David,4,A-Award,--D,10368,68111,1,0001630489,Common Stock
A,02/15/2023 00:00:00,Meyers R Scott,4,A-Award,--D,15514,15514,3,0001459110,Performance Share Units
D,02/15/2023 00:00:00,Meyers R Scott,4,S-Sale,--D,2500,179704,2,0001459110,Common Stock
A,02/15/2023 00:00:00,Meyers R Scott,4,A-Award,--D,15514,182204,1,0001459110,Common Stock
A,02/15/2023 00:00:00,Lauck Lance,4,A-Award,--D,14455,14455,2,0001471391,Performance Share Units
A,02/15/2023 00:00:00,Lauck Lance,4,A-Award,--D,14455,212342,1,0001471391,Common Stock
