MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/21/2023 00:00:00,KORSH LES B,4,S-Sale,--D,3500,67949,1,0001652545,Common Stock
A,12/15/2022 00:00:00,BARRY KEVIN MICHAEL,4,A-Award,--D,9329,15771,1,0001951731,Common Stock
A,12/15/2022 00:00:00,POHLMAN KEVIN M,4,A-Award,--D,8073,107418,1,0001712443,Common Stock
A,12/05/2022 00:00:00,Zurbay Donald,4,A-Award,--D,134033,134033,3,0001341608,Employee Stock Options
A,12/05/2022 00:00:00,Zurbay Donald,4,A-Award,--D,39669,117701,1,0001341608,Common Stock
D,12/05/2022 00:00:00,BARRY KEVIN MICHAEL,4,S-Sale,--D,9443,6442,1,0001951731,Common Stock
A,09/12/2022 00:00:00,FERAGEN JODY H,4,A-Award,--D,5326,44357,1,0001189993,Common Stock
A,09/12/2022 00:00:00,Schrimsher Neil A,4,A-Award,--D,5326,36000,1,0001431804,Common Stock
A,09/12/2022 00:00:00,RUDNICK ELLEN A,4,A-Award,--D,5326,70747,1,0001194498,Common Stock
A,09/12/2022 00:00:00,McKoy Philip,4,A-Award,--D,5326,5326,1,0001757314,Common Stock
A,09/12/2022 00:00:00,Frenzel Robert,4,A-Award,--D,5326,25454,1,0001672519,Common Stock
A,09/12/2022 00:00:00,Buck John D,4,A-Award,--D,5326,80081,1,0001289177,Common Stock
A,09/12/2022 00:00:00,Blanco Alex N,4,A-Award,--D,5326,28512,1,0001566174,Common Stock
D,08/07/2022 00:00:00,POHLMAN KEVIN M,4,F-InKind,--D,56,99345,1,0001712443,Common Stock
D,07/19/2022 00:00:00,ROGAN TIMOTHY E,4/A,F-InKind,--D,217,45552,1,0001873273,Common Stock
D,07/19/2022 00:00:00,ROGAN TIMOTHY E,4,F-InKind,--D,221,45548,1,0001873273,Common Stock
D,07/14/2022 00:00:00,ROGAN TIMOTHY E,4,F-InKind,--D,820,45769,1,0001873273,Common Stock
D,07/06/2022 00:00:00,Zurbay Donald,4,S-Sale,--D,10180,78032,1,0001341608,Common Stock
D,07/06/2022 00:00:00,KORSH LES B,4,S-Sale,--D,4889,71449,1,0001652545,Common Stock
D,07/06/2022 00:00:00,Frohning Andrea L.,4,S-Sale,--D,1986,39259,1,0001591945,Common Stock
A,07/01/2022 00:00:00,Zurbay Donald,4,A-Award,--D,35895,35895,5,0001341608,Employee Stock Options
A,07/01/2022 00:00:00,Zurbay Donald,4,A-Award,--D,10420,88212,3,0001341608,Common Stock
D,07/01/2022 00:00:00,Zurbay Donald,4,F-InKind,--D,4669,77792,2,0001341608,Common Stock
D,07/01/2022 00:00:00,Zurbay Donald,4,F-InKind,--D,12294,82461,1,0001341608,Common Stock
A,07/01/2022 00:00:00,WALCHIRK MARK S,4,A-Award,--D,122466,122466,5,0001723527,Employee Stock Options
A,07/01/2022 00:00:00,WALCHIRK MARK S,4,A-Award,--D,35551,296417,3,0001723527,Common Stock
D,07/01/2022 00:00:00,WALCHIRK MARK S,4,F-InKind,--D,18938,260866,2,0001723527,Common Stock
D,07/01/2022 00:00:00,WALCHIRK MARK S,4,F-InKind,--D,48492,279804,1,0001723527,Common Stock
A,07/01/2022 00:00:00,ROGAN TIMOTHY E,4,A-Award,--D,15484,15484,4,0001873273,Employee Stock Options
A,07/01/2022 00:00:00,ROGAN TIMOTHY E,4,A-Award,--D,4495,46589,2,0001873273,Common Stock
D,07/01/2022 00:00:00,ROGAN TIMOTHY E,4,F-InKind,--D,659,42094,1,0001873273,Common Stock
A,07/01/2022 00:00:00,POHLMAN KEVIN M,4,A-Award,--D,18300,18300,5,0001712443,Employee Stock Options
A,07/01/2022 00:00:00,POHLMAN KEVIN M,4,A-Award,--D,5312,99401,3,0001712443,Common Stock
D,07/01/2022 00:00:00,POHLMAN KEVIN M,4,F-InKind,--D,1285,94089,2,0001712443,Common Stock
D,07/01/2022 00:00:00,POHLMAN KEVIN M,4,F-InKind,--D,3420,95374,1,0001712443,Common Stock
A,07/01/2022 00:00:00,KORSH LES B,4,A-Award,--D,16892,16892,5,0001652545,Employee Stock Options
A,07/01/2022 00:00:00,KORSH LES B,4,A-Award,--D,4904,76338,3,0001652545,Common Stock
D,07/01/2022 00:00:00,KORSH LES B,4,F-InKind,--D,1896,71434,2,0001652545,Common Stock
D,07/01/2022 00:00:00,KORSH LES B,4,F-InKind,--D,4156,73330,1,0001652545,Common Stock
A,07/01/2022 00:00:00,Frohning Andrea L.,4,A-Award,--D,16892,16892,5,0001591945,Employee Stock Options
