MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/01/2023 00:00:00,VASELLA DANIEL,4,A-Award,--D,329.3265,78453.2575,2,0001189152,"PepsiCo, Inc. Common Stock"
A,06/01/2023 00:00:00,Diamond Susan M,4,A-Award,--D,54.8877,1488.5124,1,0001782445,"PepsiCo, Inc. Common Stock"
A,06/01/2023 00:00:00,COOPER EDITH W,4,A-Award,--D,329.3265,4043.8378,2,0001517276,"PepsiCo, Inc. Common Stock"
A,06/01/2023 00:00:00,Bailey Jennifer,4,A-Award,--D,54.8877,1488.5124,1,0001974722,"PepsiCo, Inc. Common Stock"
A,06/01/2023 00:00:00,Agbaje Segun,4,A-Award,--D,329.3265,7272.4163,2,0001817739,"PepsiCo, Inc. Common Stock"
A,06/01/2023 00:00:00,Schmitt Becky,4,A-Award,--D,9442,14944,2,0001800295,"PepsiCo, Inc. Common Stock"
A,06/01/2023 00:00:00,Schmitt Becky,4,A-Award,--D,5502,5502,1,0001800295,"PepsiCo, Inc. Common Stock"
A,05/31/2023 00:00:00,VASELLA DANIEL,4,A-Award,--D,803.9246,78123.931,1,0001189152,"PepsiCo, Inc. Common Stock"
A,05/31/2023 00:00:00,COOPER EDITH W,4,A-Award,--D,33.0973,3714.5113,1,0001517276,"PepsiCo, Inc. Common Stock"
A,05/31/2023 00:00:00,Agbaje Segun,4,A-Award,--D,78.2833,6943.0898,1,0001817739,"PepsiCo, Inc. Common Stock"
A,05/03/2023 00:00:00,Diamond Susan M,4,A-Award,--D,433.6247,1433.6247,2,0001782445,"PepsiCo, Inc. Common Stock"
A,05/03/2023 00:00:00,Diamond Susan M,4,A-Award,--D,1000,1000,1,0001782445,"PepsiCo, Inc. Common Stock"
A,05/03/2023 00:00:00,Bailey Jennifer,4,A-Award,--D,433.6247,1433.6247,2,0001974722,"PepsiCo, Inc. Common Stock"
A,05/03/2023 00:00:00,Bailey Jennifer,4,A-Award,--D,1000,1000,1,0001974722,"PepsiCo, Inc. Common Stock"
D,03/09/2023 00:00:00,POHLAD ROBERT C,4,S-Sale,--D,360,183928.6093,5,0001061272,"PepsiCo, Inc. Common Stock"
D,03/09/2023 00:00:00,POHLAD ROBERT C,4,S-Sale,--D,17893,184288.6093,4,0001061272,"PepsiCo, Inc. Common Stock"
D,03/09/2023 00:00:00,POHLAD ROBERT C,4,S-Sale,--D,12542,202181.6093,3,0001061272,"PepsiCo, Inc. Common Stock"
D,03/09/2023 00:00:00,POHLAD ROBERT C,4,S-Sale,--D,44205,214723.6093,2,0001061272,"PepsiCo, Inc. Common Stock"
A,03/09/2023 00:00:00,POHLAD ROBERT C,4,A-Award,--D,90.2118,258928.6093,1,0001061272,"PepsiCo, Inc. Common Stock"
A,03/07/2023 00:00:00,Willemsen Eugene,4,G-Gift,--I,12553,24415,2,0001792421,"PepsiCo, Inc. Common Stock"
D,03/07/2023 00:00:00,Willemsen Eugene,4,G-Gift,--D,12553,25076,1,0001792421,"PepsiCo, Inc. Common Stock"
D,03/07/2023 00:00:00,Krishnan Ramkumar,4,S-Sale,--D,16827,49000,1,0001689525,"PepsiCo, Inc. Common Stock"
D,03/01/2023 00:00:00,Williams Steven C,4,F-InKind,--D,13312,90619,3,0001772618,"PepsiCo, Inc. Common Stock"
A,03/01/2023 00:00:00,Williams Steven C,4,A-Award,--D,17600,103931,2,0001772618,"PepsiCo, Inc. Common Stock"
A,03/01/2023 00:00:00,Williams Steven C,4,A-Award,--D,15439,86331,1,0001772618,"PepsiCo, Inc. Common Stock"
D,03/01/2023 00:00:00,Willemsen Eugene,4,F-InKind,--D,12589,37629,3,0001792421,"PepsiCo, Inc. Common Stock"
A,03/01/2023 00:00:00,Willemsen Eugene,4,A-Award,--D,12571,50218,2,0001792421,"PepsiCo, Inc. Common Stock"
A,03/01/2023 00:00:00,Willemsen Eugene,4,A-Award,--D,8684,37647,1,0001792421,"PepsiCo, Inc. Common Stock"
D,03/01/2023 00:00:00,Tanner Kirk,4,F-InKind,--D,21398,106961,3,0001671693,"PepsiCo, Inc. Common Stock"
