MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/30/2023 00:00:00,JOHNSON RADY A,4,A-Award,--D,5,7990,1,0001594762,Phantom Stock Units SSP
A,06/30/2023 00:00:00,DAMICO JENNIFER B.,4,A-Award,--D,37,22012,1,0001805617,Phantom Stock Units SSP
A,06/30/2023 00:00:00,BOURLA ALBERT,4,A-Award,--D,14,178695,1,0001595703,Phantom Stock Units SSP
A,06/15/2023 00:00:00,JOHNSON RADY A,4,A-Award,--D,5,7980,1,0001594762,Phantom Stock Units SSP
A,06/15/2023 00:00:00,DAMICO JENNIFER B.,4,A-Award,--D,34,21962,1,0001805617,Phantom Stock Units SSP
A,06/15/2023 00:00:00,BOURLA ALBERT,4,A-Award,--D,13,178572,1,0001595703,Phantom Stock Units SSP
A,05/31/2023 00:00:00,JOHNSON RADY A,4,A-Award,--D,5,7981,1,0001594762,Phantom Stock Units SSP
A,05/31/2023 00:00:00,DAMICO JENNIFER B.,4,A-Award,--D,36,21942,1,0001805617,Phantom Stock Units SSP
A,05/31/2023 00:00:00,BOURLA ALBERT,4,A-Award,--D,14,178671,1,0001595703,Phantom Stock Units SSP
D,05/31/2023 00:00:00,Denton David M,4,F-InKind,--D,16223,48224,1,0001428718,Common Stock
A,05/15/2023 00:00:00,JOHNSON RADY A,4,A-Award,--D,5,7978,1,0001594762,Phantom Stock Units SSP
A,05/15/2023 00:00:00,DAMICO JENNIFER B.,4,A-Award,--D,36,21913,1,0001805617,Phantom Stock Units SSP
A,05/15/2023 00:00:00,BOURLA ALBERT,4,A-Award,--D,14,178716,1,0001595703,Phantom Stock Units SSP
A,05/10/2023 00:00:00,Hwang Angela,4,I-Discretionary,--D,33943,69046,1,0001725474,Phantom Stock Units SSP
A,05/08/2023 00:00:00,Gottlieb Scott,4,P-Purchase,--D,1000,6000,2,0001411359,Common Stock
A,05/05/2023 00:00:00,Gottlieb Scott,4,P-Purchase,--D,1000,5000,1,0001411359,Common Stock
A,04/28/2023 00:00:00,JOHNSON RADY A,4,A-Award,--D,5,7885,1,0001594762,Phantom Stock Units SSP
A,04/28/2023 00:00:00,DAMICO JENNIFER B.,4,A-Award,--D,35,21633,1,0001805617,Phantom Stock Units SSP
A,04/28/2023 00:00:00,BOURLA ALBERT,4,A-Award,--D,14,176711,1,0001595703,Phantom Stock Units SSP
A,04/27/2023 00:00:00,SMITH JAMES C,4,A-Award,--D,5291.688,108797.73,1,0001611777,Phantom Stock Units
A,04/27/2023 00:00:00,Quincey James,4,A-Award,--D,5291.688,33537.581,1,0001561264,Phantom Stock Units
A,04/27/2023 00:00:00,NORA JOHNSON SUZANNE M,4,A-Award,--D,5291.688,92181.39,1,0001310264,Phantom Stock Units
A,04/27/2023 00:00:00,NARAYEN SHANTANU,4,A-Award,--D,5291.688,121436.896,1,0001224154,Phantom Stock Units
A,04/27/2023 00:00:00,LITTMAN DAN R.,4,A-Award,--D,5291.688,40059.993,1,0001733004,Phantom Stock Units
A,04/27/2023 00:00:00,Hockfield Susan,4,A-Award,--D,5291.688,21912.631,1,0001383985,Phantom Stock Units
A,04/27/2023 00:00:00,HOBBS HELEN,4,A-Award,--D,5291.688,99670.859,1,0001537057,Phantom Stock Units
A,04/27/2023 00:00:00,Gottlieb Scott,4,A-Award,--D,5291.688,25425.24,1,0001411359,Phantom Stock Units
A,04/27/2023 00:00:00,Echevarria Joseph,4,A-Award,--D,5291.688,94092.298,1,0001633137,Phantom Stock Units
A,04/27/2023 00:00:00,Desmond-Hellmann Susan,4,A-Award,--D,5291.688,20240.529,1,0001507911,Phantom Stock Units
A,04/27/2023 00:00:00,BLAYLOCK RONALD E,4,A-Award,--D,5291.688,47972.709,1,0001214686,Phantom Stock Units
A,04/14/2023 00:00:00,JOHNSON RADY A,4,A-Award,--D,4,7878,1,0001594762,Phantom Stock Units SSP
A,04/14/2023 00:00:00,DAMICO JENNIFER B.,4,A-Award,--D,33,21590,1,0001805617,Phantom Stock Units SSP
A,04/14/2023 00:00:00,BOURLA ALBERT,4,A-Award,--D,13,176631,1,0001595703,Phantom Stock Units SSP
A,04/12/2023 00:00:00,JOHNSON RADY A,4,A-Award,--D,60,7873,1,0001594762,Phantom Stock Units SSP
A,04/12/2023 00:00:00,DAMICO JENNIFER B.,4,A-Award,--D,353,21556,1,0001805617,Phantom Stock Units SSP
A,04/12/2023 00:00:00,BOURLA ALBERT,4,A-Award,--D,844,176609,1,0001595703,Phantom Stock Units SSP
A,03/31/2023 00:00:00,SMITH JAMES C,4,A-Award,--D,1102.941,103506.042,1,0001611777,Phantom Stock Units
A,03/31/2023 00:00:00,Quincey James,4,A-Award,--D,949.755,28245.893,1,0001561264,Phantom Stock Units
A,03/31/2023 00:00:00,NARAYEN SHANTANU,4,A-Award,--D,1225.49,116145.208,1,0001224154,Phantom Stock Units
A,03/31/2023 00:00:00,Echevarria Joseph,4,A-Award,--D,1133.578,88800.61,1,0001633137,Phantom Stock Units
A,03/31/2023 00:00:00,JOHNSON RADY A,4,A-Award,--D,4,7814,1,0001594762,Phantom Stock Units SSP
A,03/31/2023 00:00:00,DAMICO JENNIFER B.,4,A-Award,--D,32,21206,1,0001805617,Phantom Stock Units SSP
A,03/31/2023 00:00:00,BOURLA ALBERT,4,A-Award,--D,13,175788,1,0001595703,Phantom Stock Units SSP
D,03/31/2023 00:00:00,Pao William,4,F-InKind,--D,22095,97765,1,0001919343,Common Stock
A,03/17/2023 00:00:00,LANKLER DOUGLAS M,4,I-Discretionary,--D,24938,53860,1,0001488270,Phantom Stock Units SSP
A,03/17/2023 00:00:00,BOURLA ALBERT,4,I-Discretionary,--D,74813,175790,2,0001595703,Phantom Stock Units SSP
A,03/15/2023 00:00:00,BOURLA ALBERT,4,A-Award,--D,1335,100977,1,0001595703,Phantom Stock Units SSP
A,03/15/2023 00:00:00,JOHNSON RADY A,4,A-Award,--D,78,7810,1,0001594762,Phantom Stock Units SSP
A,03/15/2023 00:00:00,DAMICO JENNIFER B.,4,A-Award,--D,451,21176,3,0001805617,Phantom Stock Units SSP
D,03/15/2023 00:00:00,DAMICO JENNIFER B.,4,S-Sale,--D,9912,9003,2,0001805617,Common Stock
D,02/27/2023 00:00:00,SAHNI PAYAL,4,F-InKind,--D,1297,23077,4,0001817124,Common Stock
D,02/27/2023 00:00:00,McDermott Michael,4,F-InKind,--D,3081,80874,4,0001902464,Common Stock
D,02/27/2023 00:00:00,DAMICO JENNIFER B.,4,F-InKind,--D,1427,19275,4,0001805617,Common Stock
D,02/25/2023 00:00:00,SAHNI PAYAL,4,M-Exempt,--D,8921,0,6,0001817124,Stock Appreciation Rights
D,02/25/2023 00:00:00,SAHNI PAYAL,4,F-InKind,--D,3967,24374,3,0001817124,Common Stock
D,02/25/2023 00:00:00,SAHNI PAYAL,4,F-InKind,--D,1786,28341,2,0001817124,Common Stock
