MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/13/2023 00:00:00,SPECTOR DAVID,4,S-Sale,--I,15000,390604,2,0001275713,Common Stock
D,06/07/2023 00:00:00,MCCALLION ANNE,4,M-Exempt,--D,28216,0,4,0001232611,Nonstatutory Stock Option (Right to Buy)
D,06/07/2023 00:00:00,MCCALLION ANNE,4,S-Sale,--D,28216,4926,3,0001232611,Common Stock
A,06/07/2023 00:00:00,MCCALLION ANNE,4,M-Exempt,--D,28216,33142,2,0001232611,Common Stock
D,06/02/2023 00:00:00,STARK DEREK,4,G-Gift,-ED,1000,28211,2,0001198631,Common Stock
D,06/01/2023 00:00:00,STARK DEREK,4,S-Sale,--D,6500,29211,1,0001198631,Common Stock
D,06/01/2023 00:00:00,Jones Doug,4,S-Sale,--I,20000,485000,5,0001544302,Common Stock
D,05/22/2023 00:00:00,Jones Doug,4,S-Sale,--D,19820,24984,4,0001544302,Common Stock
D,05/17/2023 00:00:00,SPECTOR DAVID,4,S-Sale,--I,15000,405604,2,0001275713,Common Stock
A,05/01/2023 00:00:00,NANJI FARHAD,4,A-Award,--D,390,178954,1,0001575023,Common Stock
A,05/01/2023 00:00:00,MAZZELLA JOSEPH F,4,A-Award,--D,421,138708,1,0001196045,Common Stock
D,04/04/2023 00:00:00,SPECTOR DAVID,4,S-Sale,--I,15000,420604,2,0001275713,Common Stock
D,03/30/2023 00:00:00,Hendry Gregory L,4,M-Exempt,--D,2018,0,3,0001486334,Nonstatutory Stock Option (Right to Buy)
D,03/30/2023 00:00:00,Hendry Gregory L,4,S-Sale,--D,2018,47182,2,0001486334,Common Stock
A,03/30/2023 00:00:00,Hendry Gregory L,4,M-Exempt,--D,2018,49200,1,0001486334,Common Stock
D,03/20/2023 00:00:00,Perotti Daniel Stanley,4,M-Exempt,--D,2523,0,4,0001591994,Nonstatutory Stock Option (Right to Buy)
D,03/20/2023 00:00:00,Perotti Daniel Stanley,4,S-Sale,--D,2523,30343,3,0001591994,Common Stock
A,03/20/2023 00:00:00,Perotti Daniel Stanley,4,M-Exempt,--D,2523,32866,2,0001591994,Common Stock
D,03/07/2023 00:00:00,SPECTOR DAVID,4,S-Sale,--I,15000,435604,2,0001275713,Common Stock
D,03/03/2023 00:00:00,STARK DEREK,4,G-Gift,-ED,1000,35711,1,0001198631,Common Stock
D,03/02/2023 00:00:00,White Donald J.,4,M-Exempt,--D,4493,0,4,0001912290,Performance-Based Restricted Stock Units
A,03/02/2023 00:00:00,White Donald J.,4,A-Award,--D,4493,4493,3,0001912290,Performance-Based Restricted Stock Units
D,03/02/2023 00:00:00,White Donald J.,4,S-Sale,--D,1630,9469,2,0001912290,Common Stock
A,03/02/2023 00:00:00,White Donald J.,4,M-Exempt,--D,4493,11099,1,0001912290,Common Stock
D,03/01/2023 00:00:00,White Donald J.,4,S-Sale,--D,212,6606,2,0001912290,Common Stock
D,03/01/2023 00:00:00,Follette James,4,S-Sale,--D,200,12475,4,0001912289,Common Stock
D,03/01/2023 00:00:00,Follette James,4,S-Sale,--D,11471,12675,3,0001912289,Common Stock
D,03/01/2023 00:00:00,Bailey Steven Richard,4,S-Sale,--D,615,8900,3,0001571945,Common Stock
D,03/01/2023 00:00:00,Bailey Steven Richard,4,S-Sale,--D,12989,9515,2,0001571945,Common Stock
D,03/01/2023 00:00:00,STARK DEREK,4,S-Sale,--D,400,36711,4,0001198631,Common Stock
D,03/01/2023 00:00:00,STARK DEREK,4,S-Sale,--D,13884,37111,3,0001198631,Common Stock
D,03/01/2023 00:00:00,SPECTOR DAVID,4,S-Sale,--D,528,650183,5,0001275713,Common Stock
D,03/01/2023 00:00:00,SPECTOR DAVID,4,S-Sale,--D,25641,650711,4,0001275713,Common Stock
D,02/28/2023 00:00:00,Follette James,4,S-Sale,--D,3994,24146,2,0001912289,Common Stock
D,02/28/2023 00:00:00,STARK DEREK,4,S-Sale,--D,2537,50995,2,0001198631,Common Stock
D,02/28/2023 00:00:00,SPECTOR DAVID,4,S-Sale,--D,13892,676352,3,0001275713,Common Stock
D,02/27/2023 00:00:00,White Donald J.,4,F-InKind,--D,98,6818,1,0001912290,Common Stock
D,02/27/2023 00:00:00,Follette James,4,F-InKind,--D,1063,28140,1,0001912289,Common Stock
D,02/27/2023 00:00:00,Jones Doug,4,F-InKind,--D,2363,44804,1,0001544302,Common Stock
D,02/27/2023 00:00:00,Bailey Steven Richard,4,F-InKind,--D,1407,22504,1,0001571945,Common Stock
D,02/27/2023 00:00:00,STARK DEREK,4,F-InKind,--D,548,53532,1,0001198631,Common Stock
D,02/27/2023 00:00:00,Hendry Gregory L,4,F-InKind,--D,263,47182,1,0001486334,Common Stock
D,02/27/2023 00:00:00,Fartaj Vandad,4,F-InKind,--D,1192,124488,1,0001486360,Common Stock
D,02/27/2023 00:00:00,Perotti Daniel Stanley,4,F-InKind,--D,1063,30343,1,0001591994,Common Stock
D,02/27/2023 00:00:00,SPECTOR DAVID,4,S-Sale,--I,15000,450604,2,0001275713,Common Stock
D,02/27/2023 00:00:00,SPECTOR DAVID,4,F-InKind,--D,4573,690244,1,0001275713,Common Stock
D,02/24/2023 00:00:00,Fartaj Vandad,4,M-Exempt,--D,20743,0,7,0001486360,Performance-Based Restricted Stock Units
A,02/24/2023 00:00:00,Fartaj Vandad,4,A-Award,--D,20743,20743,6,0001486360,Performance-Based Restricted Stock Units
A,02/24/2023 00:00:00,Fartaj Vandad,4,A-Award,--D,11833,11833,5,0001486360,Nonstatutory Stock Option (Right to Buy)
D,02/24/2023 00:00:00,Fartaj Vandad,4,F-InKind,--D,9330,125680,3,0001486360,Common Stock
A,02/24/2023 00:00:00,Fartaj Vandad,4,M-Exempt,--D,20743,135010,2,0001486360,Common Stock
A,02/24/2023 00:00:00,Fartaj Vandad,4,A-Award,--D,4733,114267,1,0001486360,Common Stock
A,02/24/2023 00:00:00,White Donald J.,4,A-Award,--D,2572,2572,2,0001912290,Nonstatutory Stock Option (Right to Buy)
A,02/24/2023 00:00:00,White Donald J.,4,A-Award,--D,1028,6916,1,0001912290,Common Stock
D,02/24/2023 00:00:00,SPECTOR DAVID,4,M-Exempt,--D,51903,0,7,0001275713,Performance-Based Restricted Stock Units
A,02/24/2023 00:00:00,SPECTOR DAVID,4,A-Award,--D,51903,51903,6,0001275713,Performance-Based Restricted Stock Units
A,02/24/2023 00:00:00,SPECTOR DAVID,4,A-Award,--D,46303,46303,5,0001275713,Nonstatutory Stock Option (Right to Buy)
D,02/24/2023 00:00:00,SPECTOR DAVID,4,F-InKind,--D,25734,694817,3,0001275713,Common Stock
A,02/24/2023 00:00:00,SPECTOR DAVID,4,M-Exempt,--D,51903,720551,2,0001275713,Common Stock
A,02/24/2023 00:00:00,SPECTOR DAVID,4,A-Award,--D,18521,668648,1,0001275713,Common Stock
D,02/24/2023 00:00:00,Perotti Daniel Stanley,4,M-Exempt,--D,20166,0,7,0001591994,Performance-Based Restricted Stock Units
A,02/24/2023 00:00:00,Perotti Daniel Stanley,4,A-Award,--D,20166,20166,6,0001591994,Performance-Based Restricted Stock Units
A,02/24/2023 00:00:00,Perotti Daniel Stanley,4,A-Award,--D,12862,12862,5,0001591994,Nonstatutory Stock Option (Right to Buy)
D,02/24/2023 00:00:00,Perotti Daniel Stanley,4,F-InKind,--D,8838,31406,3,0001591994,Common Stock
A,02/24/2023 00:00:00,Perotti Daniel Stanley,4,M-Exempt,--D,20166,40244,2,0001591994,Common Stock
A,02/24/2023 00:00:00,Perotti Daniel Stanley,4,A-Award,--D,5144,20078,1,0001591994,Common Stock
D,02/24/2023 00:00:00,Hendry Gregory L,4,M-Exempt,--D,2995,0,6,0001486334,Performance-Based Restricted Stock Units
A,02/24/2023 00:00:00,Hendry Gregory L,4,A-Award,--D,2995,2995,5,0001486334,Performance-Based Restricted Stock Units
