MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
D,06/13/2023 00:00:00,Sherrard Roger S,4,S-Sale,--D,2200,76723,1,0001268901,Common Stock
D,06/12/2023 00:00:00,Hart Mark J,4,D-Return,--D,4310,10969,1,0001663050,Common Stock
D,06/12/2023 00:00:00,Bowman William R,4,M-Exempt,--D,7840,0,5,0001683940,Stock Appreciation Rights
D,06/12/2023 00:00:00,Bowman William R,4,S-Sale,--D,2403,11152,3,0001683940,Common Stock
D,06/12/2023 00:00:00,Bowman William R,4,F-InKind,--D,5437,13555,2,0001683940,Common Stock
A,06/12/2023 00:00:00,Bowman William R,4,M-Exempt,--D,7840,18992,1,0001683940,Common Stock
D,06/09/2023 00:00:00,Gentile Thomas C,4,S-Sale,--D,1759,5465,1,0001709166,Common Stock
D,06/07/2023 00:00:00,Bracht Berend,4,S-Sale,--D,1441,2700,1,0001877800,Common Stock
D,06/07/2023 00:00:00,Ross Andrew D,4,M-Exempt,--D,11540,0,6,0001554099,Stock Appreciation Rights
D,06/07/2023 00:00:00,Ross Andrew D,4,S-Sale,--D,3476,13120,3,0001554099,Common Stock
D,06/07/2023 00:00:00,Ross Andrew D,4,F-InKind,--D,8064,16596,2,0001554099,Common Stock
A,06/07/2023 00:00:00,Ross Andrew D,4,M-Exempt,--D,11540,24660,1,0001554099,Common Stock
D,05/09/2023 00:00:00,Czaja Mark T,4,S-Sale,--D,600,2241,1,0001836827,Common Stock
D,05/09/2023 00:00:00,Ross Andrew D,4,G-Gift,-ED,30,30,3,0001554099,Common Stock
A,05/09/2023 00:00:00,Ross Andrew D,4,G-Gift,-EI,204,404,2,0001554099,Common Stock
D,05/09/2023 00:00:00,Ross Andrew D,4,G-Gift,-ED,204,13120,1,0001554099,Common Stock
A,05/08/2023 00:00:00,Parmentier Jennifer A,4,G-Gift,-EI,204,404,2,0001652759,Common Stock
D,05/08/2023 00:00:00,Parmentier Jennifer A,4,G-Gift,-ED,204,24031,1,0001652759,Common Stock
D,05/05/2023 00:00:00,BANKS LEE C,4,M-Exempt,--D,51150,51150,8,0001161707,Stock Appreciation Rights
D,05/05/2023 00:00:00,BANKS LEE C,4,S-Sale,--D,12037,110476,4,0001161707,Common Stock
D,05/05/2023 00:00:00,BANKS LEE C,4,S-Sale,--D,17727,122513,3,0001161707,Common Stock
D,05/05/2023 00:00:00,BANKS LEE C,4,F-InKind,--D,33423,140240,2,0001161707,Common Stock
A,05/05/2023 00:00:00,BANKS LEE C,4,M-Exempt,--D,51150,173663,1,0001161707,Common Stock
D,04/27/2023 00:00:00,Parel Dinu J,4,F-InKind,--D,1019,8641,2,0001757459,Common Stock
A,04/27/2023 00:00:00,Parel Dinu J,4,A-Award,--D,3174,9660,1,0001757459,Common Stock
D,04/27/2023 00:00:00,Hart Mark J,4,F-InKind,--D,2876,15279,2,0001663050,Common Stock
A,04/27/2023 00:00:00,Hart Mark J,4,A-Award,--D,7186,18155,1,0001663050,Common Stock
D,04/27/2023 00:00:00,Gentile Thomas C,4,F-InKind,--D,991,7224,2,0001709166,Common Stock
A,04/27/2023 00:00:00,Gentile Thomas C,4,A-Award,--D,3134,8215,1,0001709166,Common Stock
D,04/27/2023 00:00:00,Czaja Mark T,4,F-InKind,--D,1174,2841,2,0001836827,Common Stock
A,04/27/2023 00:00:00,Czaja Mark T,4,A-Award,--D,3508,4015,1,0001836827,Common Stock
