MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,04/27/2023 00:00:00,WIEHOFF JOHN,4,A-Award,--D,1380,70814.85,1,0001241113,Common Stock
A,04/27/2023 00:00:00,Shotwell Gwynne,4,A-Award,--D,1380,12271.81,1,0001768956,Common Stock
A,04/27/2023 00:00:00,Kingsley Lawrence D,4,A-Award,--D,1380,26994.06,1,0001301427,Common Stock
A,04/27/2023 00:00:00,KESSLER BERND F,4,A-Award,--D,1380,41196.95,1,0001481618,Common Stock
A,04/27/2023 00:00:00,Jackson Darryl R.,4,A-Award,--D,1380,2902.25,1,0001876062,Common Stock
A,04/27/2023 00:00:00,Henricks Gwenne A.,4,A-Award,--D,1380,22365.72,1,0001648204,Common Stock
A,04/27/2023 00:00:00,Hendrickson Gary E,4,A-Award,--D,1380,39091.65,1,0001331749,Common Stock
A,04/27/2023 00:00:00,FARR KEVIN M,4,A-Award,--D,1380,19014.41,1,0001194262,Common Stock
A,04/27/2023 00:00:00,Bilicic George W,4,A-Award,--D,1380,19531.38,1,0001714654,Common Stock
A,04/03/2023 00:00:00,WIEHOFF JOHN,4,A-Award,--D,657.6,69434.85,1,0001241113,Common Stock
A,04/03/2023 00:00:00,Shotwell Gwynne,4,A-Award,--D,252.92,10891.81,1,0001768956,Common Stock
A,04/03/2023 00:00:00,KESSLER BERND F,4,A-Award,--D,275.4,39816.95,1,0001481618,Common Stock
A,04/03/2023 00:00:00,Henricks Gwenne A.,4,A-Award,--D,252.92,20985.72,1,0001648204,Common Stock
A,04/03/2023 00:00:00,Hendrickson Gary E,4,A-Award,--D,286.65,37711.65,1,0001331749,Common Stock
A,04/03/2023 00:00:00,FARR KEVIN M,4,A-Award,--D,309.13,17634.41,1,0001194262,Common Stock
A,04/03/2023 00:00:00,Bilicic George W,4,A-Award,--D,258.54,18151.38,1,0001714654,Common Stock
D,02/21/2023 00:00:00,Duke Benjamin D,4,F-InKind,--D,167,4515,1,0001926204,Common Stock
D,02/01/2023 00:00:00,Clark Dougherty Lucy,4,M-Exempt,--D,10626,0,4,0001728999,Employee Stock Options (right to buy)
D,02/01/2023 00:00:00,Clark Dougherty Lucy,4,S-Sale,--D,10626,12282,3,0001728999,Common Stock
A,02/01/2023 00:00:00,Clark Dougherty Lucy,4,M-Exempt,--D,10626,22908,2,0001728999,Common Stock
A,02/01/2023 00:00:00,Speetzen Michael T,4,A-Award,--D,78456,78456,7,0001531484,Employee Stock Options (right to buy)
D,02/01/2023 00:00:00,Speetzen Michael T,4,F-InKind,--D,4048,68436,3,0001531484,Common Stock
A,02/01/2023 00:00:00,Speetzen Michael T,4,A-Award,--D,8225,72484,2,0001531484,Common Stock
A,02/01/2023 00:00:00,Speetzen Michael T,4,A-Award,--D,14508,64259,1,0001531484,Common Stock
A,02/01/2023 00:00:00,Williams James P,4,A-Award,--D,5557,27795,3,0001375356,Deferred Stock Units
A,02/01/2023 00:00:00,Williams James P,4,A-Award,--D,14349,14349,2,0001375356,Employee Stock Options (right to buy)
