MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,06/27/2023 00:00:00,Silver Jonathan M,4,A-Award,--D,12149,12149,2,0001745274,Stock Option (Right to Buy)
A,06/27/2023 00:00:00,Silver Jonathan M,4,A-Award,--D,12149,73790,1,0001745274,Common Stock
A,06/27/2023 00:00:00,WILLIS GARY K,4,A-Award,--D,12149,12149,2,0001121475,Stock Option (Right to Buy)
A,06/27/2023 00:00:00,WILLIS GARY K,4,A-Award,--D,12149,439889,1,0001121475,Common Stock
A,06/27/2023 00:00:00,MCNAMEE GEORGE C,4,A-Award,--D,12149,12149,3,0001008001,Stock Option (Right to Buy)
A,06/27/2023 00:00:00,MCNAMEE GEORGE C,4,A-Award,--D,12149,626986,1,0001008001,Common Stock
A,06/27/2023 00:00:00,Mahtani Kavita,4,A-Award,--D,12149,12149,2,0001923759,Stock Option (Right to Buy)
A,06/27/2023 00:00:00,Mahtani Kavita,4,A-Award,--D,12149,21480,1,0001923759,Common Stock
A,06/27/2023 00:00:00,Kenausis Gregory,4,A-Award,--D,12149,12149,2,0001590994,Stock Option (Right to Buy)
A,06/27/2023 00:00:00,Kenausis Gregory,4,A-Award,--D,12149,118049,1,0001590994,Common Stock
A,06/27/2023 00:00:00,HELMER MAUREEN O,4,A-Award,--D,12149,12149,2,0001279977,Stock Option (Right to Buy)
A,06/27/2023 00:00:00,HELMER MAUREEN O,4,A-Award,--D,12149,142007,1,0001279977,Common Stock
A,06/27/2023 00:00:00,BUA JEAN A,4,A-Award,--D,12149,12149,2,0001183333,Stock Option (Right to Buy)
A,06/27/2023 00:00:00,BUA JEAN A,4,A-Award,--D,12149,21646,1,0001183333,Common Stock
A,05/18/2023 00:00:00,MIDDLETON PAUL B,4,A-Award,--D,750000,750000,1,0001224978,Performance Stock Option (Right to Buy)
