MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,05/17/2023 00:00:00,TREVATHAN JAMES E JR,4,A-Award,--D,1908,1908,1,0001197041,Stock Units
A,05/17/2023 00:00:00,Svinicki Kristine L,4,A-Award,--D,1908,2634,1,0001889194,Common Stock
A,05/17/2023 00:00:00,SPENCE WILLIAM H,4,A-Award,--D,1908,1908,1,0001181274,Stock Units
A,05/17/2023 00:00:00,Sims Paula J,4,A-Award,--D,1908,1908,1,0001358752,Stock Units
A,05/17/2023 00:00:00,NORDSTROM BRUCE J,4,A-Award,--D,1908,36586,1,0001114879,Common Stock
A,05/17/2023 00:00:00,MUNRO KATHRYN L,4,A-Award,--D,1908,1908,1,0001114878,Stock Units
A,05/17/2023 00:00:00,FOX RICHARD P,4,A-Award,--D,1908,1908,1,0001249773,Stock Units
A,05/17/2023 00:00:00,de la Melena Gonzalo A Jr,4,A-Award,--D,1908,1908,1,0001913991,Stock Units
A,05/17/2023 00:00:00,BRYAN GLYNIS,4,A-Award,--D,1908,1908,1,0001270817,Stock Units
A,03/10/2023 00:00:00,NORDSTROM BRUCE J,4,G-Gift,--I,33178,33178,2,0001114879,Common Stock
D,03/10/2023 00:00:00,NORDSTROM BRUCE J,4,G-Gift,--D,33178,1500,1,0001114879,Common Stock
A,03/01/2023 00:00:00,Svinicki Kristine L,4,A-Award,--D,626,726,1,0001889194,Common Stock
A,02/21/2023 00:00:00,Tetlow Jacob,4,A-Award,--D,4960,4960,1,0001862964,Restricted Stock Unit
A,02/21/2023 00:00:00,Smith Robert Edgar,4,A-Award,--D,4148,4148,1,0001628362,Restricted Stock Units
A,02/21/2023 00:00:00,Mountain Paul J,4,A-Award,--D,1856,1856,1,0001929738,Restricted Stock Units
A,02/21/2023 00:00:00,Heflin Adam C,4,A-Award,--D,5264,5264,1,0001331794,Restricted Stock Units
A,02/21/2023 00:00:00,GULDNER JEFFREY B.,4,A-Award,--D,19768,19768,1,0001521334,Restricted Stock Units
A,02/21/2023 00:00:00,Geisler Theodore N,4,A-Award,--D,5768,5768,1,0001799703,Restricted Stock Units
A,02/21/2023 00:00:00,Esparza Jose Luis Jr,4,A-Award,--D,1352,1352,1,0001781598,Restricted Stock Units
A,02/21/2023 00:00:00,Easterly Donna M,4,A-Award,--D,2968,2968,1,0001707475,Restricted Stock Units
A,02/21/2023 00:00:00,Cooper Andrew D,4,A-Award,--D,6612,6612,1,0001816721,Restricted Stock Units
A,02/21/2023 00:00:00,Blankenship Elizabeth A,4,A-Award,--D,1688,1688,1,0001780676,Restricted Stock Units
D,02/17/2023 00:00:00,Mountain Paul J,4,M-Exempt,--D,429,1286,24,0001929738,Restricted Stock Units
D,02/17/2023 00:00:00,Mountain Paul J,4,M-Exempt,--D,46,132,23,0001929738,Restricted Stock Units
D,02/17/2023 00:00:00,Mountain Paul J,4,M-Exempt,--D,288,576,22,0001929738,Restricted Stock Units
D,02/17/2023 00:00:00,Mountain Paul J,4,M-Exempt,--D,148,148,21,0001929738,Restricted Stock Units
D,02/17/2023 00:00:00,Mountain Paul J,4,M-Exempt,--D,83,0,20,0001929738,Restricted Stock Units
A,02/17/2023 00:00:00,Mountain Paul J,4,G-Gift,--I,458,2681,18,0001929738,Common Stock
D,02/17/2023 00:00:00,Mountain Paul J,4,G-Gift,--D,458,0,17,0001929738,Common Stock
D,02/17/2023 00:00:00,Mountain Paul J,4,F-InKind,--D,25,458,16,0001929738,Common Stock
A,02/17/2023 00:00:00,Mountain Paul J,4,A-Award,--D,51,483,15,0001929738,Common Stock
D,02/17/2023 00:00:00,Mountain Paul J,4,F-InKind,--D,194,432,14,0001929738,Common Stock
D,02/17/2023 00:00:00,Mountain Paul J,4,D-Return,--D,20,626,13,0001929738,Common Stock
A,02/17/2023 00:00:00,Mountain Paul J,4,M-Exempt,--D,429,646,12,0001929738,Common Stock
D,02/17/2023 00:00:00,Mountain Paul J,4,F-InKind,--D,21,217,11,0001929738,Common Stock
