MoveType,Date,ReportingOwner,Form,TransactionType,DirectOrIndirect,NumberOfSecuritiesTransacted,NumberOfSecuritiesOwned,LineNumber,OwnerCIK,SecurityName
A,04/18/2023 00:00:00,LEER STEVEN F,4,A-Award,--D,3855,12827,1,0001046086,Common Stock
A,04/18/2023 00:00:00,Holdsworth Mark Keith,4,A-Award,--D,3855,18698,1,0001095155,Common Stock
A,04/18/2023 00:00:00,MITCHELL M CHRISTIAN,4,A-Award,--D,3855,12827,1,0001284574,Common Stock
A,04/18/2023 00:00:00,Long Letitia A,4,A-Award,--D,3855,12827,1,0001637178,Common Stock
A,04/18/2023 00:00:00,McMahon Harry T.,4,A-Award,--D,3855,41198,1,0001699448,Common Stock
A,04/18/2023 00:00:00,Lord Ellen M.,4,A-Award,--D,3855,6789,1,0001857165,Common Stock
A,04/18/2023 00:00:00,McDew Darren W,4,A-Award,--D,3855,17373,1,0001787479,Common Stock
A,04/18/2023 00:00:00,WAJSGRAS DAVID C,4,A-Award,--D,3855,22286,1,0001193800,Common Stock
A,04/18/2023 00:00:00,Ball George L.,4,A-Award,--D,3855,130089,1,0001601188,Common Stock
A,04/18/2023 00:00:00,Vautrinot Suzanne M,4,A-Award,--D,3855,12827,1,0001589791,Common Stock
A,04/03/2023 00:00:00,WAJSGRAS DAVID C,4,A-Award,--D,683,18431,1,0001193800,Common Stock
A,04/03/2023 00:00:00,Ball George L.,4,A-Award,--D,571,126234,1,0001601188,Common Stock
D,03/05/2023 00:00:00,Smith Carey A.,4,F-InKind,--D,9292,215991,1,0001707270,Common Stock
D,03/05/2023 00:00:00,Kolloway Michael Richard,4,F-InKind,--D,2615,63214,1,0001774358,Common Stock
D,03/05/2023 00:00:00,Ball George L.,4,F-InKind,--D,5562,125663,1,0001601188,Common Stock
A,02/27/2023 00:00:00,Kolloway Michael Richard,4,A-Award,--D,8955,65829,2,0001774358,Common Stock
A,02/27/2023 00:00:00,Kolloway Michael Richard,4,A-Award,--D,8601,56874,1,0001774358,Common Stock
A,02/27/2023 00:00:00,Smith Carey A.,4,A-Award,--D,20602,225283,2,0001707270,Common Stock
A,02/27/2023 00:00:00,Smith Carey A.,4,A-Award,--D,47439,204681,1,0001707270,Common Stock
A,02/27/2023 00:00:00,Ofilos Matthew,4,A-Award,--D,9886,41485,1,0001936775,Common Stock
A,02/27/2023 00:00:00,Ball George L.,4,A-Award,--D,12121,131225,2,0001601188,Common Stock
A,02/27/2023 00:00:00,Ball George L.,4,A-Award,--D,526,119104,1,0001601188,Common Stock
A,02/27/2023 00:00:00,Balaguer Susan M.,4,A-Award,--D,3990,34569,1,0001672832,Common Stock
A,01/03/2023 00:00:00,Ball George L.,4,A-Award,--D,535,118578,1,0001601188,Common Stock
